Ano,Santa Catarina- custo m2 (R$)
2003-1,11270.2724
2003-2,11377.902015384614
2003-3,11480.211274643874
2003-4,11578.298417501017
2003-5,11673.320486466535
2003-6,11764.486153133203
2003-7,11832.479378939652
2003-8,11898.219066439653
2003-9,11959.815430076016
2003-10,12020.76925360543
2003-11,12079.527825034
2003-12,12136.870325034
2004-1,12192.655189898866
2004-2,12246.678610951498
2004-3,12298.538867361753
2004-4,12346.761617361753
2004-5,12397.210153947119
2004-6,12441.685392042356
2004-7,12484.097950181891
2004-8,12524.112495636438
2004-9,12560.239606747546
2004-10,12593.450041530155
2004-11,12624.128764934409
2004-12,12651.682306601078
2005-1,12676.627000478631
2005-2,12728.907094365948
2005-3,12778.20005516149
2005-4,12825.467785376131
2005-5,12879.223894924606
2005-6,12928.646413464563
2005-7,12976.86315347133
2005-8,13024.876291727074
2005-9,13072.355010610492
2005-10,13120.046838784663
2005-11,13167.743320114854
2005-12,13216.699962871608
2006-1,13266.452404460128
2006-2,13317.406021083827
2006-3,13368.270253943672
2006-4,13420.850486322894
2006-5,13485.767402015977
2006-6,13549.570407078609
2006-7,13615.619693099756
2006-8,13683.881769485834
2006-9,13756.937877115413
2006-10,13833.247637735167
2006-11,13913.083302963838
2006-12,13994.929313944034
2007-1,14078.755375318378
2007-2,14163.530036029393
2007-3,14249.41050422661
2007-4,14336.11786032998
2007-5,14434.492555737199
2007-6,14525.720691672146
2007-7,14617.71179939067
2007-8,14710.286261552292
2007-9,14802.941975222193
2007-10,14896.03701531631
2007-11,14989.645386265935
2007-12,15083.191959044529
2008-1,15176.842612027647
2008-2,15270.384044835148
2008-3,15363.646657564768
2008-4,15458.067808659078
2008-5,15565.206325441446
2008-6,15662.868140205232
2008-7,15758.416665371082
2008-8,15853.601501539883
2008-9,15947.53843484711
2008-10,16038.905793168164
2008-11,16128.462490217817
2008-12,16217.158596080144
2009-1,16304.64552020537
2009-2,16391.87266601939
2009-3,16480.79006663143
2009-4,16569.435159741737
2009-5,16673.130614831767
2009-6,16766.71853440513
2009-7,16861.156041399678
2009-8,16955.875515726395
2009-9,17051.27876581158
2009-10,17146.50074112973
2009-11,17240.722857983063
2009-12,17335.07158189566
2010-1,17429.170757872213
2010-2,17522.905209828226
2010-3,17616.947070338287
2010-4,17711.200139986726
2010-5,17805.806105932188
2010-6,17910.034876962614
2010-7,18014.679504243373
2010-8,18120.83527646526
2010-9,18226.70882289231
2010-10,18333.81046346466
2010-11,18439.90198734826
2010-12,18549.70707912643
2011-1,18658.954191025336
2011-2,18769.488245531866
2011-3,18880.468971644365
2011-4,18991.302418685445
2011-5,19088.11828111287
2011-6,19210.2135396084
2011-7,19301.848539714592
2011-8,19392.322672333263
2011-9,19484.166083692588
2011-10,19577.693171812607
2011-11,19673.971996928583
2011-12,19772.053816090734
2012-1,19873.337943319206
2012-2,19975.80074302221
2012-3,20080.38514165882
2012-4,20185.08326556332
2012-5,20289.751492615902
2012-6,20404.695480099246
2012-7,20496.6926352653
2012-8,20583.331882837178
2012-9,20670.213038069254
2012-10,20758.34169552185
2012-11,20846.20927168628
2012-12,20938.021665244196
2013-1,21030.37747312415
2013-2,21122.38672377923
2013-3,21216.023019253666
2013-4,21311.390448796712
2013-5,21407.66346981939
2013-6,21533.139698160343
2013-7,21624.71635445732
2013-8,21747.292840472473
2013-9,21875.020394924297
2013-10,22000.949666582084
2013-11,22127.48735014881
2013-12,22251.028479806366
2014-1,22374.64551375975
2014-2,22498.124035605466
2014-3,22622.321245658186
2014-4,22745.83524778063
2014-5,22871.41651272384
2014-6,23013.731309052575
2014-7,23148.91918311285
2014-8,23283.655031028098
2014-9,23422.4238707871
2014-10,23564.824295944607
2014-11,23707.935573504255
2014-12,23851.75488578625
2015-1,23993.44393110344
2015-2,24134.448144531587
2015-3,24276.269602097964
2015-4,24418.534838482537
2015-5,24560.189621945516
2015-6,24715.8309719889
2015-7,24858.168140842547
2015-8,24996.82185076878
2015-9,25136.83264689727
2015-10,25274.28840714162
2015-11,25413.90287123467
2015-12,25553.176657379285
2016-1,25693.112334472607
2016-2,25836.271861425932
2016-3,25979.17365378961
2016-4,26120.64778456781
2016-5,26259.60844858387
2016-6,26405.759100336116
2016-7,26535.72538179088
2016-8,26662.679998090432
2016-9,26790.56907905089
2016-10,26921.865715954234
2016-11,27050.91941840341
2016-12,27181.414190748288
2017-1,27311.779278604652
2017-2,27442.90306120672
2017-3,27577.173569710292
2017-4,27712.055079253405
2017-5,27845.980186207915
2017-6,27984.21509568266
2017-7,28107.205996166198
2017-8,28244.75738096873
2017-9,28380.231371380967
2017-10,28514.850937186755
2017-11,28650.01915208564
2017-12,28783.783361898924
2018-1,28915.074519134017
2018-2,29049.018033106702
2018-3,29181.922852936917
2018-4,29312.553448837887
2018-5,29443.213768516867
2018-6,29574.462652597136
2018-7,29698.897623051438
2018-8,29828.823791240433
2018-9,29963.8010115088
2018-10,30117.63839788549
2018-11,30279.028044455514
2018-12,30450.18413886474
2019-1,30622.62944392835
2019-2,30807.723937098213
2019-3,31001.746812116406
2019-4,31202.28198032878
2019-5,31407.618651779296
2019-6,31637.032293933815
2019-7,31879.3612163471
2019-8,32151.532751452833
2019-9,32419.04143248312
2019-10,32693.67551536276
2019-11,32977.901118999005
2019-12,33264.50789383397
2020-1,33557.36165979182
2020-2,33857.03996878484
2020-3,34160.11143685991
2020-4,34471.64855081752
2020-5,34796.616614123224
2020-6,35133.85605995193
2020-7,35482.748170306106
2020-8,35847.337977392934
2020-9,36234.56112404911
2020-10,36624.05173859075
2020-11,37001.33854146229
2020-12,37378.712633237934
2021-1,37747.83525557208
2021-2,38115.804966013784
2021-3,38473.05478293044
2021-4,38828.28045580419
2021-5,39179.83348591593
2021-6,39550.30909477586
2021-7,39897.63596826244
2021-8,40232.08851421989
2021-9,40541.254958358
2021-10,40696.352843446184
2021-11,40850.53667688298
2021-12,41000.51607329095
2022-1,41152.57372335202
2022-2,41304.695445781836
2022-3,41456.83942073019
2022-4,41609.795073220674
2022-5,41756.99047799199
2022-6,41894.583086538514
2022-7,42023.383602259666
2022-8,42144.62384000212
2022-9,42247.893021153766
2022-10,42316.27343554984
2022-11,42375.53586790724
2022-12,42425.627726564664
2023-1,42459.08478171289
2023-2,42484.042103833315
2023-3,42500.65917614469
2023-4,42508.873295123325
2023-5,42497.57523079375
2023-6,42463.822265639166
2023-7,42375.031726250374
2023-8,42265.885860259536
2023-9,42127.01758851151
