Ano,Pernambuco- custo m2 (R$)
2003-1,10666.238800000001
2003-2,10766.56956923077
2003-3,10861.937347008548
2003-4,10953.794847008548
2003-5,11040.490019422341
2003-6,11124.091352755675
2003-7,11204.159739852452
2003-8,11282.485677352448
2003-9,11356.925374322143
2003-10,11430.034491969203
2003-11,11500.216777683489
2003-12,11564.878999905712
2004-1,11627.544405311117
2004-2,11687.993089521642
2004-3,11745.44026900882
2004-4,11800.499519008823
2004-5,11851.463909252725
2004-6,11900.026052109868
2004-7,11946.067680016846
2004-8,11989.81881638048
2004-9,12029.22481638048
2004-10,12067.461990293525
2004-11,12108.897947740335
2004-12,12140.661072740331
2005-1,12170.211072740332
2005-2,12231.547445653401
2005-3,12290.230055376313
2005-4,12347.74358003688
2005-5,12404.659268466026
2005-6,12461.010681711818
2005-7,12516.813729241536
2005-8,12572.646871882127
2005-9,12629.018324831715
2005-10,12691.020221780887
2005-11,12753.255236675006
2005-12,12815.253980736055
2006-1,12871.489184426471
2006-2,12929.233771755358
2006-3,12986.930112209107
2006-4,13045.677864111152
2006-5,13105.80313646018
2006-6,13168.814957423596
2006-7,13234.060853450406
2006-8,13303.114795765376
2006-9,13376.722672895681
2006-10,13453.417527110278
2006-11,13542.781109494292
2006-12,13629.089745448455
2007-1,13716.860534687396
2007-2,13806.649503298562
2007-3,13896.466892230093
2007-4,13986.618664410786
2007-5,14076.795502867395
2007-6,14167.026242344975
2007-7,14259.794723174224
2007-8,14352.494947540194
2007-9,14445.562459288318
2007-10,14548.52274774662
2007-11,14647.01586052143
2007-12,14745.68689366115
2008-1,14845.052055149417
2008-2,14945.373134143765
2008-3,15044.60210072312
2008-4,15144.749284162184
2008-5,15244.750333550975
2008-6,15345.669460022218
2008-7,15445.089960075253
2008-8,15542.833819394125
2008-9,15637.457472937569
2008-10,15743.171244366997
2008-11,15846.903156964072
2008-12,15938.381974259373
2009-1,16029.211203418781
2009-2,16119.581421147992
2009-3,16209.439011308184
2009-4,16299.464156595493
2009-5,16389.772636027836
2009-6,16480.41645507192
2009-7,16570.689724719414
2009-8,16658.766969648907
2009-9,16747.041704793985
2009-10,16834.43107715124
2009-11,16925.528594077867
2009-12,17016.59762945657
2010-1,17106.831930187087
2010-2,17196.52131539194
2010-3,17285.42270684598
2010-4,17375.967821256654
2010-5,17466.78615874838
2010-6,17557.1328082422
2010-7,17645.14287657322
2010-8,17728.561915685426
2010-9,17812.16820336484
2010-10,17895.53127949601
2010-11,17965.07964755987
2010-12,18046.115902469985
2011-1,18126.301288759994
2011-2,18205.603535399612
2011-3,18284.365211200664
2011-4,18362.44125609643
2011-5,18416.383849963797
2011-6,18493.057548207387
2011-7,18545.60246847546
2011-8,18599.62334079701
2011-9,18655.142654493913
2011-10,18710.959816732684
2011-11,18766.501015499656
2011-12,18822.328207773568
2012-1,18878.92332161677
2012-2,18936.43988062554
2012-3,18994.638830936427
2012-4,19056.26528244848
2012-5,19118.14563879933
2012-6,19180.28215880037
2012-7,19242.575206770947
2012-8,19308.05198901988
2012-9,19376.51954153691
2012-10,19444.260181091442
2012-11,19527.926077042368
2012-12,19609.254575603238
2013-1,19678.660875054935
2013-2,19745.99576457116
2013-3,19810.344993737926
2013-4,19872.55560154481
2013-5,19932.703037166204
2013-6,20016.332000170332
2013-7,20076.39678490427
2013-8,20160.68850564772
2013-9,20246.87003962426
2013-10,20330.90488421876
2013-11,20416.89233457562
2013-12,20502.362157413903
2014-1,20575.910605365745
2014-2,20671.049937687156
2014-3,20764.332795994538
2014-4,20856.372876914083
2014-5,20946.566093127673
2014-6,21034.043653420085
2014-7,21122.17450024906
2014-8,21208.498975626164
2014-9,21291.026873312007
2014-10,21374.553961715577
2014-11,21468.915671524235
2014-12,21549.746683656518
2015-1,21641.856114433118
2015-2,21733.970915236754
2015-3,21828.177142801356
2015-4,21925.769839721022
2015-5,22024.00257927564
2015-6,22124.552774012565
2015-7,22222.52095307057
2015-8,22322.56511976784
2015-9,22422.897703729475
2015-10,22520.759084629583
2015-11,22625.747129535925
2015-12,22731.232737596336
2016-1,22837.097239232717
2016-2,22943.223088903473
2016-3,23029.63233688748
2016-4,23116.84028670162
2016-5,23208.40329506463
2016-6,23304.348544083754
2016-7,23400.211909199334
2016-8,23496.12777468812
2016-9,23593.85672977101
2016-10,23692.111828882422
2016-11,23790.256887396026
2016-12,23878.995687719944
2017-1,23963.620973517154
2017-2,24038.72515431479
2017-3,24113.94524082659
2017-4,24189.83418160261
2017-5,24265.21059674305
2017-6,24353.911168528102
2017-7,24440.88378882434
2017-8,24529.47894873768
2017-9,24615.092292186044
2017-10,24699.33565113413
2017-11,24780.9961933077
2017-12,24855.818827262225
2018-1,24930.094257663568
2018-2,25006.064196815216
2018-3,25078.617688813418
2018-4,25149.26698170987
2018-5,25220.265077526357
2018-6,25288.16756288272
2018-7,25350.93897142964
2018-8,25420.680748209852
2018-9,25495.908768077643
2018-10,25586.912687226755
2018-11,25694.226378213378
2018-12,25813.854327005567
2019-1,25941.006135970576
2019-2,26081.08624132677
2019-3,26229.043406367833
2019-4,26392.27132811357
2019-5,26570.576984164818
2019-6,26778.720583908118
2019-7,26980.594449528122
2019-8,27192.340789542483
2019-9,27409.652255681358
2019-10,27634.687356977178
2019-11,27871.123106076015
2019-12,28116.729369601897
2020-1,28367.952645976176
2020-2,28625.827715125415
2020-3,28889.348807335828
2020-4,29167.899034244445
2020-5,29455.032137357397
2020-6,29787.80044470089
2020-7,30133.48825861555
2020-8,30483.58844814995
2020-9,30834.986156311992
2020-10,31188.089164235145
2020-11,31534.924398459807
2020-12,31872.137623362796
2021-1,32200.545037574168
2021-2,32520.405831484444
2021-3,32830.350312916235
2021-4,33144.31820896824
2021-5,33442.85018612855
2021-6,33747.378618821676
2021-7,34030.8606195342
2021-8,34313.60299035065
2021-9,34586.505688326324
2021-10,34737.8248366799
2021-11,34890.22999234761
2021-12,35038.330576665416
2022-1,35185.95394963717
2022-2,35335.43270539394
2022-3,35482.48800064191
2022-4,35629.06364811686
2022-5,35766.33287401904
2022-6,35899.42971428606
2022-7,35981.41045746225
2022-8,36049.41184315459
2022-9,36113.0479306724
2022-10,36168.89431136775
2022-11,36214.30829589634
2022-12,36246.50012511201
2023-1,36269.37262895629
2023-2,36285.734823341874
2023-3,36300.24139802572
2023-4,36310.24748079689
2023-5,36296.187023990875
2023-6,36276.6846619142
2023-7,36211.58394728482
2023-8,36119.31538094003
2023-9,36001.10889180121
