Ano,Rondônia,Acre,Amazonas,Roraima,Pará,Amapá,Tocantins,Maranhão,Piauí,Ceará,Rio Grande do Norte,Paraíba,Pernambuco,Alagoas,Sergipe,Bahia,Minas Gerais,Espírito Santo,Rio de Janeiro,São Paulo,Paraná,Santa Catarina,Rio Grande do Sul,Mato Grosso do Sul,Mato Grosso,Goiás,Distrito Federal
2003-1,8797.19,9092.37,10252.87,11474.84,9342.25,9537.36,9892.63,9442.87,8322.0,9178.47,8893.64,8825.95,9608.74,10103.22,8392.83,9527.9,9786.34,8925.6,10586.09,10992.91,10701.75,9863.32,10010.23,9209.47,9509.38,9403.03,10768.04
2003-2,8996.67,9212.65,10320.95,11556.21,9506.07,9647.72,10023.15,9592.82,8552.8,9305.17,9009.14,8943.44,9721.84,10171.09,8493.69,9659.3,9943.05,9048.34,10733.35,11100.76,10753.39,9944.57,10163.51,9325.55,9567.69,9478.93,10912.73
2003-3,9030.02,9256.72,10422.98,11635.38,9670.32,9744.17,10145.48,9699.91,8608.56,9379.04,9112.71,9035.07,9770.29,10275.63,8565.22,10315.9,9969.54,9126.75,10862.11,11216.85,10785.98,9990.99,10213.43,9433.85,9583.99,9548.63,10962.66
2003-4,9148.1,9433.16,10486.95,11695.0,9703.79,9822.52,10193.95,9816.51,8741.33,9439.22,9266.95,9128.47,9850.93,10350.71,8806.55,10350.64,10050.71,9222.02,11582.85,11337.91,10872.89,10175.92,10342.42,9506.08,9694.28,9616.78,11031.47
2003-5,9149.99,9892.15,10509.97,11902.96,9802.5,9892.03,10352.16,9850.66,8867.82,9773.28,9312.28,9271.01,9904.42,10417.95,8853.96,10422.76,10095.09,9396.88,11666.46,11906.68,10936.06,10242.62,10400.49,9606.89,9744.49,9696.31,11729.34
2003-6,9627.14,9913.09,10543.52,12006.94,9815.82,10085.44,10436.85,9939.44,8897.82,9764.57,9359.08,9332.75,9989.69,10853.91,8865.93,10435.82,10159.11,9843.53,11783.46,12058.24,10979.36,10916.2,10662.01,10170.91,9771.45,10296.9,11849.62
2003-7,9642.04,10001.86,11008.12,12069.28,9854.44,10129.76,11015.48,9954.21,8917.71,9810.46,9395.15,9406.22,9989.45,10893.21,9239.01,10458.79,10189.49,9889.77,11823.99,12133.67,11583.88,10977.88,10742.42,10226.08,9798.54,10298.7,11927.46
2003-8,9686.75,10035.05,11035.81,12078.26,9861.53,10198.17,11069.51,10227.41,9034.45,9885.5,9398.01,9405.36,10020.85,10896.13,9250.9,10489.34,10259.11,9916.44,12069.95,12365.08,11628.1,11072.18,10798.76,10281.93,9846.52,10322.63,11962.79
2003-9,9777.57,10066.47,11069.56,12498.64,9877.57,10205.0,11079.02,10275.61,9045.62,9910.14,9421.86,9432.16,10040.16,10908.02,9286.75,10504.71,10288.98,10062.99,12177.41,12410.88,11640.64,11103.94,10852.55,10331.62,9991.13,10401.08,12039.44
2003-10,9809.77,10134.67,11090.73,12507.85,10162.36,10261.6,11097.38,10378.38,9088.29,9915.63,9464.4,9500.34,10099.89,10911.5,9300.22,10521.41,10299.41,10088.93,12225.48,12466.4,11646.56,11126.47,11147.73,10340.96,10268.01,10458.93,12061.09
2003-11,9850.06,10174.05,11107.18,12561.5,10333.62,10298.18,11278.28,10412.69,9147.62,10180.96,9817.06,9515.34,10546.86,11078.05,9316.2,10528.66,10979.27,10100.23,12233.72,12493.39,11653.31,11127.56,11155.97,10417.39,10308.13,10469.53,12085.23
2003-12,9865.12,10193.08,11167.5,12607.0,10368.01,10447.06,11358.26,10425.42,9213.98,10223.07,9849.23,9570.32,10575.49,11113.37,9347.24,10581.2,11022.88,10127.14,12255.05,12534.39,11699.61,11149.0,11165.26,10473.42,10360.94,10494.61,12168.86
2004-1,9972.16,10247.14,11163.88,12672.97,10475.99,10581.4,11418.44,10628.71,9504.81,10225.64,9899.57,9577.65,10604.45,11125.39,9378.72,10598.18,11077.94,10238.0,12314.03,12569.82,11742.35,11186.51,11264.28,10507.01,10456.92,10534.67,12201.44
2004-2,9988.85,10285.97,11362.49,12714.17,10511.98,10615.37,11432.73,10707.39,9568.68,10275.36,9973.05,9636.16,10684.16,11147.41,9442.93,11090.5,11107.12,10282.11,12398.66,12637.39,11800.89,11242.17,11352.84,10559.09,10517.05,10553.97,12196.21
2004-3,10013.76,10345.42,11404.66,12804.87,10581.6,10686.95,11484.16,10748.05,9597.25,10320.48,10044.09,9691.03,10743.28,11184.6,9514.9,11182.57,11140.98,10362.81,12957.04,12679.58,11841.38,11336.91,11548.85,10635.79,10672.04,10604.7,12214.58
2004-4,10073.0,10428.57,11506.72,12847.38,10620.18,10704.94,11487.9,10768.78,9628.59,10344.55,10132.13,9719.38,10872.83,11233.48,9571.63,11257.94,11222.0,10446.37,13051.52,12728.25,11891.9,11447.87,11613.55,10725.79,10711.14,10648.44,12238.26
2004-5,10377.16,10452.65,11569.47,12858.49,10695.96,10728.36,11582.85,10807.97,9656.06,10425.27,10232.34,10099.7,10959.64,11310.96,9701.93,11321.27,11350.7,10616.97,13097.56,13031.5,11962.41,11680.44,11686.04,11052.65,10806.76,10979.63,12517.37
2004-6,10498.51,10522.88,11673.74,12934.39,10785.75,10815.32,11618.25,10873.15,9744.88,10437.25,10361.74,10131.42,11065.07,11382.42,9778.57,11363.56,11459.42,10752.73,13159.74,13146.57,11988.91,11762.21,11765.15,11158.75,10855.95,11133.88,12593.55
2004-7,10564.1,10802.47,11751.98,13071.88,10854.57,10917.48,11751.16,10924.07,9801.41,10560.96,10443.76,10185.58,11146.52,11726.21,9894.75,11415.78,11486.87,10883.99,13225.47,13298.92,12304.77,11841.2,11902.76,11213.78,11204.77,11218.19,12662.97
2004-8,10732.29,10828.19,11769.74,13103.81,10911.67,10997.89,11815.37,11021.32,9899.19,10669.56,10509.53,10294.12,11337.74,11838.41,10025.97,11552.19,11651.3,10982.97,13355.06,13463.8,12410.62,11984.76,12089.82,11338.31,11347.54,11294.75,12737.78
2004-9,10798.46,10880.89,11901.28,13152.65,10942.87,11006.65,11935.85,11123.3,10025.27,10764.3,10600.06,10341.87,11420.12,11931.29,10333.96,11623.45,11692.87,11054.94,13420.86,13524.28,12479.5,12088.69,12224.99,11423.72,11452.32,11395.21,12871.73
2004-10,10855.16,10929.4,12021.98,13629.01,11049.5,11096.77,12148.88,11233.68,10093.81,10840.67,10738.23,10451.74,11496.56,12036.38,10477.5,11791.5,11784.53,11157.07,13479.12,13591.93,12587.64,12200.12,12324.86,11503.66,11491.5,11455.45,12981.01
2004-11,10952.31,10968.27,12131.19,13832.33,11141.66,11302.52,12328.01,11376.06,10263.11,11167.63,11015.67,10664.26,11995.36,12269.55,10602.32,11898.35,11843.25,11285.0,13568.95,13744.36,12661.75,12325.6,12383.69,11557.13,11591.02,11509.39,13094.99
2004-12,10961.07,11121.21,12236.43,14011.05,11319.99,11481.54,12426.51,11547.53,10429.68,11276.74,11121.6,10855.18,12099.44,12378.91,10688.6,11966.35,12339.23,11376.89,13637.93,13835.04,12794.18,12426.89,12498.31,11662.27,11697.25,11572.67,13252.9
2005-1,10998.34,11133.15,12582.67,14091.98,11495.1,11768.39,12511.12,11932.56,10622.97,11333.06,11230.24,11152.27,12112.19,12379.79,10701.09,12025.64,12382.3,11428.69,13705.76,13892.06,12836.42,12542.79,12545.78,11733.7,11815.19,11646.12,13283.4
2005-2,11057.75,11199.69,12682.31,14193.99,11503.25,12247.11,12581.85,12010.83,10676.1,11432.17,11246.6,11192.12,12217.34,12377.78,10809.38,12462.52,12410.86,11475.5,13709.35,13901.75,12913.09,12661.69,12637.77,11777.92,11911.91,11674.02,13323.82
2005-3,11192.74,11263.05,12746.69,14349.46,11553.75,12354.84,12667.18,11999.91,10734.74,11440.06,11320.17,11250.2,12296.77,12414.25,10856.64,12497.47,12487.48,11620.08,13769.12,13970.01,12964.62,12706.92,12729.0,11795.5,11940.4,11683.16,13349.62
2005-4,11235.25,11361.73,12792.41,14483.72,11589.9,12388.66,12702.72,12013.34,10757.83,11467.84,11325.18,11231.12,12342.3,12426.8,10919.52,12606.34,12580.54,11731.91,14421.02,14014.68,13054.65,12737.43,12836.02,11870.87,11895.74,11716.24,13398.51
2005-5,11288.24,11775.15,12829.55,14630.88,11671.62,12488.95,12763.85,12095.56,10822.15,11500.78,11390.43,11318.61,12365.09,12530.25,10978.69,12665.37,12693.72,11871.21,14509.93,14442.25,13138.03,12931.56,12899.25,12393.88,11955.22,12026.62,13760.62
2005-6,11661.41,11825.17,12938.76,14770.09,11692.84,12468.73,12803.57,12170.05,10864.37,11680.98,11419.11,11361.89,12412.46,12816.73,11014.17,12676.42,12716.55,12173.01,14540.21,14486.38,13559.98,12977.59,12970.07,12390.16,11987.09,12060.52,13795.55
2005-7,11680.8,11862.9,13292.84,14767.44,11726.41,12492.65,12828.8,12198.14,10890.96,11730.85,11463.2,11400.22,12471.81,12911.15,11071.52,12813.86,12745.28,12171.57,14619.54,14534.5,13585.01,13023.99,13140.08,12384.32,12244.08,12092.99,13832.82
2005-8,11689.04,11883.87,13309.99,14823.34,11759.14,12529.33,13221.17,12256.81,10878.34,11756.27,11491.14,11423.14,12495.88,12960.21,11352.31,12831.37,12752.25,12208.78,14662.68,14597.04,13611.49,13081.55,13156.21,12404.71,12264.24,12116.83,13861.09
2005-9,11705.36,11943.85,13350.97,14846.71,11764.56,12534.29,13226.35,12301.16,10872.98,11771.08,11533.17,11406.24,12477.36,12998.4,11356.47,12855.05,12802.11,12244.81,14671.39,14597.12,13590.42,13104.86,13186.19,12423.43,12277.48,12146.92,13854.65
