,Alagoas- custo m2 (R$)
2003-1-1,10103.22
2003-2-2,10171.09
2003-3-3,10275.63
2003-4-4,10350.71
2003-5-5,10417.95
2003-6-6,10853.91
2003-7-7,10893.21
2003-8-8,10896.13
2003-9-9,10908.02
2003-10-10,10911.5
2003-11-11,11078.05
2003-12-12,11113.37
2004-1-1,11125.39
2004-2-2,11147.41
2004-3-3,11184.6
2004-4-4,11233.48
2004-5-5,11310.96
2004-6-6,11382.42
2004-7-7,11726.21
2004-8-8,11838.41
2004-9-9,11931.29
2004-10-10,12036.38
2004-11-11,12269.55
2004-12-12,12378.91
2005-1-1,12379.79
2005-2-2,12377.78
2005-3-3,12414.25
2005-4-4,12426.8
2005-5-5,12530.25
2005-6-6,12816.73
2005-7-7,12911.15
2005-8-8,12960.21
2005-9-9,12998.4
2005-10-10,13008.64
2005-11-11,13070.3
2005-12-12,13124.69
2006-1-1,13129.63
2006-2-2,13158.8
2006-3-3,13187.98
2006-4-4,13188.16
2006-5-5,13566.43
2006-6-6,13638.22
2006-7-7,13696.82
2006-8-8,13711.54
2006-9-9,13731.06
2006-10-10,13807.58
2006-11-11,13843.8
2006-12-12,13872.07
2007-1-1,13912.48
2007-2-2,13969.21
2007-3-3,14010.68
2007-4-4,14050.32
2007-5-5,14358.21
2007-6-6,14414.35
2007-7-7,14433.76
2007-8-8,14439.22
2007-9-9,14535.73
2007-10-10,14538.28
2007-11-11,14591.2
2007-12-12,14620.51
2008-1-1,14657.1
2008-2-2,14723.88
2008-3-3,14770.97
2008-4-4,14783.04
2008-5-5,15259.85
2008-6-6,15455.38
2008-7-7,15554.55
2008-8-8,15747.57
2008-9-9,15910.54
2008-10-10,16042.7
2008-11-11,16139.24
2008-12-12,16169.8
2009-1-1,16231.98
2009-2-2,16273.21
2009-3-3,16395.21
2009-4-4,16426.52
2009-5-5,16599.53
2009-6-6,16655.14
2009-7-7,16669.68
2009-8-8,16702.08
2009-9-9,16684.72
2009-10-10,16709.95
2009-11-11,16734.21
2009-12-12,16807.77
2010-1-1,16905.86
2010-2-2,16955.08
2010-3-3,16993.71
