Ano,Rio de Janeiro- custo m2 (R$)
2003-1,12454.8648
2003-2,12574.990184615384
2003-3,12687.42611054131
2003-4,12814.53003911274
2003-5,12915.463832216186
2003-6,13011.255498882854
2003-7,13102.741950495756
2003-8,13191.451012995758
2003-9,13270.282528147274
2003-10,13343.892528147273
2003-11,13414.43281386156
2003-12,13482.858369417116
2004-1,13548.831342390087
2004-2,13611.519500284825
2004-3,13671.673346438669
2004-4,13727.85284643867
2004-5,13781.197236682572
2004-6,13833.359379539716
2004-7,13883.098449307157
2004-8,13930.413676579883
2004-9,13974.571676579884
2004-10,14017.235807014667
2004-11,14058.586870844456
2004-12,14098.13832917779
2005-1,14134.723023055338
2005-2,14204.461354138099
2005-3,14281.672602495706
2005-4,14358.06395947437
2005-5,14420.794651726646
2005-6,14481.404872532981
2005-7,14541.191186280943
2005-8,14599.292803337783
2005-9,14657.645901099866
2005-10,14716.323112792776
2005-11,14775.302308397786
2005-12,14835.141073592404
2006-1,14894.863781840877
2006-2,14954.53709693171
2006-3,15029.726231557157
2006-4,15106.191800641209
2006-5,15174.79402419636
2006-6,15246.262121900723
2006-7,15319.457279908092
2006-8,15395.903378491785
2006-9,15477.21459689815
2006-10,15561.824860578115
2006-11,15647.932800446755
2006-12,15735.11394186721
2007-1,15823.588342126179
2007-2,15914.809675168442
2007-3,16020.28943682212
2007-4,16119.781208951234
2007-5,16219.628295675251
2007-6,16319.777349633385
2007-7,16420.515971615023
2007-8,16522.013620295314
2007-9,16623.9773104373
2007-10,16725.298155525823
2007-11,16827.319278846906
2007-12,16930.1396251826
2008-1,17033.56061603138
2008-2,17138.46953101486
2008-3,17259.14529497574
2008-4,17366.488745249593
2008-5,17473.91194820078
2008-6,17581.946599711075
2008-7,17689.069548237818
2008-8,17795.25490065271
2008-9,17900.220033758036
2008-10,18002.144634510278
2008-11,18101.80687479461
2008-12,18201.8447130466
2009-1,18302.259830825777
2009-2,18403.721902023728
2009-3,18524.450314816688
2009-4,18633.16114906148
2009-5,18741.780535594342
2009-6,18849.924867021262
2009-7,18957.909918396523
2009-8,19065.80265200431
2009-9,19174.36446897796
2009-10,19285.296043642058
2009-11,19396.24702095055
2009-12,19507.231260585322
2010-1,19618.607212328232
2010-2,19730.42530613021
2010-3,19841.748485214197
2010-4,19957.337121749675
