Ano,Rio Grande do Sul- custo m2 (R$)
2003-1,11314.228000000001
2003-2,11415.287230769232
2003-3,11510.305378917381
2003-4,11603.96930748881
2003-5,11692.135859212947
2003-6,11777.788525879614
2003-7,11857.726267815098
2003-8,11933.157205315096
2003-9,12005.50356895146
2003-10,12074.093274833813
2003-11,12133.95013197667
2003-12,12192.60263197667
2004-1,12249.88371305775
2004-2,12303.645028847224
2004-3,12354.570926283122
2004-4,12399.377176283122
2004-5,12442.446688478245
2004-6,12489.125498002057
2004-7,12533.823172420662
2004-8,12575.146126966114
2004-9,12611.494126966114
2004-10,12645.258257400897
2004-11,12676.429321230684
2004-12,12705.850779564016
2005-1,12733.29935099259
2005-2,12789.766929584273
2005-3,12844.130188743762
2005-4,12896.151919556547
2005-5,12945.537891231399
2005-6,12997.696095966468
2005-7,13048.652372907018
2005-8,13095.811068929303
2005-9,13142.860739615304
2005-10,13189.073947179873
2005-11,13235.374981309385
2005-12,13281.465488438624
2006-1,13327.448403876622
2006-2,13374.39788736272
2006-3,13421.61182325079
2006-4,13469.691025229728
2006-5,13518.677634391903
2006-6,13579.135000635037
2006-7,13636.700500688772
2006-8,13699.903711469753
2006-9,13766.35590707187
2006-10,13834.53614748219
2006-11,13903.377737075687
2006-12,13976.050561888851
2007-1,14050.513210507725
2007-2,14125.480840293747
2007-3,14200.735205818431
2007-4,14276.01387963628
2007-5,14351.679429841988
2007-6,14436.297624507513
2007-7,14517.084186314472
2007-8,14597.874631486051
2007-9,14680.132051130067
2007-10,14762.587588099757
2007-11,14846.102152200165
2007-12,14931.089033238752
2008-1,15017.192370887735
2008-2,15104.022655928773
2008-3,15191.47438589951
2008-4,15281.775866769893
2008-5,15372.023720678875
2008-6,15468.779559174527
2008-7,15555.326590981456
2008-8,15640.530796905796
2008-9,15720.814614975923
2008-10,15799.505813096412
2008-11,15878.46498994568
2008-12,15957.769627759355
2009-1,16034.201853593448
2009-2,16111.47345855438
2009-3,16189.250450763779
2009-4,16266.866476170828
2009-5,16346.996325079695
2009-6,16440.722180084547
2009-7,16525.1247220351
2009-8,16609.544937049806
2009-9,16694.22106573478
2009-10,16778.594106849163
2009-11,16862.810566415475
2009-12,16946.46808507293
2010-1,17028.400922865465
2010-2,17109.57007698746
2010-3,17194.216963131516
2010-4,17278.643138177067
2010-5,17361.293694736396
2010-6,17443.735939104918
2010-7,17521.128314205536
2010-8,17598.879982026436
2010-9,17678.041393967673
2010-10,17756.37255272261
2010-11,17833.38881271498
2010-12,17909.827870322515
2011-1,17986.202528334008
2011-2,18068.24948087974
2011-3,18152.516746641475
2011-4,18236.644017985924
2011-5,18299.00600863521
2011-6,18397.294369524097
2011-7,18458.03931216572
2011-8,18517.023895637773
2011-9,18576.626527445693
2011-10,18635.761128705097
2011-11,18692.350863845015
2011-12,18749.93556379256
2012-1,18807.29285927663
2012-2,18867.462898795227
2012-3,18928.908874750483
2012-4,18988.185648456994
2012-5,19048.281005809647
2012-6,19108.447889709103
2012-7,19183.625888701026
2012-8,19258.30665552746
2012-9,19331.835567231567
2012-10,19404.635040155314
2012-11,19475.666315409046
2012-12,19547.775856280354
2013-1,19619.258468238677
2013-2,19692.073079257138
2013-3,19765.60376493831
2013-4,19836.19370408723
2013-5,19908.81675890562
2013-6,20003.41922319685
2013-7,20069.28034265956
2013-8,20169.116894302293
2013-9,20271.692261621974
2013-10,20373.137072523536
2013-11,20476.67862239738
2013-12,20583.51612767396
2014-1,20689.465935100106
2014-2,20806.601099912834
2014-3,20925.08187952748
2014-4,21043.261736767825
2014-5,21161.829412039475
2014-6,21282.66121624825
2014-7,21402.94965148374
2014-8,21509.87421807114
2014-9,21617.486209143466
2014-10,21736.37458959064
2014-11,21855.19845794647
2014-12,21976.56666493703
2015-1,22096.793416134107
2015-2,22218.094129356457
2015-3,22339.630069154406
2015-4,22455.858361077182
2015-5,22573.278864281056
2015-6,22687.571968472388
2015-7,22811.296922457605
2015-8,22927.092158780015
2015-9,23034.48859274895
2015-10,23141.342395425003
2015-11,23250.624544871975
2015-12,23358.886094310234
2016-1,23466.424052813018
2016-2,23577.046259296952
2016-3,23676.419425815
2016-4,23776.599375739228
2016-5,23876.3313683713
2016-6,23982.018142990317
2016-7,24085.75563129117
2016-8,24187.58126353215
2016-9,24289.600795072165
2016-10,24393.920684580913
2016-11,24489.302033458265
2016-12,24586.844555407486
2017-1,24685.148593988517
2017-2,24785.93216904677
2017-3,24889.38723108127
2017-4,24992.007785406306
2017-5,25096.29695733139
2017-6,25199.824877597723
2017-7,25305.44881451865
2017-8,25414.75497558112
2017-9,25524.7703391893
2017-10,25636.348742177885
2017-11,25747.71866762182
2017-12,25857.396506861616
