Ano,Mato Grosso do Sul- custo m2 (R$)
2003-1,10575.832
2003-2,10674.618538461538
2003-3,10766.098168091166
2003-4,10853.134596662596
2003-5,10952.713907007423
2003-6,11045.48957367409
2003-7,11116.889896254734
2003-8,11184.972083754736
2003-9,11249.866023148674
2003-10,11311.376317266322
2003-11,11371.12574583775
2003-12,11427.34074583775
2004-1,11480.932097189101
2004-2,11532.720518241733
2004-3,11582.49487721609
2004-4,11629.328377216092
2004-5,11673.843011362436
2004-6,11712.39991612434
2004-7,11747.176427752247
2004-8,11780.908473206791
2004-9,11811.978917651235
2004-10,11840.050004607758
2004-11,11866.309579075842
2004-12,11891.691037409177
2005-1,11915.590425164277
2005-2,11965.890597106407
2005-3,12015.564720752222
2005-4,12064.654854479997
2005-5,12113.159553619125
2005-6,12157.799872937734
2005-7,12203.223144351277
2005-8,12248.735047373651
2005-9,12295.20572010057
2005-10,12341.979591466938
2005-11,12390.606392981235
2005-12,12439.774161290285
2006-1,12490.133006503604
2006-2,12539.848943428391
2006-3,12590.210339860772
2006-4,12640.6141248127
2006-5,12699.118935988143
2006-6,12759.609260980504
2006-7,12820.747002712264
2006-8,12888.54089199716
2006-9,12960.851553605125
2006-10,13035.159974747043
2006-11,13113.348749647846
2006-12,13192.70056945544
2007-1,13273.608723170668
2007-2,13355.994402721819
2007-3,13438.65141916295
2007-4,13521.580535457044
2007-5,13614.564528946372
2007-6,13707.770344769378
2007-7,13793.791782970025
2007-8,13880.035020492855
2007-9,13967.10665259733
2007-10,14053.837283872774
2007-11,14142.199889840238
2007-12,14230.338736714913
2008-1,14319.619646417455
2008-2,14408.991210497332
2008-3,14501.511256764044
2008-4,14606.021887721254
2008-5,14711.995107372448
2008-6,14812.72768229866
2008-7,14914.774792937807
2008-8,15016.805156003631
2008-9,15113.862794044582
2008-10,15207.548329563755
2008-11,15300.466051090627
2008-12,15391.507424589461
2009-1,15481.354911428929
2009-2,15571.35116016889
2009-3,15660.514563382098
2009-4,15751.879117345754
2009-5,15860.345210853686
