Ano,Paraíba- custo m2 (R$)
2003-1,9766.6716
2003-2,9857.678138461539
2003-3,9943.113694017093
2003-4,10021.54405115995
2003-5,10097.066120125468
2003-6,10166.762120125468
2003-7,10233.454700770628
2003-8,10296.48345077063
2003-9,10357.116178043356
2003-10,10415.88382510218
2003-11,10471.664110816466
2003-12,10526.0599441498
2004-1,10577.586160366018
2004-2,10627.748791944965
2004-3,10676.36263809881
2004-4,10722.940888098809
2004-5,10776.841375903688
2004-6,10820.864233046543
2004-7,10863.87609351166
2004-8,10905.186320784387
2004-9,10943.44476522883
2004-10,10980.720200011438
2004-11,11015.692965968887
2004-12,11045.866715968887
2005-1,11072.731818009703
2005-2,11120.391414295616
2005-3,11166.866175026926
2005-4,11219.62418484345
2005-5,11274.020718183929
2005-6,11327.724485491248
2005-7,11380.937799070141
2005-8,11433.44704597421
2005-9,11485.639568325305
2005-10,11538.372290575957
2005-11,11591.529810279504
2005-12,11644.632171493036
2006-1,11703.036502663303
2006-2,11763.988958628555
2006-3,11826.515288560871
2006-4,11889.856975304996
2006-5,11953.568528105123
2006-6,12012.429490394947
2006-7,12074.132046667364
2006-8,12138.731964078706
2006-9,12207.320446594918
2006-10,12277.903215602388
2006-11,12352.399603675673
2006-12,12426.488718730912
2007-1,12503.90978001177
2007-2,12582.490554746504
2007-3,12674.892169857749
2007-4,12768.332904446133
2007-5,12854.581857907413
2007-6,12941.055146473196
2007-7,13027.23781302385
2007-8,13113.216588818825
2007-9,13200.745559080957
2007-10,13289.152007871891
2007-11,13378.732818428949
2007-12,13468.587573697308
2008-1,13558.573806395352
2008-2,13643.772935042947
2008-3,13728.30219986773
2008-4,13812.583973567871
2008-5,13897.844932716092
2008-6,13996.485063422439
2008-7,14094.939871035245
2008-8,14191.826153165202
2008-9,14287.139095799623
2008-10,14379.193353946655
2008-11,14470.371520035313
2008-12,14558.915028532447
2009-1,14647.942912405952
2009-2,14735.344200822157
2009-3,14822.522846660435
2009-4,14897.372044146203
2009-5,14985.303046997225
2009-6,15074.535112080692
2009-7,15164.075315460437
2009-8,15253.070978775468
2009-9,15344.811476529685
2009-10,15437.219964640884
2009-11,15529.200739268825
2009-12,15620.298860102292
2010-1,15710.992967988106
2010-2,15803.669889653265
2010-3,15896.599419339189
2010-4,15988.79793402228
2010-5,16081.078627092778
2010-6,16172.091967794344
2010-7,16249.819659720299
2010-8,16342.308430917956
2010-9,16434.042967198624
2010-10,16528.12651559452
2010-11,16622.400457668966
