Ano,Maranhão- custo m2 (R$)
2003-1,10548.34
2003-2,10647.107692307694
2003-3,10736.259173789174
2003-4,10818.881673789176
2003-5,10897.469604823658
2003-6,10974.782604823657
2003-7,11047.643895146239
2003-8,11119.600145146238
2003-9,11182.441054237146
2003-10,11242.891348354793
2003-11,11300.991348354792
2003-12,11357.249403910346
2004-1,11421.956160667103
2004-2,11479.375897509208
2004-3,11533.532051355362
2004-4,11585.796551355364
2004-5,11637.4524050139
2004-6,11688.255976442471
2004-7,11738.397604349448
2004-8,11786.587149803992
2004-9,11832.169816470658
2004-10,11875.393077340223
2004-11,11915.252651808309
2004-12,11951.764526808312
2005-1,11989.387792114432
2005-2,12049.025502157585
2005-3,12107.68280439942
2005-4,12166.134307064936
2005-5,12224.465177131788
2005-6,12280.63222962787
2005-7,12336.750589317753
2005-8,12392.637256545744
2005-9,12447.06066698247
2005-10,12500.423924385435
2005-11,12556.746425937079
2005-12,12619.603876499985
2006-1,12682.612947369158
2006-2,12739.984922607979
2006-3,12798.441229242648
2006-4,12857.372641036263
2006-5,12918.909500009344
2006-6,12980.742910111294
2006-7,13043.48039855351
2006-8,13109.580455578087
2006-9,13181.00440059388
2006-10,13255.819596188236
2006-11,13333.93360677697
2006-12,13414.429952796736
2007-1,13505.293941082216
2007-2,13592.622842081559
2007-3,13681.470746977966
2007-4,13768.541113153038
2007-5,13856.622476542592
2007-6,13946.687931632609
2007-7,14040.373558204134
2007-8,14132.645251446713
2007-9,14226.004598281424
2007-10,14321.102637695692
2007-11,14417.289142048961
2007-12,14513.16552401043
2008-1,14603.261476000438
2008-2,14704.835119441894
2008-3,14807.675123458908
2008-4,14910.071733544959
2008-5,15011.765388494116
2008-6,15112.757957646863
2008-7,15214.735815759836
2008-8,15316.22388549874
2008-9,15413.80762896651
2008-10,15509.349939749622
2008-11,15602.191171250875
2008-12,15692.242141954424
2009-1,15781.84422744744
2009-2,15877.33974349571
2009-3,15972.729272095998
2009-4,16068.558425669835
2009-5,16166.871840210995
2009-6,16272.233255796065
2009-7,16377.075813432051
2009-8,16480.167083946908
2009-9,16584.22242746732
2009-10,16687.216260716013
2009-11,16791.15388567561
2009-12,16896.302553912887
2010-1,16998.24514635988
2010-2,17099.654609020276
2010-3,17191.320108807588
2010-4,17284.37633299838
2010-5,17378.334181966817
2010-6,17473.267218568297
2010-7,17567.603734097305
2010-8,17661.476548757255
2010-9,17762.879256170694
2010-10,17864.226432236086
2010-11,17963.283911674585
2010-12,18068.03090637711
2011-1,18173.837615855125
2011-2,18281.175644189974
2011-3,18373.140254408227
2011-4,18463.893131598274
2011-5,18529.212207229466
2011-6,18617.898745331884
2011-7,18675.50987777139
2011-8,18729.232613778313
2011-9,18786.738440917732
2011-10,18844.73080853917
2011-11,18909.0360033927
2011-12,18971.87767926448
2012-1,19034.42921243492
2012-2,19098.733581130327
2012-3,19165.27580505094
2012-4,19228.38694170897
2012-5,19286.22144392755
2012-6,19341.802816620628
2012-7,19397.299869642102
2012-8,19449.888566285874
2012-9,19504.140036031356
2012-10,19549.581684599943
2012-11,19590.75771015839
2012-12,19632.405338698878
2013-1,19666.845633236055
2013-2,19698.566613182604
2013-3,19736.696632957963
2013-4,19775.79676313245
2013-5,19816.54398010253
2013-6,19882.224832610147
2013-7,19922.860467044397
2013-8,19986.388846417314
2013-9,20055.65509606301
2013-10,20121.721762494544
2013-11,20186.646271758942
2013-12,20244.793420092945
2014-1,20301.86741480373
2014-2,20362.071459750034
2014-3,20429.593457272884
2014-4,20491.621572624354
2014-5,20557.71554468385
2014-6,20624.752158984997
2014-7,20701.705410869985
2014-8,20778.64736069096
2014-9,20857.291009556375
2014-10,20934.494702893615
2014-11,21013.318233879203
2014-12,21095.43171395514
2015-1,21178.494293041997
2015-2,21262.86508201763
2015-3,21360.391785463245
2015-4,21450.20005388172
2015-5,21540.448080223545
2015-6,21627.72816389948
2015-7,21716.93843596661
2015-8,21806.61104757727
2015-9,21898.60884760094
2015-10,21987.286883346613
2015-11,22077.16882458849
2015-12,22166.801529748274
2016-1,22258.430266680014
2016-2,22353.71542692239
2016-3,22444.982038497335
2016-4,22529.010989134567
2016-5,22616.270160900083
2016-6,22701.44168368001
2016-7,22791.98983724521
2016-8,22875.96380513042
2016-9,22964.7827121598
2016-10,23059.751522417013
2016-11,23158.693702407287
2016-12,23256.05014054051
2017-1,23353.44031251164
2017-2,23448.930027194692
2017-3,23543.579107708512
2017-4,23639.79395101964
2017-5,23733.807295859187
2017-6,23830.3531982191
2017-7,23930.11677034807
2017-8,24025.676940437494
2017-9,24120.690938250966
2017-10,24214.02200132546
2017-11,24309.891289447478
2017-12,24403.19297240378
2018-1,24500.88238960083
2018-2,24597.62202476248
2018-3,24693.13297573881
2018-4,24790.929321396798
2018-5,24897.788471034804
2018-6,25004.233742670203
2018-7,25112.27990713939
2018-8,25218.30970448417
2018-9,25328.342273858736
2018-10,25439.05042817912
2018-11,25548.086528296717
2018-12,25662.905157396497
2019-1,25794.170974067034
2019-2,25938.630579404893
2019-3,26094.590182511227
2019-4,26273.634694241893
2019-5,26450.390831858676
2019-6,26635.91253667499
2019-7,26829.7094619496
2019-8,27029.11849647208
2019-9,27230.854038431975
2019-10,27437.71206088465
2019-11,27651.325327406263
2019-12,27873.404185323787
2020-1,28100.38972028134
2020-2,28332.53844131563
2020-3,28565.307755939168
2020-4,28811.16581267795
2020-5,29080.703292091854
2020-6,29354.173186399137
2020-7,29639.548889332378
2020-8,29926.516419581218
2020-9,30218.866352542384
2020-10,30508.303986801235
2020-11,30795.428753303724
2020-12,31083.916757895706
2021-1,31369.059851783448
2021-2,31645.611053369492
2021-3,31916.49065487897
2021-4,32178.61515431505
2021-5,32437.121694316545
2021-6,32689.82232416262
2021-7,32935.81415656033
2021-8,33175.03772175647
2021-9,33409.67260390513
2021-10,33539.82700326718
2021-11,33671.238108493766
2021-12,33801.83617131075
2022-1,33926.91946369515
2022-2,34052.52240022035
2022-3,34173.88417601396
2022-4,34300.324428301785
2022-5,34415.51450254387
2022-6,34504.13214536876
2022-7,34578.95678906976
2022-8,34640.65085982784
2022-9,34700.22235442445
2022-10,34750.37675321074
2022-11,34798.126453771314
2022-12,34842.56157595482
2023-1,34879.86873940977
2023-2,34905.91429025465
2023-3,34919.73711371077
2023-4,34920.38189946219
2023-5,34913.291507896996
2023-6,34868.68941223548
2023-7,34805.94372706171
2023-8,34730.731161583375
2023-9,34631.49654563978
