Ano,Sergipe- custo m2 (R$)
2003-1,9513.2548
2003-2,9606.19903076923
2003-3,9693.715697435897
2003-4,9777.797840293042
2003-5,9852.699219603386
2003-6,9924.706219603386
2003-7,9995.854284119514
2003-8,10061.894909119514
2003-9,10125.700060634666
2003-10,10187.009472399372
2003-11,10246.340329542229
2003-12,10304.114773986674
2004-1,10363.333692905591
2004-2,10420.819482379278
2004-3,10475.723841353636
2004-4,10527.768841353634
2004-5,10589.024451109733
2004-6,10647.097546347828
2004-7,10703.395220766433
2004-8,10756.516811675523
2004-9,10806.726145008857
2004-10,10849.960492834944
2004-11,10889.6892162392
2004-12,10926.393799572534
2005-1,10961.050126103146
2005-2,11026.142275615455
2005-3,11090.070913265376
2005-4,11153.471631955776
2005-5,11225.898648112157
2005-6,11299.310269102134
2005-7,11372.566678275574
2005-8,11445.099380197129
2005-9,11512.321512259938
2005-10,11579.898684742084
2005-11,11648.336219687853
2005-12,11717.510625609195
2006-1,11786.858704213737
2006-2,11855.034520771043
2006-3,11924.81727665659
2006-4,11995.267754928078
2006-5,12075.010589898986
2006-6,12146.71765395591
2006-7,12219.877860233624
2006-8,12295.800771243159
2006-9,12374.6498316425
2006-10,12457.523376267676
2006-11,12541.247924909161
2006-12,12625.676878147322
2007-1,12711.559594036606
2007-2,12798.654072974023
2007-3,12887.67410965481
2007-4,12976.725399377041
2007-5,13065.8424150387
2007-6,13144.76167558822
2007-7,13222.139663475695
2007-8,13307.855030520594
2007-9,13393.561676445563
2007-10,13479.779230816695
2007-11,13567.473935838627
2007-12,13655.055725964152
2008-1,13745.774605563236
2008-2,13837.341868856081
2008-3,13929.642222898632
2008-4,14020.988038128062
2008-5,14121.043350030104
2008-6,14214.411773706248
2008-7,14307.943898599113
2008-8,14399.968919790246
2008-9,14489.442963638146
2008-10,14576.492823474791
2008-11,14659.681383621873
2008-12,14743.022066452744
2009-1,14826.056458050818
2009-2,14908.126802214374
2009-3,14991.821143627443
2009-4,15072.601287177902
2009-5,15166.876713459553
2009-6,15262.57680118243
2009-7,15358.497109868025
2009-8,15454.396649590313
2009-9,15542.227498959084
2009-10,15630.57047492875
2009-11,15719.117847257565
2009-12,15806.40690667428
2010-1,15894.064889954077
2010-2,15980.612446778381
2010-3,16066.348785103324
2010-4,16160.567082291176
2010-5,16254.693389314916
2010-6,16340.452777871746
2010-7,16424.089328977167
2010-8,16506.416990821617
2010-9,16588.06246165899
2010-10,16669.09653304717
2010-11,16749.72742507926
2010-12,16830.35326266002
2011-1,16910.73349115405
2011-2,16995.662614278608
2011-3,17082.251508402365
2011-4,17167.301719928382
2011-5,17238.79356549472
2011-6,17320.756970638296
2011-7,17377.628606749637
2011-8,17432.271086277833
2011-9,17486.25036049595
2011-10,17540.436133180374
2011-11,17593.68645273653
2011-12,17647.91907733814
2012-1,17706.14197878026
2012-2,17764.91498059304
2012-3,17821.156869038237
2012-4,17876.97723809813
2012-5,17932.559690257458
2012-6,17987.80961476649
2012-7,18041.69424409087
2012-8,18093.699854603397
2012-9,18146.288484476496
2012-10,18198.83779106461
2012-11,18250.71393918741
2012-12,18300.144072128394
2013-1,18351.834700893054
2013-2,18406.759011295893
2013-3,18458.666896949308
2013-4,18510.563537531896
2013-5,18565.343370544215
2013-6,18644.019284932976
2013-7,18698.94218930634
2013-8,18777.391037929945
2013-9,18859.76675122897
2013-10,18941.67524899903
2013-11,19023.272577893287
2013-12,19103.793111059753
2014-1,19187.658703584686
2014-2,19267.596187764364
2014-3,19346.002947094392
2014-4,19437.82062215676
2014-5,19529.160895300818
2014-6,19612.08091989354
2014-7,19695.074415916537
2014-8,19779.300950035427
2014-9,19865.12995198302
2014-10,19949.942839074993
2014-11,20034.111309442553
2014-12,20118.768602713062
2015-1,20206.394001296423
2015-2,20292.711742120984
2015-3,20376.167103974556
2015-4,20457.664659219972
2015-5,20547.067947417687
2015-6,20631.814571435512
2015-7,20706.410597690665
2015-8,20779.58954480055
2015-9,20851.402371471377
2015-10,20920.241873925304
2015-11,20992.97853974013
2015-12,21066.886824675774
2016-1,21141.87016576998
2016-2,21210.917950712537
2016-3,21282.435129548216
2016-4,21354.739051639106
2016-5,21413.381672648957
2016-6,21473.458219125445
2016-7,21535.66326604855
2016-8,21599.091405847157
2016-9,21664.324680455567
2016-10,21732.01640960806
2016-11,21800.444645741394
2016-12,21871.504713829123
2017-1,21945.776471198842
2017-2,22022.007133849907
2017-3,22097.032345926003
2017-4,22172.465718210726
2017-5,22248.740229618707
2017-6,22314.3500721126
2017-7,22385.06263335091
2017-8,22452.866144282747
2017-9,22520.590972843613
2017-10,22586.747474912434
2017-11,22653.54228309585
2017-12,22718.049910511265
2018-1,22785.127524507916
2018-2,22854.282572645418
2018-3,22924.154299623646
2018-4,22990.100813298654
2018-5,23055.33186965905
2018-6,23122.14840429191
2018-7,23189.419428478985
2018-8,23259.969962406132
2018-9,23343.422586009376
2018-10,23442.96744122476
2018-11,23548.719299012857
2018-12,23664.62714907962
2019-1,23795.98597428881
2019-2,23937.469025372284
2019-3,24084.253349689065
2019-4,24242.800308949536
2019-5,24414.136729168695
2019-6,24590.913800588085
2019-7,24790.656325659016
2019-8,24996.43619693061
2019-9,25215.974769433622
2019-10,25442.123214261992
2019-11,25683.204147718105
2019-12,25931.45051230223
2020-1,26181.937259277558
2020-2,26441.927253864695
2020-3,26707.635308583456
2020-4,26977.98349243978
2020-5,27263.950281810005
2020-6,27564.69269838451
2020-7,27882.714214590484
2020-8,28208.863904102967
2020-9,28533.438882504943
2020-10,28852.23921508648
2020-11,29157.13088394081
2020-12,29460.146630571988
2021-1,29761.571109786117
2021-2,30050.685704388103
2021-3,30332.820738653732
2021-4,30628.638032306077
2021-5,30919.059006252122
2021-6,31198.545991498726
2021-7,31477.01705661935
2021-8,31734.972173577728
2021-9,31983.180866978684
2021-10,32116.55809540626
2021-11,32249.70369065202
2021-12,32376.217239208236
2022-1,32501.702660677438
2022-2,32630.262162088286
2022-3,32749.88000093275
2022-4,32867.08011267756
2022-5,32985.42905738281
2022-6,33092.456503206704
2022-7,33186.55676751514
2022-8,33261.58096015829
2022-9,33327.99955519109
2022-10,33389.88706152101
2022-11,33442.36720174832
2022-12,33490.08789349996
2023-1,33529.591504300806
2023-2,33556.17281363878
2023-3,33574.564746635224
2023-4,33581.35303845578
2023-5,33548.7050399939
2023-6,33497.662935484455
2023-7,33431.68256065002
2023-8,33345.64017852236
2023-9,33243.37130586104
