,Goiás - Produção de Cimento (t)
2003-1,56.45996
2003-2,56.789152307692305
2003-3,57.140263418803414
2003-4,57.64919199023199
2003-5,58.213295438507856
2003-6,58.80126210517452
2003-7,59.38326210517452
2003-8,60.083699605174516
2003-9,60.444032938507846
2003-10,60.88020940909608
2003-11,60.848495123381795
2003-12,61.30438401227069
2004-1,61.44954617443286
2004-2,61.898046174432864
2004-3,62.24871284109952
2004-4,61.96988784109952
2004-5,62.17513174353855
2004-6,62.39032221972903
2004-7,62.61957803368251
2004-8,62.5691462155007
2004-9,62.641901771056254
2004-10,62.57383655366494
2004-11,62.53694293664367
2004-12,62.70663043664367
2005-1,62.68371206929674
2005-2,62.92384986662931
2005-3,63.427945735179044
2005-4,63.987980068166316
2005-5,64.47556757996088
2005-6,64.77926701141912
2005-7,65.13255282583226
2005-8,65.49910977931506
2005-9,65.22330182368528
2005-10,65.1120624131787
2005-11,65.03073288264977
2005-12,65.00118671447157
2006-1,64.94432554512873
2006-2,64.90917818534703
2006-3,65.18267067536567
2006-4,65.50415961075886
2006-5,66.27945087136416
2006-6,66.99506962907488
2006-7,68.01728896395949
2006-8,68.77756877886311
2006-9,69.3615161781154
2006-10,70.32391647213701
2006-11,71.33977524598338
2006-12,72.01585345637807
2007-1,72.38659270167877
2007-2,73.15903924519678
2007-3,74.3727982121063
2007-4,74.89855030347218
2007-5,75.81654153276412
2007-6,76.45445936853562
2007-7,77.62354492684412
2007-8,78.6344223166607
2007-9,79.08112257252489
2007-10,79.94128217964408
2007-11,80.64718462385764
2007-12,81.29852037367823
2008-1,82.11446595855998
2008-2,82.84357086495655
2008-3,84.2751911237241
2008-4,85.06720174511918
2008-5,86.22063117643265
2008-6,87.09367567245444
2008-7,87.82562681619689
2008-8,88.73114391522215
2008-9,89.91184953024987
2008-10,91.185652251722
2008-11,91.71040196150946
2008-12,92.2387208740712
2009-1,92.6147998009629
2009-2,93.55480402747891
2009-3,94.22753392099487
2009-4,94.62987546607424
2009-5,95.83143312245386
2009-6,96.48536968550874
2009-7,97.78779642667146
2009-8,98.65020972258631
2009-9,99.7940421186256
2009-10,100.72608129303582
2009-11,101.45377107086016
2009-12,102.08278303916632
2010-1,102.88478839968649
2010-2,103.91055008215845
2010-3,105.53524353557073
2010-4,106.44653031948599
2010-5,107.85759824957509
2010-6,108.55886288372086
2010-7,109.84905037782833
2010-8,111.1282835117392
2010-9,111.83291901370893
2010-10,112.47781839092238
2010-11,112.64774014886522
2010-12,113.26105317309698
2011-1,114.20759056695465
2011-2,115.34723935809733
2011-3,116.11718701790586
2011-4,116.92087381580203
2011-5,117.95146561885768
2011-6,118.67024179225368
2011-7,119.7107289781056
2011-8,120.72605413221653
2011-9,121.59239789567837
2011-10,122.39179291153658
2011-11,123.09241967926108
2011-12,123.7190451610652
2012-1,124.8147035717162
2012-2,125.38078347318618
2012-3,125.80000223043749
2012-4,125.68315998805865
2012-5,125.72265155563886
2012-6,125.50730453856144
2012-7,125.69668964522
2012-8,125.25151726875278
2012-9,124.69601999848776
2012-10,124.2571829923462
2012-11,123.74176944193795
2012-12,123.87760385899774
2013-1,123.9476629108966
2013-2,123.79300782753681
2013-3,123.71874421029507
2013-4,123.79220047952748
2013-5,123.83462114030321
2013-6,123.59029311887498
2013-7,123.21021778151741
2013-8,122.5361204684675
2013-9,121.37008567066503
2013-10,120.41182856986302
2013-11,119.31177215472682
2013-12,118.91289538308912
2014-1,118.88163051881553
2014-2,118.4086016226922
2014-3,118.2696212350728
2014-4,118.11924902817032
2014-5,117.96819253627756
2014-6,117.81324730847717
2014-7,117.65953477025388
2014-8,117.49882023927789
2014-9,117.34391097045477
2014-10,117.19717696696723
2014-11,117.05640424924812
2014-12,116.92327726280841
2015-1,116.78466126813396
2015-2,116.35926648242165
2015-3,116.30243852494114
2015-4,116.09238505614383
2015-5,116.3412092311768
2015-6,116.36154193273984
2015-7,116.43477616509276
2015-8,116.89365986388292
2015-9,117.22451285445992
2015-10,117.66765976491637
2015-11,117.97376419163757
2015-12,117.96231096790108
2016-1,118.17032586321791
2016-2,118.4371324737451
2016-3,119.01651765146336
2016-4,119.52822690777455
2016-5,119.71274424059446
2016-6,120.9984062287292
2016-7,121.5989278393466
2016-8,122.75691370373042
2016-9,123.7329243575239
2016-10,124.83655611760986
2016-11,125.51857318482415
2016-12,125.89965768205164
2017-1,126.50565495008281
2017-2,126.94420584155117
2017-3,128.23916378765585
2017-4,129.10883165016025
2017-5,130.62390198881363
2017-6,131.57742633080622
2017-7,133.15799540015453
2017-8,134.80712232331905
2017-9,135.6422746184096
2017-10,136.78233098093918
2017-11,137.7894875363682
2017-12,138.35129821687292
2018-1,139.41762448726007
2018-2,140.03334486734258
2018-3,140.7544104263956
2018-4,140.83122456465955
2018-5,141.76902043520818
2018-6,143.35214852081256
2018-7,144.3745106084061
2018-8,146.05862454246852
2018-9,147.09380231468768
2018-10,148.58679982401756
2018-11,149.44413132822996
2018-12,150.21891822911576
2019-1,151.53147456681097
2019-2,152.51189945694827
2019-3,153.74738300011964
2019-4,154.71222420853726
2019-5,156.39806895462658
2019-6,157.4330519539289
2019-7,159.02012594623753
2019-8,160.2564959573821
2019-9,161.1744015417507
2019-10,162.37307760141076
2019-11,162.83572549162443
2019-12,163.22634259275213
2020-1,163.9644047228721
2020-2,164.56609411543562
2020-3,166.1191910388661
2020-4,167.75679880646751
2020-5,169.70360644405545
2020-6,170.7706592197462
2020-7,172.15122066258158
2020-8,172.83099025552397
2020-9,173.60744669864752
2020-10,174.63025576770792
2020-11,173.50189772574242
2020-12,172.8719541828345
2021-1,173.74722481067934
2021-2,174.42926683311657
2021-3,175.27508496810103
2021-4,176.08288023334728
2021-5,176.60425605739633
2021-6,176.39303380530717
2021-7,176.35724846379966
2021-8,175.76881848773533
2021-9,175.07522201318756
2021-10,174.58694105125485
2021-11,174.2640938012838
2021-12,174.68872791239036
2022-1,175.30961994661337
2022-2,176.34655809433778
2022-3,177.43276462590364
2022-4,177.5382900262958
2022-5,177.26597069023717
2022-6,177.01859439786364
2022-7,176.894978717063
2022-8,175.67448688159897
2022-9,174.61484343544447
2022-10,173.30722270108308
2022-11,171.55653768702373
2022-12,173.35258479295592
