Ano,Goiás - Produção de Cimento (t)
2008,1049.2181318902185
2009,1167.8384996944192
2010,1306.3904380863587
2011,1430.4470369277346
2012,1500.4293885633413
2013,1468.429449715763
2014,1413.139666708516
2015,1402.3981863034478
2016,1460.2069062506112
2017,1589.5296936251334
2018,1731.934560148604
2019,1895.2202712721294
2020,2042.4745196404808
2021,2103.2727984375992
2022,2106.3124519964204
