Ano,Minas Gerais - Produção de Cimento (t)
2008,12196.7227558846
2009,13086.09370806539
2010,13948.809933407687
2011,14478.034724652201
2012,14505.212690299351
2013,14035.24123663822
2014,13306.331979883218
2015,12588.656354109555
2016,12210.5522998276
2017,12699.687744522344
2018,13541.777330532233
2019,14329.818876484253
2020,14765.664718497615
2021,14894.990775077371
2022,15001.612970570855
