,Pernambuco - Produção de Cimento (t)
2003-1,34.26608
2003-2,34.12627230769231
2003-3,34.41427230769231
2003-4,34.576093736263736
2003-5,34.8901971845396
2003-6,34.742663851206274
2003-7,35.42117998023853
2003-8,35.90308623023852
2003-9,36.220934715087004
2003-10,36.80952295038113
2003-11,37.00986580752398
2003-12,37.378143585301764
2004-1,37.69414358530177
2004-2,37.85074884845966
2004-3,38.338338592049396
2004-4,38.482138592049395
2004-5,38.57333371400062
2004-6,38.677286094953
2004-7,38.72507679262742
2004-8,38.7428949744456
2004-9,39.014961641112265
2004-10,39.160157293286176
2004-11,39.11700835711597
2004-12,39.3739041904493
2005-1,39.25535317004114
2005-2,39.01558323473586
2005-3,39.111140600593885
2005-4,39.07754607595922
2005-5,39.11208591962647
2005-6,39.18726732238335
2005-7,39.3837286177135
2005-8,39.31657654909054
2005-9,39.25599471886303
2005-10,39.4548122699605
2005-11,39.45559368464579
2005-12,39.8800371107095
2006-1,40.07334106020762
2006-2,40.183855294389375
2006-3,40.67783705859202
2006-4,41.1694390681133
2006-5,41.59105744517582
2006-6,42.17331711315899
2006-7,42.75146060332647
2006-8,43.47685619129991
2006-9,44.35624315490919
2006-10,45.26306522661932
2006-11,46.019716408932254
2006-12,46.92769004264277
2007-1,47.57113465187122
2007-2,48.17039549843918
2007-3,49.093126360963744
2007-4,49.7732077030121
2007-5,50.65724161376827
2007-6,51.27155091364873
2007-7,52.116556701225576
2007-8,53.21351237639929
2007-9,54.21285800552804
2007-10,55.19058990933753
2007-11,55.973177208100324
2007-12,56.72143401470143
2008-1,57.29452374743597
2008-2,57.73964992472634
2008-3,58.49544165187607
2008-4,58.99700501092269
2008-5,59.42020023424533
2008-6,59.87055008708349
2008-7,60.423799739612555
2008-8,61.03876584443473
2008-9,61.55800889858032
2008-10,62.07757554641035
2008-11,62.3986267774265
2008-12,62.83235964208965
2009-1,63.095495756364066
2009-2,63.42378884012923
2009-3,64.08096013281678
2009-4,64.21920163836481
2009-5,65.20975253500467
2009-6,65.78731398237683
2009-7,67.0251662899019
2009-8,68.71781138354835
2009-9,69.55642973063303
2009-10,69.84050262298211
2009-11,70.81841920897486
2009-12,71.57397516817637
2010-1,72.61180253865545
2010-2,73.61568577929259
2010-3,75.33621712326332
2010-4,76.81768192880183
2010-5,78.21551206998305
2010-6,78.98749802581443
2010-7,80.01004798374771
2010-8,80.98160407036272
2010-9,82.05962117701431
2010-10,83.15416428473746
2010-11,83.95629874878493
2010-12,84.66035327881268
2011-1,85.5414551897662
2011-2,86.46639313738665
2011-3,87.88324220467761
2011-4,88.95547245104213
2011-5,90.09882491660696
2011-6,90.09070394480291
2011-7,90.62048741342387
2011-8,91.0715755996182
2011-9,91.10291772647675
2011-10,91.65360115496337
2011-11,92.73807255357525
2011-12,93.1056777238732
2012-1,93.79516144949967
2012-2,94.14447489665974
2012-3,94.54305601567307
2012-4,94.33455010385636
2012-5,94.08918123279335
2012-6,93.98427127401689
2012-7,94.39598967849913
2012-8,94.6375826576923
2012-9,94.73665977171947
2012-10,94.5836500637397
2012-11,94.47221449654731
2012-12,94.41774047390689
2013-1,94.42324925048317
2013-2,94.19002522256777
2013-3,93.94993433217788
2013-4,93.25636886539215
2013-5,92.70816850067045
2013-6,92.40337901113239
2013-7,92.55283477050354
2013-8,92.3544202850795
2013-9,91.78121361685278
2013-10,90.86988729391584
2013-11,90.02488088858834
2013-12,89.12979709367607
2014-1,88.19316221201024
2014-2,87.11086543456875
2014-3,86.11971305487594
2014-4,85.10019876704627
2014-5,84.06413328786937
2014-6,83.01193114322079
2014-7,81.94039650498296
2014-8,80.83859139648555
2014-9,79.70937000048424
2014-10,78.55508128795175
2014-11,77.38035831002021
2014-12,76.18393558901236
2015-1,74.96420779252765
2015-2,73.62803260242359
2015-3,72.3562321699425
2015-4,70.93295428324966
2015-5,69.60730092443043
2015-6,68.1859712654401
2015-7,66.72561658841431
2015-8,65.34937423484398
2015-9,63.87024384897911
2015-10,62.44689694409539
2015-11,61.165862155615095
2015-12,59.625771977391146
2016-1,58.0292799196244
2016-2,56.391082904910995
2016-3,54.84618005445151
2016-4,53.283696873684825
2016-5,51.703751353995216
2016-6,50.295447349513836
2016-7,48.84388237413205
2016-8,47.43471094872111
2016-9,46.17941601246934
2016-10,44.818534152655644
2016-11,43.48805476505485
2016-12,42.2483826810468
2017-1,41.19916090158395
2017-2,40.05869055687081
2017-3,39.11262235185953
2017-4,38.15922215149049
2017-5,37.539901087577036
2017-6,36.67983170315146
2017-7,35.889216610043526
2017-8,35.23669824313801
2017-9,34.441113018817475
2017-10,33.83713075697744
2017-11,33.33113552866891
2017-12,32.69314110771082
2018-1,32.408454763431635
2018-2,32.1798052704481
2018-3,32.07161593096927
2018-4,32.0232166631431
2018-5,31.807859924152456
2018-6,31.984004997012807
2018-7,32.08030209185973
2018-8,32.258759637119475
2018-9,32.478434100148014
2018-10,32.553250795814925
2018-11,32.50155113547124
2018-12,32.42750004098994
2019-1,32.34507386466225
2019-2,32.2570924965618
2019-3,32.40195784226978
2019-4,32.31853611758428
2019-5,32.26015476995354
2019-6,31.937629334900002
2019-7,31.922910919221398
2019-8,31.883782231653598
2019-9,31.832294149786573
2019-10,31.91323662184717
2019-11,31.903504088477163
2019-12,31.721980997861007
2020-1,31.543304260925293
2020-2,31.312750169037407
2020-3,31.229483738396375
2020-4,31.124991244670397
2020-5,30.772945827966875
2020-6,30.5334986015141
2020-7,30.050855613850864
2020-8,29.502336297973137
2020-9,29.14100112778647
2020-10,28.650257597738275
2020-11,28.25270671614488
2020-12,28.140832340240255
2021-1,28.13685660356298
2021-2,28.10527446191327
2021-3,27.932784384245114
2021-4,27.655486849272236
2021-5,27.567746794294056
2021-6,27.422498859843696
2021-7,27.409221916624347
2021-8,27.251576377942083
2021-9,27.200635641047846
