,Rio Grande Do Sul - Produção de Cimento (t)
2003-1,135.54384000000002
2003-2,134.4681476923077
2003-3,134.2429625071225
2003-4,133.1693910785511
2003-5,132.04687383717177
2003-6,131.47404050383844
2003-7,131.07236308448358
2003-8,130.6039255844836
2003-9,129.3252589178169
2003-10,128.30493538840517
2003-11,128.0482211026909
2003-12,128.31827665824642
2004-1,128.21089827986808
2004-2,127.7730561746049
2004-3,128.13544078998953
2004-4,127.49931578998954
2004-5,127.56419383877002
2004-6,127.70483669591286
2004-7,127.50241809126169
2004-8,127.43669081853444
2004-9,127.01520192964554
2004-10,127.41724540790644
2004-11,127.11567093982131
2004-12,127.23794177315465
2005-1,126.74977850784852
2005-2,126.2520425590291
2005-3,126.33720367875812
2005-4,126.28898411083229
2005-5,126.39607784618498
2005-6,126.59373507085873
2005-7,126.36823904161423
2005-8,126.6971752856373
2005-9,127.02924160606902
2005-10,128.1122004364415
2005-11,129.3896140088504
2005-12,130.03943835387406
2006-1,130.30387022521342
2006-2,130.87380842817964
2006-3,131.70084418845667
2006-4,132.25597487005805
2006-5,133.27958015740637
2006-6,134.1191798781949
2006-7,135.4573909635476
2006-8,136.89898224665544
2006-9,138.10562084722935
2006-10,139.9157926618739
2006-11,140.69527321807732
2006-12,142.02526510130704
2007-1,143.05035333249384
2007-2,143.73938547177232
2007-3,145.1741883883589
2007-4,146.36694317835077
2007-5,147.54686071034095
2007-6,148.67581546267067
2007-7,149.5979191441362
2007-8,151.12960649316724
2007-9,151.71761529332093
2007-10,152.68262291959138
2007-11,153.32371317434954
2007-12,153.65806213691076
2008-1,153.82907486717681
2008-2,154.18556883946175
2008-3,155.4515027254063
2008-4,156.317679430242
2008-5,156.91187748249067
2008-6,157.5849039585128
2008-7,158.2858779193356
2008-8,158.92366336741293
2008-9,159.30477930865285
2008-10,159.8739458078656
2008-11,160.21009179043682
2008-12,161.24202686334215
2009-1,161.49743016460815
2009-2,161.9255541815901
2009-3,163.1915984409741
2009-4,163.84095374817034
2009-5,164.64970906592177
2009-6,165.20156311399487
2009-7,166.1179049027974
2009-8,166.6889046121578
2009-9,167.02919641050454
2009-10,168.4622694945287
2009-11,169.24189493483357
2009-12,170.117653746272
2010-1,170.59305357503447
2010-2,171.3268490588683
2010-3,172.46303845110108
2010-4,172.71260040468673
2010-5,173.69866001641006
2010-6,174.53516578240843
2010-7,175.20953847269197
2010-8,176.04032746357686
2010-9,176.19458591451897
2010-10,176.3046431921897
2010-11,176.89951456737995
2010-12,177.0716048281339
2011-1,177.76018805190517
2011-2,178.77757086593166
2011-3,179.4342446758162
2011-4,179.83899255815987
2011-5,180.2000545746903
2011-6,180.09036774833862
2011-7,180.39187396536607
2011-8,180.64566925235727
2011-9,181.2098889388919
2011-10,181.71686225579776
2011-11,181.56207843459921
2011-12,181.42669442439035
2012-1,181.09987892802542
2012-2,181.13997740461707
2012-3,181.09103541750406
2012-4,180.61994206113326
2012-5,180.30582950018612
2012-6,179.44456473746436
2012-7,178.6643804595792
2012-8,177.98503612695006
2012-9,177.0488873241618
2012-10,176.52837744039357
2012-11,176.0985440285493
2012-12,175.04728223912713
2013-1,174.26143600553223
2013-2,172.79114660516888
2013-3,171.43369479809795
2013-4,170.54837745365475
2013-5,169.51146111041407
2013-6,168.4564169289274
2013-7,167.6229922766362
2013-8,166.44852238794493
2013-9,165.1625922770094
2013-10,163.99971450256865
2013-11,162.66871148719665
2013-12,161.39182061654995
2014-1,160.23436255050072
2014-2,159.16366105008476
2014-3,158.18950882127504
2014-4,157.1964747507981
2014-5,156.1927888290128
2014-6,155.17502998149615
2014-7,154.15407737714696
2014-8,153.12821113348215
2014-9,152.09527301408195
2014-10,151.06035960250597
2014-11,150.01494815975025
2014-12,148.95697390003713
2015-1,147.89886265113444
2015-2,146.56554774302717
2015-3,145.7087687575024
2015-4,144.44984606862732
2015-5,143.35899848934105
2015-6,142.05399487899845
2015-7,141.03967139692992
2015-8,140.3851721369942
2015-9,139.4620658636512
2015-10,138.3147781525914
2015-11,137.35773280434114
2015-12,136.21105976999715
2016-1,135.13353986933862
2016-2,134.1037592315307
2016-3,133.22628893202665
2016-4,132.04277715586124
2016-5,130.6954451349733
2016-6,130.1365751470483
2016-7,128.65746382389628
2016-8,127.98670203126437
2016-9,127.02413187465935
2016-10,126.41033016044373
2016-11,125.9332712505474
2016-12,125.04875597834793
2017-1,124.17360284291988
2017-2,123.50423019377266
2017-3,123.16450942746131
2017-4,122.4244020941952
2017-5,121.93265833961493
2017-6,121.45332486717153
2017-7,121.28735200978731
2017-8,120.96179447127422
2017-9,120.03250104952483
2017-10,119.46065278801203
2017-11,119.1764257397553
2017-12,118.62276641190662
2018-1,118.40749511888436
2018-2,118.23198400152815
2018-3,117.65374369071176
2018-4,117.12899786946043
2018-5,117.15504319014616
2018-6,117.41874927290476
2018-7,117.01863037751409
2018-8,118.04734806228178
2018-9,118.09527961393523
2018-10,118.84505813922655
2018-11,119.30044034287518
2018-12,119.06948461006553
2019-1,119.21366274540674
2019-2,119.21933743729421
2019-3,119.75460493205998
2019-4,120.28115790154156
2019-5,120.82262230577314
2019-6,121.350499121409
2019-7,122.0359924735363
2019-8,122.95792391157198
2019-9,123.21608981851683
2019-10,123.97573448727181
2019-11,124.68928717501178
2019-12,125.32416189818031
2020-1,125.78231282647158
2020-2,126.13939073887134
2020-3,126.8306031212661
2020-4,127.68768188515494
2020-5,128.3986958446589
2020-6,128.72903569475102
2020-7,129.27502113193154
2020-8,129.83074339222577
2020-9,129.87103717446954
2020-10,130.35615467570491
2020-11,130.39380970706162
2020-12,130.41885806143276
2021-1,130.82225871794947
2021-2,131.3299577539174
2021-3,132.05653553805956
2021-4,132.06087923014977
2021-5,132.05482469739425
2021-6,132.00061602504582
2021-7,132.1986334757287
2021-8,132.04554260933654
2021-9,131.51309664201406
2021-10,131.67607365395028
2021-11,131.5620582018615
2021-12,131.44062115398887
2022-1,131.3945678320388
2022-2,131.77281991311327
2022-3,132.1837684156825
2022-4,132.03070580083704
2022-5,132.22716610447827
2022-6,132.41405760010076
2022-7,132.9129935836158
2022-8,133.03419930897095
2022-9,133.00107985274653
2022-10,133.0527880946363
2022-11,132.66553507592732
2022-12,132.38890549371908
