Ano,Pará - Produção de Cimento (t)
2008,1172.6937545749265
2009,1310.0526629730207
2010,1443.581473410736
2011,1536.0793757983854
2012,1569.7634177858563
2013,1509.3579899192064
2014,1427.2360756626942
2015,1386.3129659942294
2016,1292.0853557226653
2017,1128.424890393573
2018,977.1282925476488
2019,897.0356491591981
2020,879.1926097276679
2021,897.3616400727685
2022,908.2951127995636
