,Minas Gerais - Produção de Cimento (t)
2003-1,648.89116
2003-2,652.3963138461539
2003-3,655.9115731054131
2003-4,656.7464302482704
2003-5,660.1146716275807
2003-6,661.4202382942473
2003-7,666.4659479716668
2003-8,668.8839167216668
2003-9,673.6921894489394
2003-10,677.8824541548217
2003-11,679.8870827262504
2003-12,684.3133049484726
2004-1,691.6020617052293
2004-2,696.2192459157556
2004-3,703.7686305311402
2004-4,708.0032805311401
2004-5,715.4832561408963
2004-6,719.9879942361343
2004-7,726.889715166367
2004-8,730.778874257276
2004-9,733.8028075906094
2004-10,737.586742373218
2004-11,740.3391679051329
2004-12,743.514480405133
2005-1,745.9272355071738
2005-2,750.2480941909937
2005-3,757.692844810276
2005-4,763.3416054573141
2005-5,769.810017196274
2005-6,774.111452820125
2005-7,782.0928449533063
2005-8,787.1363530549725
2005-9,792.5835048168765
2005-10,798.9333479876508
2005-11,803.5567948005657
2005-12,807.4226052510619
2006-1,811.1297542368291
2006-2,814.8869316354331
2006-3,821.5293537929776
2006-4,827.0786950840354
2006-5,835.8815402789926
2006-6,843.5085052614027
2006-7,853.5468218129387
2006-8,862.2143954179709
2006-9,869.440752992679
2006-10,878.3510784090478
2006-11,885.9537383281462
2006-12,891.3740152755547
2007-1,897.4548833341347
2007-2,903.4680598203994
2007-3,911.7380387107952
2007-4,918.3485732801937
2007-5,927.7258175214768
2007-6,934.8897318138279
2007-7,944.3149415892096
2007-8,950.5876578470852
2007-9,957.2468069244752
2007-10,964.4787722736098
2007-11,969.4468013406703
2007-12,975.0894137190398
2008-1,981.0100016469577
2008-2,985.8157822063482
2008-3,995.4144526261626
2008-4,1001.9465362758193
2008-5,1010.7687167083049
2008-6,1016.1240060231887
2008-7,1021.7776488958782
2008-8,1026.6223392445097
2008-9,1031.7906238123983
2008-10,1037.9422130128007
2008-11,1041.3929300455302
2008-12,1046.1175053867016
2009-1,1051.063984776725
2009-2,1057.6893541939205
2009-3,1066.103176528074
2009-4,1072.8023834223043
2009-5,1082.0387468945924
2009-6,1088.161418922615
2009-7,1096.4560451901414
2009-8,1103.255435059548
2009-9,1108.8519407169454
2009-10,1116.0542699780162
2009-11,1120.0050148291264
2009-12,1123.6119375533806
2010-1,1127.5532747744896
2010-2,1134.0345048383167
2010-3,1144.750437953255
2010-4,1150.0378662252365
2010-5,1157.170505611959
2010-6,1160.2854196712174
2010-7,1166.7696934191363
2010-8,1173.7344086134885
2010-9,1177.9565120699983
2010-10,1182.640571014031
2010-11,1185.3824762793624
2010-12,1188.4942629371956
2011-1,1190.3048702341443
2011-2,1194.6164393251122
2011-3,1200.0151349400344
2011-4,1203.443195315789
2011-5,1207.3804975993294
2011-6,1206.511451695344
2011-7,1209.4295544049917
2011-8,1211.4050137767235
2011-9,1211.4730051791146
2011-10,1215.1395166987509
2011-11,1214.7801135706025
2011-12,1213.5359319122651
2012-1,1215.6080950624466
2012-2,1218.7605811907724
2012-3,1220.2744084049625
2012-4,1217.9371815628688
2012-5,1216.2818690478935
2012-6,1213.2479545990643
2012-7,1212.069522367271
2012-8,1207.937044240848
2012-9,1201.913020478141
2012-10,1198.0472483465292
2012-11,1193.1454685836354
2012-12,1189.9902964149178
2013-1,1187.7341752322475
2013-2,1186.6546811651533
2013-3,1186.6601951385653
2013-4,1182.8180412650659
2013-5,1180.1508311240889
2013-6,1175.9901300589968
2013-7,1172.9060576057768
2013-8,1166.2403582541892
2013-9,1159.075705809123
2013-10,1153.0847230231464
2013-11,1144.7291476420116
2013-12,1139.197190319854
2014-1,1136.4257162931865
2014-2,1131.8608916535807
2014-3,1126.9805189808098
2014-4,1121.9696524327953
2014-5,1116.9042218091492
2014-6,1111.769196938388
2014-7,1106.591292263097
2014-8,1101.3317657012044
2014-9,1096.0492381508325
2014-10,1090.7818431762228
2014-11,1085.4858436537966
2014-12,1080.1817988301557
2015-1,1074.8338994625367
2015-2,1068.1777912106766
2015-3,1063.674620278661
2015-4,1057.9100995089254
2015-5,1052.2501129424736
2015-6,1047.4820195685047
2015-7,1044.1719904914394
2015-8,1042.262912153829
2015-9,1040.0311840993027
2015-10,1037.2156084375863
2015-11,1032.9513174693677
2015-12,1027.6947984862525
2016-1,1023.7972791193862
2016-2,1019.0120760283754
2016-3,1017.6873048640127
2016-4,1015.4013325642529
2016-5,1009.2378181646036
2016-6,1012.2807008890587
2016-7,1013.6259805615215
2016-8,1016.1163771157167
2016-9,1018.3888444040596
2016-10,1020.7389145025218
2016-11,1021.3893317016008
2016-12,1022.8763399124891
2017-1,1024.6382582436154
2017-2,1026.2204492391477
2017-3,1030.2538096070755
2017-4,1033.3091604096965
2017-5,1045.1196310403243
2017-6,1052.8203150831378
2017-7,1064.9667905018036
2017-8,1076.2431741754847
2017-9,1080.201322380008
2017-10,1085.215610916349
2017-11,1089.5743660689768
2017-12,1091.1248568567241
2018-1,1095.6848988642846
2018-2,1097.9997278386702
2018-3,1103.7991697123496
2018-4,1105.882513892928
2018-5,1114.30243596086
2018-6,1127.4460404056817
2018-7,1133.077251416225
2018-8,1140.9603589846886
2018-9,1146.3159912677286
2018-10,1152.7051371220891
2018-11,1159.4188967673863
2018-12,1164.1849082993415
2019-1,1170.6440423480526
2019-2,1174.6977318195716
2019-3,1182.9914926885597
2019-4,1189.7210984657331
2019-5,1197.003668630142
2019-6,1196.4545265401382
2019-7,1201.3698573861996
2019-8,1202.1863689552688
2019-9,1200.2755361956727
2019-10,1204.0781528041555
2019-11,1204.7539393732943
2019-12,1205.6424612774642
2020-1,1208.0875960615608
2020-2,1210.3248755961993
2020-3,1218.1007561626795
2020-4,1223.8608293555433
2020-5,1232.8881419160048
2020-6,1235.236176731416
2020-7,1238.0108937992882
2020-8,1239.4814375213914
2020-9,1239.5416840221403
2020-10,1241.597963466108
2020-11,1240.1136537996595
2020-12,1238.4207100656242
2021-1,1241.692220728789
2021-2,1242.7236121992044
2021-3,1246.3857533422226
2021-4,1246.0347092087977
2021-5,1246.3280346622494
2021-6,1244.799369562118
2021-7,1243.7086841474538
2021-8,1241.000891730593
2021-9,1236.7603520932407
2021-10,1235.1992281955693
2021-11,1234.0244730268057
2021-12,1236.3334461803279
2022-1,1240.6289025993053
2022-2,1249.4953657175067
2022-3,1256.9080379480602
2022-4,1258.2976840005886
2022-5,1259.1865133332644
2022-6,1255.647670905862
2022-7,1254.293776408539
2022-8,1250.9880749953593
2022-9,1247.0304575835494
2022-10,1244.6340217000295
2022-11,1241.2142940051815
2022-12,1243.2881713736097
