,Mato Grosso Do Sul - Produção de Cimento (t)
2003-1,53.16656000000001
2003-2,53.24571384615385
2003-3,52.99463977207978
2003-4,53.01928262922264
2003-5,53.53959297405022
2003-6,53.57775964071689
2003-7,53.536114479426566
2003-8,53.56017697942656
2003-9,53.33948000972959
2003-10,53.42883295090606
2003-11,53.413175808048926
2003-12,53.71334247471559
2004-1,54.10134247471559
2004-2,54.07192142208402
2004-3,54.392229114391704
2004-4,53.9429541143917
2004-5,54.44280777292828
2004-6,54.52864110626162
2004-7,54.4861527341686
2004-8,54.24426637053222
2004-9,53.67104414831
2004-10,53.99695719178827
2004-11,54.147638042852094
2004-12,54.17759637618544
2005-1,54.40706576394054
2005-2,54.113892412184214
2005-3,54.469508301286886
2005-4,54.78532194474009
2005-5,54.873894175669015
2005-6,54.82745134304899
2005-7,55.26650627574964
2005-8,55.569044883837876
2005-9,55.711062596172795
2005-10,56.09236019997776
2005-11,56.572901572407794
2005-12,56.81214087372123
2006-1,57.10705512676217
2006-2,57.232539058436586
2006-3,57.69051084693359
2006-4,57.75774108637321
2006-5,58.513144902127934
2006-6,58.937702802723855
2006-7,59.33537753122309
2006-8,59.88209640463235
2006-9,60.42705211961399
2006-10,61.29029718025285
2006-11,61.79785513920111
2006-12,62.07814528402456
2007-1,62.54915648622536
2007-2,63.10699507239444
2007-3,63.862691045051776
2007-4,63.93485803982249
2007-5,64.56897102135477
2007-6,65.12560524269531
2007-7,65.89309817942278
2007-8,66.36376332031406
2007-9,66.70800247207889
2007-10,67.03779716342392
2007-11,67.294785672882
2007-12,67.34782412391209
2008-1,67.37236868003843
2008-2,67.7246607933706
2008-3,68.29739797163455
2008-4,68.63388546397539
2008-5,69.3823986145387
2008-6,69.65491399642465
2008-7,69.97934687792873
2008-8,70.26285645643293
2008-9,70.26417809014315
2008-10,70.09865004872537
2008-11,70.01343276032685
2008-12,70.09038332402329
2009-1,70.48969430443144
2009-2,70.61597058643564
2009-3,70.65713335202832
2009-4,70.87030564400743
2009-5,71.50992702368468
2009-6,71.76617102373223
2009-7,72.26248869273299
2009-8,72.534006866474
2009-9,72.69439959190585
2009-10,73.26969341067782
2009-11,73.44573210960137
2009-12,73.76238407769769
2010-1,73.97194652573413
2010-2,74.6836726042177
2010-3,75.18101978403091
2010-4,75.53619573938595
2010-5,76.10487554092494
2010-6,76.07368119248385
2010-7,76.40428868628096
2010-8,76.80775688645143
2010-9,77.23773444624771
2010-10,77.67813355555597
2010-11,78.29108219855252
2010-12,78.70709545239386
2011-1,78.74155896521775
2011-2,78.84304599911134
2011-3,79.35329243610472
2011-4,79.70698956026955
2011-5,80.10143208917286
2011-6,80.17060566193791
2011-7,80.13775738924824
2011-8,80.0942322606057
2011-9,80.12068584007777
2011-10,80.31320188595882
2011-11,80.25915103851558
2011-12,80.28836366971791
2012-1,79.98434284506527
2012-2,80.36188154545978
2012-3,80.3550094247271
2012-4,80.16264419873548
2012-5,80.07355480869306
2012-6,79.78422639724809
2012-7,79.86224335477972
2012-8,79.65669840632343
2012-9,79.32184823325959
2012-10,79.0619007012161
2012-11,78.81084522022375
2012-12,78.58109694369809
2013-1,78.33823225110078
2013-2,78.32011712865526
2013-3,78.29356231205703
2013-4,78.1011963911581
2013-5,78.00817728858148
2013-6,77.68033360460439
2013-7,77.44902134687455
2013-8,77.2640681331818
2013-9,76.96049510434224
2013-10,76.57822882110565
2013-11,76.16549875855763
2013-12,75.76002130678006
2014-1,75.56732685622448
2014-2,75.54613002846389
2014-3,75.20349078467679
2014-4,74.85399915062328
2014-5,74.50130085518077
2014-6,74.14322278615865
2014-7,73.78374166290025
2014-8,73.41533200738087
2014-9,73.04359858232955
2014-10,72.67111243784993
2014-11,72.29632958699406
2014-12,71.91902168777362
2015-1,71.53870236768186
2015-2,70.84490321554213
2015-3,70.45037465171765
2015-4,69.69184545748332
2015-5,69.24147503026549
2015-6,68.77532075677216
2015-7,68.30317938669978
2015-8,67.87587707264373
2015-9,67.53291340668524
2015-10,66.84671611256395
2015-11,66.1930700806112
2015-12,65.39699602595924
2016-1,64.46907189486376
2016-2,63.57993782859693
2016-3,62.829905917812475
2016-4,62.3999668680514
2016-5,61.82036445995226
2016-6,61.481497536434475
2016-7,61.22238885786869
2016-8,60.93157232831993
2016-9,60.45862388005921
2016-10,59.85818008147061
2016-11,59.41526659314799
2016-12,58.963634986859596
2017-1,58.45658744485842
2017-2,58.07495244643346
2017-3,57.85983100216593
2017-4,57.42465664197101
2017-5,57.51489768655239
2017-6,57.27566141423171
2017-7,57.17481122356763
2017-8,57.09084452636085
2017-9,56.90733365806936
2017-10,56.749770806056794
2017-11,56.95156784061786
2017-12,56.963169835720045
2018-1,56.91607134204169
2018-2,57.449438677698396
2018-3,57.522938695026994
2018-4,57.71577609864361
2018-5,57.72718036865569
2018-6,58.18158477495575
2018-7,58.52654573900722
2018-8,58.70465098147943
2018-9,58.99901993358472
2018-10,59.815701485697495
2018-11,60.50483457557967
2018-12,60.73625433032318
2019-1,60.78238941896529
2019-2,61.09707925517156
2019-3,61.45673490432948
2019-4,62.08573294314914
2019-5,62.71716307174462
2019-6,63.264270528585264
2019-7,63.94689520438841
2019-8,64.57263161216025
2019-9,64.99277012411534
2019-10,65.50965658260607
2019-11,65.99077670049485
2019-12,66.3764952486556
2020-1,66.86435903259306
2020-2,67.20165061811451
2020-3,67.84030800465361
2020-4,68.67705023546233
2020-5,69.43328031988719
2020-6,70.08393542093273
2020-7,70.54343237289144
2020-8,70.86408312052174
2020-9,70.85805112335933
2020-10,70.83884767825269
2020-11,70.61160576381505
2020-12,70.65733578806474
2021-1,70.98957364735239
2021-2,71.56756849577236
2021-3,71.97020018569351
2021-4,72.22945941829478
2021-5,72.38373637041845
2021-6,72.46539473481594
2021-7,72.47314518579324
2021-8,72.35856945816393
2021-9,72.16755714076812
2021-10,72.23215570890713
2021-11,72.26522557299154
2021-12,72.21821677422095
2022-1,72.2991317269928
2022-2,72.4908718533183
2022-3,73.24296282651012
2022-4,72.9538906340364
2022-5,73.00713222880546
2022-6,72.7946801042159
2022-7,72.53322759713254
2022-8,72.09712493580061
2022-9,71.65748803405343
2022-10,71.96626303200706
2022-11,72.20563527761325
2022-12,72.24334186926971
