,Alagoas - Produção de Cimento (t)
2003-1,30.77944
2003-2,30.599132307692308
2003-3,30.545910085470087
2003-4,30.377624371184368
2003-5,30.46490023325334
2003-6,30.18366689992001
2003-7,31.07850560959743
2003-8,31.116880609597423
2003-9,31.67536545808227
2003-10,32.06507134043522
2003-11,32.33007134043521
2003-12,32.801182451546325
2004-1,33.22953380289767
2004-2,33.42384959237136
2004-3,33.747926515448285
2004-4,33.934351515448284
2004-5,34.150863710570235
2004-6,33.91467323437976
2004-7,33.80244067624022
2004-8,33.87289522169477
2004-9,34.324961888361436
2004-10,34.85091841010057
2004-11,34.74370564414312
2004-12,34.912413977476454
2005-1,34.97141397747645
2005-2,35.17257671171067
2005-3,35.71352455669063
2005-4,36.095230974470645
2005-5,36.559651517394855
2005-6,37.04052399258141
2005-7,37.47707209651328
2005-8,37.55761426971564
2005-9,37.979812915840505
2005-10,38.01302612926414
2005-11,38.35433132903616
2005-12,38.45815296145659
2006-1,38.81902991063843
2006-2,39.01348901487804
2006-3,39.46880818676593
2006-4,39.746581282098944
2006-5,39.958402297744875
2006-6,40.336413289319864
2006-7,40.82444880064518
2006-8,41.40271427257181
2006-9,41.91726160014072
2006-10,41.916063635075
2006-11,41.62306659884999
2006-12,41.737094373435845
2007-1,41.755128667230935
2007-2,41.655837130287146
2007-3,41.47280162862544
2007-4,41.17999095662411
2007-5,40.822496262382344
2007-6,40.431227787790256
2007-7,40.15216051830472
2007-8,40.12930517997393
2007-9,40.1324825454894
2007-10,40.3300880481353
2007-11,40.47206890362247
2007-12,40.30841048677729
2008-1,40.48331370157976
2008-2,40.16946235037448
2008-3,40.32340058171114
2008-4,40.3258208346692
2008-5,40.69700939696656
2008-6,40.984144235726184
2008-7,41.17797547953039
2008-8,41.47916990154846
2008-9,41.57081185316023
2008-10,41.917639409344304
2008-11,42.19063075167632
2008-12,42.796152469080944
2009-1,43.41660263429819
2009-2,43.988469449952625
2009-3,44.80450276259886
2009-4,45.51249666329219
2009-5,46.079915147101744
2009-6,46.776148185565404
2009-7,47.58130982633632
2009-8,48.38308838364309
2009-9,49.03104314290165
2009-10,49.58962601223659
2009-11,49.941800256401926
2009-12,50.440672324826
2010-1,51.01969807662291
2010-2,51.472440614889095
2010-3,52.25344017130776
2010-4,52.553563428238306
2010-5,53.06455817504584
2010-6,53.29703876235357
2010-7,53.706301915958214
2010-8,53.86206367996695
2010-9,53.89440845095509
2010-10,53.968461442746815
2010-11,54.0520700556734
2010-12,54.27405861289783
2011-1,55.15817914644511
2011-2,55.48043580995831
2011-3,55.992557572407414
2011-4,56.085579099138194
2011-5,56.23192772027791
2011-6,56.48858103809783
2011-7,57.06824293304747
2011-8,57.495180343388505
2011-9,57.83334548542414
2011-10,58.261902676087864
2011-11,58.675683832493
2011-12,59.08837533404586
2012-1,59.41404274239731
2012-2,59.74419263353554
2012-3,60.140864540621635
2012-4,60.20504346361053
2012-5,60.51220661302047
2012-6,60.66925424878088
2012-7,60.836153690194855
2012-8,60.93262063602476
2012-9,61.19741159431165
2012-10,61.47180699373876
2012-11,61.69962104288436
2012-12,61.82015706886243
2013-1,61.939544500908355
2013-2,61.34124700085367
2013-3,61.21071720008477
2013-4,60.98395311085369
2013-5,60.99656424228812
2013-6,60.9873474949239
2013-7,60.92315730599615
2013-8,60.54281036900093
2013-9,60.08119582141868
2013-10,59.57863008483548
2013-11,59.03677962378951
2013-12,58.42606262827661
2014-1,57.85605508034547
2014-2,57.25887399103245
2014-3,56.64038352310964
2014-4,56.00117545569686
2014-5,55.34761255174527
2014-6,54.67444299364345
2014-7,53.98433022750362
2014-8,53.27672741631168
2014-9,52.55271501824172
2014-10,51.80852295983796
2014-11,51.043543402294794
2014-12,50.258302750737585
2015-1,49.45457686086331
2015-2,48.51680434342798
2015-3,47.76401863321813
2015-4,46.93704052835498
2015-5,46.04558516952847
2015-6,44.764512710317625
2015-7,43.47844105776492
2015-8,42.18839009448712
2015-9,40.90073078859325
2015-10,39.61717047208272
2015-11,38.33862853635113
2015-12,37.06600912640341
2016-1,35.80083854959162
2016-2,34.54243801786583
2016-3,33.2915002574805
2016-4,32.04861245516932
2016-5,30.81436170394378
2016-6,29.589217226000304
2016-7,28.37376499944976
2016-8,27.168548605096866
2016-9,25.974133877171198
2016-10,25.080993154175587
2016-11,24.201339776217466
2016-12,23.324485474810636
2017-1,22.604043722823793
2017-2,21.840481822047472
2017-3,21.21641401548869
2017-4,20.397299635535028
2017-5,19.749080433640742
2017-6,19.047559928826708
2017-7,18.829030280224853
2017-8,18.851408291567573
2017-9,18.95569165613384
2017-10,19.21511534730814
2017-11,19.36641490258485
2017-12,19.499097617542
2018-1,19.719356566340746
2018-2,19.989092308179163
2018-3,20.068502939954264
2018-4,20.15896013755577
2018-5,20.296076076652096
2018-6,20.6849940570475
2018-7,21.305687461762748
2018-8,22.05419880453104
2018-9,22.67341751608412
2018-10,23.356402896470097
2018-11,23.28392146263937
2018-12,23.518014966443904
2019-1,23.668107405048662
2019-2,23.711027072032845
2019-3,23.96289534244071
2019-4,24.144048022582588
2019-5,24.48326737742029
2019-6,24.756107927293346
2019-7,25.16534360073144
2019-8,25.496043872578515
2019-9,25.71509765994608
2019-10,25.849901864105515
2019-11,25.72812199710138
2019-12,25.716707856173148
2020-1,25.795189697777865
2020-2,25.820165884133722
2020-3,25.858963304051166
2020-4,26.09738086250212
2020-5,26.424062918113272
2020-6,26.45857285365329
2020-7,26.23664589031872
2020-8,25.99903279702394
2020-9,25.56839675605441
2020-10,25.39211061809462
2020-11,25.063267918535935
2020-12,25.228662744166478
2021-1,25.20952338003917
2021-2,25.315500813124903
2021-3,25.41613069473832
2021-4,25.38180549578356
2021-5,25.441886472351385
2021-6,25.373851718102145
2021-7,25.294461134980978
2021-8,25.219231346425627
2021-9,25.147316816932445
2021-10,24.939330559853435
2021-11,24.75421896131663
2021-12,24.7283085809256
2022-1,24.735167172749993
2022-2,24.67977130554205
2022-3,24.609341209275886
2022-4,24.477544818806205
2022-5,24.360879468028408
2022-6,24.115869662155614
2022-7,24.299841877844212
2022-8,24.556360424925927
2022-9,24.501313569669783
2022-10,24.609099880161825
2022-11,24.538487924093708
2022-12,24.68819624127977
