,Mato Grosso - Produção de Cimento (t)
2003-1,50.91723999999999
2003-2,50.85158615384615
2003-3,50.97054911680911
2003-4,51.049977688237675
2003-5,51.567529412375606
2003-6,51.91232941237561
2003-7,52.26245844463368
2003-8,52.37273969463368
2003-9,52.476254846148834
2003-10,52.24949014026648
2003-11,51.97100442598076
2003-12,51.66694887042521
2004-1,51.514165086641434
2004-2,51.47979666558879
2004-3,51.86328384507597
2004-4,51.78113384507598
2004-5,52.02313384507598
2004-6,52.00191955936169
2004-7,52.11045444308262
2004-8,52.30754535217353
2004-9,52.37990090772908
2004-10,52.447074820772556
2004-11,52.44213865055979
2004-12,52.5593261505598
2005-1,52.58628533423326
2005-2,52.52461279003394
2005-3,52.988123537711246
2005-4,53.32619648507659
2005-5,53.887180542154944
2005-6,54.37564281010963
2005-7,54.460016552920514
2005-8,54.93527284084473
2005-9,55.27118168056332
2005-10,55.71834345269424
2005-11,56.180360867233574
2005-12,56.77616405991221
2006-1,57.198474573983376
2006-2,57.627133951276065
2006-3,58.537528589759475
2006-4,59.27922746209997
2006-5,59.68369876040658
2006-6,60.36717967704597
2006-7,61.304858454957895
2006-8,62.04721363887372
2006-9,62.298431359010465
2006-10,62.762809531485594
2006-11,63.07025309701035
2006-12,63.63933706530525
2007-1,64.15401075744292
2007-2,64.83047454159005
2007-3,65.86236967937691
2007-4,66.38980327410479
2007-5,67.20265239224821
2007-6,67.86472324633175
2007-7,68.3308473368669
2007-8,69.04919082225356
2007-9,69.31180139330272
2007-10,69.70065077519536
2007-11,69.94482031238925
2007-12,70.09429907657612
2008-1,70.04495489324273
2008-2,70.23292387935005
2008-3,70.8041440819638
2008-4,70.8667484797639
2008-5,71.25190196992031
2008-6,72.07135509664508
2008-7,72.6852974521471
2008-8,73.27520437045709
2008-9,73.83308173232612
2008-10,74.3837072501489
2008-11,74.96568475461142
2008-12,75.41944866599103
2009-1,75.63724686192337
2009-2,76.23349657834136
2009-3,76.7779460076628
2009-4,77.14548838170947
2009-5,78.05589011859935
2009-6,78.69799701097386
2009-7,79.39206382249718
2009-8,80.02719068955086
2009-9,80.69931313582224
2009-10,81.56083378362875
2009-11,82.16426608992332
2009-12,82.69131600375053
2010-1,83.23982655328471
2010-2,83.85733413818353
2010-3,84.88499557203727
2010-4,85.45558437795712
2010-5,86.2080912330223
2010-6,86.66350325879989
2010-7,87.35771036414998
2010-8,87.86673919908881
2010-9,87.7817909302854
2010-10,88.00509111799884
2010-11,88.49422140101619
2010-12,88.84733439379997
2011-1,89.847454510694
2011-2,90.47374446270975
2011-3,91.06152503177849
2011-4,91.90680215471964
2011-5,92.9518289664137
2011-6,93.15109302453237
2011-7,94.27838069827847
2011-8,95.65626471615155
2011-9,96.93565398200055
2011-10,98.39388542784091
2011-11,99.59582525731464
2011-12,100.27389789338385
2012-1,101.47693017684574
2012-2,102.8151771895715
2012-3,104.16701771831704
2012-4,105.21115461343062
2012-5,106.34645254826535
2012-6,107.41342668589422
2012-7,108.4456233739107
2012-8,109.30819419335187
2012-9,110.01106878507156
2012-10,111.13659982000887
2012-11,112.00732623666796
2012-12,112.8222350817104
2013-1,113.65955492082229
2013-2,114.03121236359458
2013-3,114.78212920122199
2013-4,115.35058642916981
2013-5,115.5525033094064
2013-6,115.5531800452692
2013-7,115.91964771041543
2013-8,115.36502400512377
2013-9,114.36386632297452
2013-10,113.49982692468537
2013-11,112.42138083278424
2013-12,111.42748488242937
2014-1,111.06239248861982
2014-2,110.26226373113413
2014-3,109.38737919991237
2014-4,108.46705130011986
2014-5,107.50663228206396
2014-6,106.50344353027559
2014-7,105.45800655625425
2014-8,104.37016889525249
2014-9,103.24252697954785
2014-10,102.07752758409983
2014-11,100.86578266966438
2014-12,99.61153834030861
2015-1,98.31506639514883
2015-2,96.78483660016423
2015-3,95.73125517058985
2015-4,94.63137086092678
2015-5,93.89761544116675
2015-6,93.16402297738342
2015-7,92.77145883897175
2015-8,92.4542135850356
2015-9,92.01674456771602
2015-10,91.60416015871657
2015-11,91.20116987486297
2015-12,90.77371250837481
2016-1,89.93562444243197
2016-2,89.14103967181008
2016-3,88.77411206710083
2016-4,88.38458474952161
2016-5,87.83931167122951
2016-6,88.42711620686846
2016-7,88.86168911863565
2016-8,89.88486747996706
2016-9,90.6060391712003
2016-10,90.88124087773546
2016-11,91.0255825484511
2016-12,91.45869449933011
2017-1,91.55788835680285
2017-2,91.65257860091823
2017-3,92.12812435603567
2017-4,91.93930535982025
2017-5,92.2582427985732
2017-6,92.48923519362232
2017-7,92.81550483068841
2017-8,93.02050576929487
2017-9,93.27967499754509
2017-10,93.54293888386813
2017-11,93.6928731435651
2017-12,93.4631119857835
2018-1,93.08112013838368
2018-2,93.194701683199
2018-3,93.64363356098245
2018-4,93.62684828534738
2018-5,94.22850672485403
2018-6,95.05877601166269
2018-7,95.22689151788298
2018-8,95.93805891378598
2018-9,95.94669547365983
2018-10,96.4879333573835
2018-11,96.56751891819266
2018-12,96.87182374206493
2019-1,96.86401005314114
2019-2,97.24358396531132
2019-3,98.05844121764586
2019-4,98.59844768420933
2019-5,99.88081793572748
2019-6,100.88389089771022
2019-7,101.7656185651406
2019-8,102.63631476380287
2019-9,103.37580066164999
2019-10,103.74500730785621
2019-11,103.9340903369172
2019-12,104.04721721841416
2020-1,104.48589283540664
2020-2,105.27682697208057
2020-3,106.50370708001694
2020-4,107.62093307020132
2020-5,108.86830214744322
2020-6,109.70162450300627
2020-7,110.68017243140105
2020-8,111.71523938881978
2020-9,112.00589613320821
2020-10,112.63471655483166
2020-11,112.27481417110612
2020-12,112.89779978851251
2021-1,113.57137845174084
2021-2,114.38139434217359
2021-3,115.25713792302223
2021-4,115.78615647031997
2021-5,116.52313068069338
2021-6,116.70474564408082
2021-7,116.71252184385347
2021-8,116.56482489562337
2021-9,116.3458082713095
2021-10,116.0480086785138
2021-11,116.08685104822885
2021-12,116.59857028497322
2022-1,117.46498482251576
2022-2,118.55150130279074
2022-3,119.56662411554076
2022-4,119.97591324133062
2022-5,120.07725366046999
2022-6,120.13061511767958
2022-7,119.98256864209134
2022-8,119.54432605080794
2022-9,118.2234479334078
2022-10,117.5241516272451
2022-11,116.4305588080012
2022-12,116.84601094579705
