,Ceará - Produção de Cimento (t)
2003-1,107.67299999999999
2003-2,107.23796153846152
2003-3,108.74218376068374
2003-4,109.39111233211233
2003-5,111.60245715969853
2003-6,112.34415715969853
2003-7,113.05806038550497
2003-8,113.41537288550498
2003-9,113.3905850067171
2003-10,113.88202618318769
2003-11,113.61505475461627
2003-12,113.87391586572738
2004-1,113.76237532518684
2004-2,113.19053321992368
2004-3,114.1854819378724
2004-4,113.99975693787239
2004-5,114.70636669396995
2004-6,115.10134288444615
2004-7,116.002924279795
2004-8,116.61833337070408
2004-9,117.13931114848185
2004-10,117.47768071369926
2004-11,117.78791475625242
2004-12,118.25881058958578
2005-1,117.96950446713679
2005-2,117.55322904809879
2005-3,118.01217328298934
2005-4,117.83974449773025
2005-5,118.49685943988572
2005-6,119.00784724152219
2005-7,119.81496336564105
2005-8,120.87751240605199
2005-9,121.25106627381827
2005-10,122.1220965037591
2005-11,122.24113875519934
2005-12,123.56544659194593
2006-1,124.43804925982793
2006-2,125.08998138094304
2006-3,126.57031705769855
2006-4,127.07284430504195
2006-5,128.44825425131071
2006-6,129.09908869125644
2006-7,129.61208350364032
2006-8,129.65480103882084
2006-9,130.0461779300069
2006-10,130.79219561942577
2006-11,131.17300204607326
2006-12,131.8682895417839
2007-1,132.1567278877471
2007-2,132.67907938612692
2007-3,133.42711714812748
2007-4,133.44346294129357
2007-5,133.92606944014182
2007-6,134.5870329095348
2007-7,135.48111833133095
2007-8,135.93383577961035
2007-9,136.02108727702992
2007-10,136.63610811383012
2007-11,137.32459814668871
2007-12,138.56383201182118
2008-1,138.49104395916555
2008-2,138.25616629996836
2008-3,139.10388435954033
2008-4,139.1988551208024
2008-5,139.95575330071586
2008-6,140.45143695478538
2008-7,141.64507671526553
2008-8,142.69481127060484
2008-9,143.6683829079882
2008-10,144.28263198917148
2008-11,144.40170211916626
2008-12,144.95426742678043
2009-1,144.77849146524974
2009-2,144.7122417423416
2009-3,144.62944913736644
2009-4,144.5869865249019
2009-5,145.4116910878327
2009-6,145.76700989696926
2009-7,145.79194820283524
2009-8,145.90972024102922
2009-9,146.24130971983368
2009-10,146.69419181050316
2009-11,146.83860168186382
2009-12,146.43684665196946
2010-1,144.8804183793194
2010-2,145.0206913266695
2010-3,145.5598244904797
2010-4,145.08276204417237
2010-5,145.45151524669012
2010-6,145.4942042659957
2010-7,145.78862808867348
2010-8,145.55390464731443
2010-9,145.35951879785955
2010-10,145.74537871397936
2010-11,145.57978170836319
2010-12,145.7423343530407
2011-1,145.49890714745416
2011-2,144.98975236545832
2011-3,145.23525258225663
2011-4,145.0298812239891
2011-5,145.7869198913174
2011-6,145.69994496893952
2011-7,146.1835967051022
2011-8,146.81424259290355
2011-9,146.7485389674316
2011-10,146.52033956432135
2011-11,146.37179155929724
2011-12,146.42540767924484
2012-1,146.75221504714844
2012-2,147.80470069343068
2012-3,147.75321458721297
2012-4,147.4174132189247
2012-5,147.82129414668935
2012-6,147.77599750616454
2012-7,147.77770465683855
2012-8,147.51929863927924
2012-9,147.3460862717683
2012-10,147.31335033100257
2012-11,146.99315674884272
2012-12,146.95152591876504
2013-1,146.85734382243874
2013-2,146.99188451259874
2013-3,147.88444289461037
2013-4,148.31035290098492
2013-5,149.4359456174251
2013-6,149.87414497626693
2013-7,150.88975955367596
2013-8,151.53039727944858
2013-9,151.902385275967
2013-10,152.34018680412953
2013-11,152.9296245029011
2013-12,153.6179633676394
2014-1,154.27530007265037
2014-2,155.10846740553234
2014-3,156.4045501081117
2014-4,157.72813421495215
2014-5,159.08558333148918
2014-6,160.46249302330722
2014-7,161.86842733415273
2014-8,163.30301934214455
2014-9,164.7721623302497
2014-10,166.27482277459185
2014-11,167.80881783903828
2014-12,169.38065348810935
2015-1,170.98541702450999
2015-2,171.64597187119944
2015-3,172.28805412050033
2015-4,172.56828641957094
2015-5,173.62815445056256
2015-6,174.73700419351286
2015-7,176.10798616004556
2015-8,177.65403335026303
2015-9,179.38484050039625
2015-10,181.1575792367549
2015-11,182.83696625433038
2015-12,184.55296098395135
2016-1,185.91067988574198
2016-2,185.97272961953686
2016-3,186.4022836588897
2016-4,185.9703336147365
2016-5,185.5707773342656
2016-6,185.80619703694614
2016-7,186.32082773110207
2016-8,187.06569362841586
2016-9,187.44374529023483
2016-10,187.96828138562813
2016-11,188.36979103658223
2016-12,188.31796075198397
2017-1,187.59070521509517
2017-2,186.76695599449485
2017-3,186.71475158884783
2017-4,186.20739847595695
2017-5,186.57346198731176
2017-6,186.42206010030662
2017-7,186.87259185350652
2017-8,187.4381552350057
2017-9,187.3564026204086
2017-10,187.3957814391844
2017-11,187.3755814841319
2017-12,187.2591450602503
2018-1,186.50035289854213
2018-2,185.05512173553808
2018-3,184.7469664725993
2018-4,183.34169469328725
2018-5,183.76419185815564
2018-6,184.89997582803093
2018-7,186.48370600744082
2018-8,187.66835658450896
2018-9,188.9223701142252
2018-10,190.20864817185765
2018-11,190.98530871851534
2018-12,191.80752336508547
2019-1,192.7140858673936
2019-2,193.7898487378487
2019-3,194.96035675301917
2019-4,196.3785119604513
2019-5,198.5978203989103
2019-6,200.75680730526946
2019-7,202.79182255435035
2019-8,204.9339088951839
2019-9,206.16014876579976
2019-10,208.133490523869
2019-11,209.17309683171968
2019-12,210.41716857350718
2020-1,210.38659762479813
2020-2,211.5886434355381
2020-3,213.38134796002782
2020-4,215.2891108475264
2020-5,218.26593566700066
2020-6,220.52956309167098
2020-7,222.87467711745958
2020-8,223.49306428297012
2020-9,224.941241991102
2020-10,225.80052509063012
2020-11,226.75564502774787
2020-12,228.02493760548737
2021-1,228.49963243561
2021-2,229.31670007398932
2021-3,230.6542555394269
2021-4,231.99730341333432
2021-5,233.29776011483926
2021-6,234.2526833667176
2021-7,234.6638395435787
2021-8,234.87132384925692
2021-9,234.06254231934017
2021-10,233.81328426479863
2021-11,233.09681263337043
2021-12,233.09261069918182
2022-1,232.7558066109834
2022-2,234.40514991375966
2022-3,235.1946986311709
2022-4,236.65500315548346
2022-5,238.22943738871595
2022-6,239.30933865034274
2022-7,239.9573091239766
2022-8,239.12299674916602
2022-9,239.2201727925718
2022-10,237.8792136664252
2022-11,236.799325291126
2022-12,235.91996551330612
