,Rio Grande Do Norte - Produção de Cimento (t)
2003-1,27.698760000000004
2003-2,27.407644615384616
2003-3,27.377422393162394
2003-4,27.54227953601953
2003-5,27.944900225674708
2003-6,27.949866892341376
2003-7,28.43218947298654
2003-8,28.562720722986533
2003-9,28.620417692683507
2003-10,28.890241222095273
2003-11,28.915812650666698
2003-12,28.927451539555584
2004-1,28.94631640442045
2004-2,28.905921667578347
2004-3,28.982331923988603
2004-4,28.998306923988604
2004-5,29.04440448496421
2004-6,29.05652353258326
2004-7,29.162593300025115
2004-8,29.312116027297847
2004-9,29.35440491618673
2004-10,29.52903535096934
2004-11,29.697928967990617
2004-12,29.883053967990623
2005-1,29.873523355745725
2005-2,29.991783832393597
2005-3,30.286766265393776
2005-4,30.279589609725033
2005-5,30.368963284698616
2005-6,30.456821714474614
2005-7,30.696208547579374
2005-8,30.812249753183306
2005-9,30.947321774207737
2005-10,31.336809612606185
2005-11,31.598413049147226
2005-12,31.958404894014176
2006-1,32.20852639104394
2006-2,32.3116123091383
2006-3,32.59160599570075
2006-4,32.75126465022549
2006-5,33.00391684872012
2006-6,33.323784447980444
2006-7,33.64213671155998
2006-8,33.841004944448436
2006-9,34.0332475754107
2006-10,34.207346405190776
2006-11,34.309169079766725
2006-12,34.411847449394806
2007-1,34.63284323472959
2007-2,34.73968649756599
2007-3,34.80239879685523
2007-4,34.78463619545647
2007-5,35.021208574757125
2007-6,35.23439725414607
2007-7,35.52826614271079
2007-8,35.75749180791756
2007-9,35.866884502912136
2007-10,36.102977619824465
2007-11,36.17265451793097
2007-12,36.356965568314315
2008-1,36.36081374534084
2008-2,36.378411446448936
2008-3,36.52755020435324
2008-4,36.64363069840737
2008-5,36.93516878102333
2008-6,37.14072494290707
2008-7,37.2039074019872
2008-8,37.1024945589347
2008-9,37.16285148984258
2008-10,37.15896585544323
2008-11,37.32461115034635
2008-12,37.28159976403164
2009-1,37.12208450514668
2009-2,37.00953840862458
2009-3,37.09580069252373
2009-4,37.396747669986354
2009-5,37.80168872048697
2009-6,38.32692300917533
2009-7,38.89466843274735
2009-8,39.51751337744198
2009-9,40.08888116457513
2009-10,40.742779055629484
2009-11,41.4842239828908
2009-12,42.31356213523692
2010-1,43.19892124884758
2010-2,44.093556095857934
2010-3,45.372640680539746
2010-4,46.563356812706814
2010-5,47.90926959054966
2010-6,49.4452308315604
2010-7,51.029445237451284
2010-8,52.83684396878729
2010-9,55.41530007919245
2010-10,57.58816637693428
2010-11,59.99817046920961
2010-12,61.98222270020681
2011-1,64.3793986784961
2011-2,66.49550713101345
2011-3,68.92046567636831
2011-4,71.40603026787535
2011-5,73.86107685150574
2011-6,76.28402354805715
2011-7,78.75971947742208
2011-8,81.0393939885379
2011-9,83.32392216427453
2011-10,85.67188218467656
2011-11,88.04921081996325
2011-12,90.10576157174025
2012-1,92.33723502962805
2012-2,94.20160878025624
2012-3,96.1323381353314
2012-4,97.79456403091025
2012-5,99.57230411991148
2012-6,101.18117712779936
2012-7,102.65177661489457
2012-8,104.03521428148966
2012-9,105.2107279613407
2012-10,105.68497109596181
2012-11,106.4961542826475
2012-12,107.06111022053108
2013-1,107.98534349354061
2013-2,108.77793886877475
2013-3,109.89406837945793
2013-4,110.60803169992916
2013-5,111.18475184577281
2013-6,111.60005075236135
2013-7,111.97012594311975
2013-8,112.11826368440221
2013-9,112.30297589393878
2013-10,112.28617524119143
2013-11,112.16298530356927
2013-12,111.95722734842421
2014-1,111.94523218934778
2014-2,111.5590986036861
2014-3,111.45756049512636
2014-4,111.31454754036999
2014-5,111.13469297642308
2014-6,110.91488750119156
2014-7,110.65776205691677
2014-8,110.36537692016502
2014-9,110.03879131803885
2014-10,109.68155062852541
2014-11,109.30734088137658
2014-12,108.90893944170047
2015-1,108.49087764738033
2015-2,107.9088162452721
2015-3,107.70050295557964
2015-4,107.05212581864917
2015-5,106.5428910047455
2015-6,105.9355614832085
2015-7,105.36912350978557
2015-8,104.68588555925103
2015-9,103.88376880451034
2015-10,102.98729460734998
2015-11,101.96487430286926
2015-12,100.9691904048958
2016-1,99.7461266771853
2016-2,98.2196598008438
2016-3,96.76982518970703
2016-4,95.40409298230783
2016-5,93.86078108170598
2016-6,92.86532340455432
2016-7,91.95912413727602
2016-8,91.1937869202571
2016-9,90.40296729926771
2016-10,89.7282309490304
2016-11,89.19414395848678
2016-12,88.4017393565619
2017-1,87.49323906327919
2017-2,86.63187909217511
2017-3,85.55055384415272
2017-4,84.12235080106237
2017-5,83.18864110682591
2017-6,81.89828906809285
2017-7,81.02279371268233
