Ano,Pernambuco - Produção de Cimento (t)
2008,722.146507104844
2009,803.348817289273
2010,950.4064870092704
2011,1079.3284240162131
2012,1132.1345321146039
2013,1107.64415913104
2014,988.2077369885285
2015,808.858464787353
2016,597.5624193902606
2017,438.1778640178894
2018,386.77475535056067
2019,384.69815343477853
2020,360.2549635362443
2021,329.4304149716471
2022,320.6349979588093
