Ano,Santa Catarina - Produção de Cimento (t)
2008,354.24169865770745
2009,431.34792634904045
2010,792.4417153924486
2011,1268.0835877377908
2012,1549.260438550796
2013,1645.4172577805627
2014,1598.9814150149655
2015,1488.5210292153643
2016,1430.3208576865397
2017,1433.0515165644242
2018,1463.1536162797036
2019,1592.4606387411734
2020,1768.4462229576727
2021,1855.4130578047238
2022,1866.4442114676824
