Ano,Alas --08 Produção de Cimento (t)
2008,494.11553096536795
2009,565.5456747891546
2010,637.4181033866557
2011,683.8599909908116
2012,728.6433752679832
2013,726.0480093832299
2014,650.7026853705005
2015,525.071908321393
2016,350.21023409697284
2017,239.57163765372368
2018,257.1086251936608
2019,298.3966699974545
2020,309.9424522444255
2021,302.2215659745742
2022,294.17187355453336
