Ano,Rondônia - Produção de Cimento (t)
2014,357.67794435877346
2015,276.938162855649
2016,239.49488102570723
2017,226.90277591172855
2018,216.3364055706932
2019,233.109363159658
2020,246.64316573031599
2021,244.24698123110397
2022,249.20703767485475
