,Paraíba - Produção de Cimento (t)
2003-1,118.92616
2003-2,117.72489076923078
2003-3,118.50196484330485
2003-4,119.39067912901915
2003-5,121.51754119798467
2003-6,122.28107453131798
2003-7,123.91117130551154
2003-8,125.09914005551153
2003-9,126.21129157066304
2003-10,127.44090921772188
2003-11,127.37893778915043
2003-12,127.44607667803932
2004-1,128.04621181317447
2004-2,128.47902760264816
2004-3,130.45495067957123
2004-4,130.6696256795712
2004-5,131.77840616737612
2004-6,132.02957283404277
2004-7,132.98127050846136
2004-8,133.96204323573411
2004-9,134.40762101351186
2004-10,134.41368623090315
2004-11,134.89496282664788
2004-12,135.75419199331455
2005-1,135.71523280964107
2005-2,136.05309143840924
2005-3,137.61068737043328
2005-4,138.58927354445632
2005-5,139.61995914477137
2005-6,140.38921257225684
2005-7,141.09170518533722
2005-8,141.59363444819078
2005-9,142.44266494600058
2005-10,143.36989705570136
2005-11,144.14734578708865
2005-12,145.6705377870466
2006-1,146.14062883008756
2006-2,146.02724958553478
2006-3,146.49149901375694
2006-4,146.4039387756791
2006-5,147.58037373682416
2006-6,147.99741389130267
2006-7,149.16292085165492
2006-8,150.65511779743437
2006-9,151.84289482930583
2006-10,153.64549225411795
2006-11,154.59285564234682
2006-12,155.6132003936876
2007-1,155.93324138145033
2007-2,155.07803747475256
2007-3,155.90926086324936
2007-4,156.0851501182048
2007-5,156.36486188501596
2007-6,156.69347214502096
2007-7,157.46702846283247
2007-8,158.4213819991079
2007-9,159.10658092871847
2007-10,159.23410982632495
2007-11,158.8713182502152
2007-12,158.92101156578923
2008-1,158.91232735719214
2008-2,159.41972936794934
2008-3,160.58863711861088
2008-4,161.29331340646505
2008-5,161.97299452137906
2008-6,162.2671296394312
2008-7,163.1685932261277
2008-8,163.74193347866796
2008-9,163.708664410938
2008-10,163.49547603505297
2008-11,163.0006797856843
2008-12,163.58888027840547
2009-1,163.31032272503236
2009-2,163.20052846673812
2009-3,164.96129358902354
2009-4,165.56286568546793
2009-5,165.98957416643248
2009-6,166.76103768237974
2009-7,166.03455942804013
2009-8,165.5272641416158
2009-9,166.3845882669731
2009-10,167.14754760040685
2009-11,167.97988306518405
2009-12,169.0121598981426
2010-1,170.39869353757837
2010-2,170.7920887657495
2010-3,172.067749161623
2010-4,172.11964940739875
2010-5,172.8782276931321
2010-6,172.79584469663723
2010-7,173.80236949372306
2010-8,174.90840574408222
2010-9,175.73572150460086
2010-10,176.3003349146756
2010-11,177.53074019793323
2010-12,178.56480265532605
2011-1,178.96014800995707
2011-2,179.8553077096494
2011-3,181.21273177583126
2011-4,181.7502713306641
2011-5,182.1120959356681
2011-6,183.23098413504025
2011-7,183.9769830422374
2011-8,185.84956311599652
2011-9,188.05697738077987
2011-10,188.64465879126567
2011-11,189.03149779516073
2011-12,189.5174695243439
2012-1,190.17741461875622
2012-2,189.70695994694353
2012-3,189.8696459477259
2012-4,189.48785783548894
2012-5,189.77131573343823
2012-6,189.8157659266807
2012-7,190.7618401208798
2012-8,190.76763456516585
2012-9,190.4755208676369
2012-10,190.25833193335484
2012-11,190.07691729525212
2012-12,189.45482761502242
2013-1,188.96572958212997
2013-2,188.85380092616847
2013-3,188.9633346069721
2013-4,188.8016611953627
2013-5,188.86493737335945
2013-6,189.26505425401209
2013-7,189.38715014565287
2013-8,189.35724276875467
2013-9,189.60334060423367
2013-10,189.10740632599516
2013-11,188.5933726022141
2013-12,188.5337239831161
2014-1,188.2650166397091
2014-2,188.04145399873727
2014-3,188.20580227384676
2014-4,188.37018447292215
2014-5,188.54571300488143
2014-6,188.71903889671844
2014-7,188.89499490485332
2014-8,189.05523421531345
2014-9,189.21862546181788
2014-10,189.39131272758834
2014-11,189.57195665050273
2014-12,189.75998952364196
2015-1,189.96455551011522
2015-2,189.74616070398088
2015-3,189.99953714259505
2015-4,189.60146664040667
2015-5,188.91261777193816
2015-6,188.77132261972255
2015-7,188.74128961260877
2015-8,188.99964697782363
2015-9,189.64348438150725
2015-10,190.2699135548044
2015-11,190.50992682186458
2015-12,190.9744360916534
2016-1,191.03650485188592
2016-2,190.81996204572047
2016-3,190.91432285134405
2016-4,190.8462197727507
2016-5,189.83680591589584
2016-6,190.48292909483786
2016-7,190.2887472621464
2016-8,190.91352704786377
2016-9,191.39154760129773
2016-10,191.57507604146207
2016-11,192.0015860799376
2016-12,191.57340475634
2017-1,191.80212226837762
2017-2,191.4314807736483
2017-3,191.52305873425374
2017-4,191.16872244020595
2017-5,192.70217664020188
2017-6,194.4357798824113
2017-7,196.44158513267027
2017-8,198.79918300042664
2017-9,199.06233679680628
2017-10,200.71631337671036
2017-11,202.01509704654515
2017-12,203.54536582664068
2018-1,205.22632357633432
2018-2,206.87095252989448
2018-3,208.81372784589803
2018-4,209.40512386619505
