,Sergipe - Produção de Cimento (t)
2003-1,152.79139999999998
2003-2,151.96405384615386
2003-3,154.46775754985757
2003-4,155.9134004070004
2003-5,157.4671590276901
2003-6,156.62725902769003
2003-7,155.93809773736749
2003-8,156.07594148736746
2003-9,156.0785172449432
2003-10,156.40257606847263
2003-11,157.00406178275838
2003-12,157.40775622720284
2004-1,157.19340487585146
2004-2,157.8517732969041
2004-3,158.5748245789554
2004-4,159.63159957895536
2004-5,161.6146727496871
2004-6,161.26676798778232
2004-7,160.75134938313116
2004-8,161.11675847404024
2004-9,161.98531402959583
2004-10,162.57779229046537
2004-11,162.67789867344408
2004-12,163.64987784011075
2005-1,165.2498370237842
2005-2,166.28453982018797
2005-3,168.68940688088256
2005-4,169.15825686723
2005-5,170.91011108070407
2005-6,171.83494683688804
2005-7,173.66134862891246
2005-8,176.22976191241338
2005-9,178.73620722721026
2005-10,180.82616008399123
2005-11,182.47229445165482
2005-12,184.87362573061196
2006-1,186.38643939394677
2006-2,187.72284826166307
2006-3,190.03311509767855
2006-4,192.03048837357088
2006-5,194.0500167163181
2006-6,195.17067679726978
2006-7,197.1823688137899
2006-8,200.42014472053805
2006-9,202.8481730112829
2006-10,205.09045584764388
2006-11,206.7793469406475
2006-12,208.734294864468
2007-1,209.8855278649651
2007-2,210.1727052290708
2007-3,212.0562188088439
2007-4,212.18490884819005
2007-5,212.94902419474028
2007-6,212.29620609502675
2007-7,213.46076240641733
2007-8,214.64311778963167
2007-9,215.16890056263617
2007-10,215.62169022254284
2007-11,216.71629287843166
2007-12,218.12245611163112
2008-1,218.75116693573355
2008-2,219.5328348447496
2008-3,221.5817325301187
2008-4,222.12319411037262
2008-5,223.25655545194
2008-6,223.82991338532003
2008-7,224.4282447442598
2008-8,225.4863238448817
2008-9,225.3646948474193
2008-10,225.9200524359119
2008-11,226.85841154995816
2008-12,228.22669858280125
2009-1,229.33054355664478
2009-2,230.1972785707607
2009-3,231.2198821083462
2009-4,231.9910385022136
2009-5,233.8822044135202
2009-6,234.87500400982182
2009-7,236.54642845706255
2009-8,238.69734000911652
2009-9,240.3812016870652
2009-10,242.39345273042088
2009-11,243.20701931221433
2009-12,244.1521361782099
2010-1,244.46631332242578
2010-2,244.56696937113378
2010-3,246.38491089208037
2010-4,247.01607779742653
2010-5,248.39044277063172
2010-6,249.1276241444826
2010-7,249.47549579262878
2010-8,249.44680703851384
2010-9,249.53753118532268
2010-10,250.7624462126268
2010-11,251.50125016725363
2010-12,251.84212442474947
2011-1,251.77084740111576
2011-2,252.01826176528863
2011-3,253.6414450957892
2011-4,254.5053953608391
2011-5,254.95056590897428
2011-6,254.057226347657
2011-7,255.05149619128633
2011-8,256.97590573688274
2011-9,257.6408356496943
2011-10,258.2410118530133
2011-11,258.43622734531107
2011-12,259.22057852966
2012-1,259.76054674091404
2012-2,261.099041300475
2012-3,262.5791518063216
2012-4,263.06968092118956
2012-5,263.9522856496628
2012-6,264.5505349212466
2012-7,265.2695272694604
2012-8,266.54567193516834
2012-9,268.0736569330593
2012-10,269.1010624147915
2012-11,269.1609542906374
2012-12,269.16712026400097
2013-1,269.0754420449769
2013-2,269.4653544721111
2013-3,269.8028554894515
2013-4,269.0398189668732
2013-5,269.06507542530534
2013-6,268.8859732871547
2013-7,270.24965850166336
2013-8,269.9871551085807
2013-9,268.70204824444625
2013-10,267.5015190554179
2013-11,266.27532940648734
2013-12,264.90683236400406
2014-1,263.83056990581287
2014-2,262.5328403494114
2014-3,261.00207239997275
2014-4,259.40985795144667
2014-5,257.7751385322391
2014-6,256.08904515083395
2014-7,254.35633253161274
2014-8,252.57358511713775
2014-9,250.72841133367936
2014-10,248.81439757509142
2014-11,246.84035485241532
2014-12,244.82480326038166
2015-1,242.767992126197
2015-2,240.03700801706736
2015-3,237.4699782060315
2015-4,234.60342036059726
2015-5,231.75208977679569
2015-6,228.80449531749665
2015-7,225.786904221906
2015-8,222.7950555922899
2015-9,220.2031929199458
2015-10,218.10938945851282
2015-11,216.06383870872176
2015-12,214.04778379652245
2016-1,211.99356764499956
2016-2,209.47891686999748
2016-3,207.3412811138579
2016-4,204.95000840539493
2016-5,202.0466254700527
2016-6,199.59583424137838
2016-7,197.37604218200173
2016-8,195.53422109614962
2016-9,193.30471804032766
2016-10,191.24605841043422
2016-11,188.85272554118464
2016-12,187.16825730451228
2017-1,185.4093756086199
2017-2,183.60538343479178
2017-3,182.43635028005153
2017-4,180.86599052646005
2017-5,180.2623491012736
2017-6,178.80072174054862
2017-7,177.46186921857014
2017-8,176.5571338103388
2017-9,176.14099254948266
2017-10,175.70719254192215
2017-11,174.8795354619917
2017-12,173.98736600797685
2018-1,173.03356156331262
2018-2,171.98370429633943
2018-3,171.23261832544847
2018-4,170.02903337058294
2018-5,170.11774816579089
2018-6,170.6318731187651
2018-7,170.61740452442606
2018-8,171.27790171508778
2018-9,171.6303849930253
2018-10,173.1449088083865
2018-11,173.5859873879365
2018-12,174.26360497664575
2019-1,174.5123875821995
2019-2,174.17285721431338
2019-3,175.03164239348723
2019-4,175.5305667223329
2019-5,175.92696623653438
2019-6,175.80518291276422
2019-7,176.52431477342165
2019-8,177.77589529494924
2019-9,178.48197205994126
2019-10,179.1102369479098
2019-11,179.0320133643586
2019-12,178.78398230114155
2020-1,178.501831613247
2020-2,178.49279630814357
2020-3,179.44694104307834
2020-4,180.31649864956063
2020-5,180.74740610423362
2020-6,179.99921544991614
2020-7,179.69195713014366
2020-8,179.61851942821957
2020-9,178.5293687693039
2020-10,177.42834803004428
2020-11,175.47882638150668
2020-12,174.51059860586525
2021-1,174.2805067774295
2021-2,173.84488179812436
2021-3,174.21148845860122
2021-4,173.4348514480171
2021-5,173.13033181560127
2021-6,173.26183640617492
2021-7,173.2901099752127
2021-8,173.41588815026157
2021-9,172.92821017540092
2021-10,172.71855500337168
2021-11,171.96255166281466
2021-12,171.67304058068686
2022-1,171.57115443791554
2022-2,171.65416807398938
2022-3,171.51612512810217
2022-4,170.24364964971204
2022-5,169.3658309200203
2022-6,169.37280691149786
2022-7,169.7674868572672
2022-8,169.7525908774186
2022-9,169.62186453194067
