Ano,Pará - Valor Cimento Portland,Pará - Produção de Cimento (t),Pará - Consumo de Cimento (t),Pará - Desemprego, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Pará - IDH,Pará - PIB - Estadual,Pará - PIB - Construção Civil,Pará - PIB - Per Capita,Pará - PIB - Preços de Mercado
2003,3.664692008275803,618.0757725078566,1052.31,8.34854250959626,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,0.6695643379567419,77760914.28509438,4250430.443856791,9.22037367936359,68512688.76315014
2004,3.36593405248653,678.161978781605,1193.163,8.276683340162567,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,0.671958037086318,79091711.8016507,4310972.477262211,9.281804299654736,69124194.56585748
2005,3.17530319411235,747.0489665518421,1264.982,8.254637944730906,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,0.674195264254859,80280324.36842103,4348768.7523550885,9.324668827229862,69563670.52525182
2006,3.383775666848438,874.128575823164,1181.617,8.168506358845061,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,0.6762822426512535,81431619.8743957,4390025.528686008,9.371674926964856,70011469.12659246
2007,3.97839496710462,1030.6010510828537,1272.803,8.14456836600559,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,0.6782251954643898,82488300.67118537,4436625.73121585,9.412493058971828,70390507.72472218
2008,4.409577727679598,1172.6937545749263,1559.491,8.116333307490038,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,0.6800303458831561,83432446.97014982,4475828.125461093,9.44696859172635,70690421.15884194
2009,4.558848859571305,1310.0526629730207,1355.544,8.148789993470492,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,0.6817039170964411,84180734.27582979,4507563.043794246,9.465568082579674,70866716.48944733
2010,4.73825252326133,1443.581473410736,1640.682,8.112070698295843,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,0.6832521322931329,86757059.16965623,4555784.05516188,9.542118828789604,71808581.85764036
2011,4.839095833517713,1536.0793757983854,1856.176,8.09947717935677,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,0.68468121466212,88909349.05165063,4574156.689640105,9.57227168539587,72351794.17188406
2012,4.8657653022206,1569.7634177858563,2042.91,9.368278286528287,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,0.6856974572390572,90721168.82755443,4559886.523004949,9.57404270268839,72659477.63465233
2013,5.004783343471285,1509.3579899192064,2318.608,9.857304409098454,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,0.6873389120089786,92390278.26877728,4525096.901811163,9.578466845763444,72955312.92521468
2014,5.33614719306337,1427.2360756626942,2041.730714285714,10.244255537394732,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,0.6887004880097268,93700476.5941744,4468711.08227841,9.571190684823376,73088479.04283959
2015,5.618683867242838,1386.3129659942294,1863.549771428571,10.537303954327417,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,0.6890921953438708,94934390.66205156,4396931.891494788,9.582866840595177,73328960.09686285
2016,5.752639391147963,1292.085355722665,1705.6805142857138,10.58797547267076,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,0.6947117320546939,95993284.0174244,4320023.92208679,9.607058973992867,73624006.24806179
2017,5.822174122316937,1128.424890393573,1564.94,10.30683052220308,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,0.6954127986051207,96810844.13030556,4313294.469669347,9.64387457236574,73974197.45003262
2018,5.928191439641458,977.1282925476488,1375.281,10.21108519757338,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,0.6955412348419497,96984953.19725578,4325702.91855767,9.654974289996831,74056611.06699046
2019,6.374309777959408,897.0356491591981,1290.928,10.177873546685088,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,0.6944995289184906,96836625.36916308,4333696.8398923725,9.669719195600374,74129217.9899291
2020,7.248415515573561,879.1926097276679,1444.547,10.115271437589731,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,0.6936358497292626,95952952.71920592,4340024.686735473,9.665505180420285,73977956.3938123
2021,8.081855308266936,897.3616400727685,1529.052,10.01997302437444,0.568170054296025,-12254.220163626009,1.856764202286902,4.35045636240659,8.428991724541524,202036952.5833333,7637893.531466268,0.7655090848488225,0.6913300178864682,93382835.58372992,4350287.565599705,9.606218935089077,73227836.34521733
2022,8.45346417017507,908.2951127995636,1592.624,10.039893820813935,0.5191983596929338,-14613.924467801482,2.71770596632874,11.662816969174893,3.900451165155242,203062512.0,,0.7310204007359983,0.69145092860342,90304781.78899395,4362168.774798071,9.535340917808934,72323747.9358986
