Ano,Goiás - Consumo de Cimento (t),Goiás - Desemprego,Goiás - IDH, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Goiás - Produção de Cimento (t),Goiais-03anhão - Valor Cimento Portland,Goiás - PIB - Estadual,Goiás - PIB - Construção Civil,Goiás - PIB - Per Capita,Goiás - PIB - Preços de Mercado
2003,1311.935,8.179784800565303,0.7452934717740269,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,707.9972084540155,3.006392308275243,93718223.18774895,5518324.893522981,14.03127028291794,84182480.30624565
2004,1514.939,8.111394106436798,0.7466362250647831,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,747.7796829415241,2.749852470387691,95130364.79828043,5577901.2753857095,14.06973951121841,84642566.21088131
2005,1716.9,8.088032715259576,0.7478514323800983,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,773.2772687697841,2.6021743530846115,96435514.20419508,5616938.162235405,14.103821946816264,85018274.13995665
2006,1730.142,8.002286554671633,0.7489411871458771,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,813.6507736124757,2.7239959436001056,97715335.47397728,5664472.210228287,14.152999335327216,85446119.75577748
2007,1943.769,7.971611927341056,0.749907582788024,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,924.3140583569634,3.19289685085379,98858780.42530164,5710316.222501491,14.189754510359512,85770932.91051473
2008,2310.616,7.941146377614885,0.7507527127324438,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,1049.2181318902185,3.5977184502781805,99794850.58272004,5727076.237518004,14.203137945058446,85920119.53912981
2009,2335.717,7.969156861432987,0.7514786704050409,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,1167.8384996944192,3.778582705022759,100513833.46615586,5757644.710033267,14.197250221131036,85962096.59236938
2010,2657.527,7.932921345181615,0.7520875492317198,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,1306.3904380863587,3.922305082209253,103081294.815272,5806965.710197036,14.241312566408716,86634795.50225297
2011,2901.707,7.921619031107122,0.7525814426383853,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,1430.4470369277346,4.039002552277052,105453543.67809252,5798734.081514193,14.27882503162139,87187907.38466236
2012,3061.533,7.786290496540497,0.7527234801346802,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,1500.4293885633413,4.131063484553347,107578430.25143822,5775231.268375107,14.289292121494098,87620669.09342483
2013,3181.778,8.389968391625164,0.7534504368125702,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,1468.429449715763,4.1985723371409405,109251871.42525434,5758465.636990808,14.261467467854205,87799677.96497177
2014,2861.8974285714285,9.015756134399709,0.753571306546951,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,1413.139666708516,4.279224944583077,110594235.09130923,5711943.895756988,14.23829501192009,87879155.56551099
2015,2517.2907428571425,9.398110721219348,0.7532855820925303,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,1402.3981863034478,4.352141521341588,111511276.57923052,5628819.631850911,14.206629336994652,87848486.90689376
2016,2193.5458285714285,9.37844958510522,0.7562755277806119,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,1460.2069062506112,4.403032220968156,112097730.33603002,5573900.728818152,14.184179020611912,87819493.69838423
2017,2270.346,8.980786191801322,0.7555733030333948,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,1589.5296936251334,4.4868886306228974,112322840.78529982,5555871.1312874025,14.177721010059235,87834115.09351136
2018,2282.903,8.919908209741124,0.7547163305818853,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,1731.934560148604,4.56223466557009,112075221.60243411,5557505.0708998,14.162196404779476,87721417.68860725
2019,2367.716,8.947166788754863,0.7532359969984203,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,1895.2202712721291,4.757247844662193,111526220.46325718,5575030.932615519,14.16210930415441,87649067.75562468
