Ano,Ceará - PIB - Estadual,Ceará - PIB - Construção Civil,Ceará - PIB - Per Capita,Ceará - PIB - Preços de Mercado,Ceará - Consumo de Cimento (t),Ceará - Produção de Cimento (t),Ceará - Valor Cimento Portland, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Ceará - IDH,Ceará - Desemprego
2003,69653520.24417323,4525723.594445789,7.532751262130655,62938208.50048655,888.572,1338.225887031913,3.5803013862385384,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,0.6840404850485825,8.27445922175993
2004,70733777.00281109,4581346.410036631,7.569430748360411,63341094.71625433,917.163,1388.2308318577898,3.5215207917181077,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,0.6892666617110014,8.203090838389214
2005,71747834.2906289,4630004.666116773,7.60446547243042,63698526.491515934,986.162,1438.7515818737788,3.627456603476716,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,0.693999536255226,8.17512629715174
2006,72685981.1732498,4684894.729561362,7.635829965575958,64008363.73145553,1055.446,1543.8650846258297,3.768483221200225,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,0.6982496946780936,8.087699434520896
2007,73534782.9340825,4734911.396265504,7.6623353356253245,64259426.39585871,1173.764,1620.180069373283,3.8696484215263216,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,0.7020277229764411,8.058414825770196
2008,74304387.34881084,4781537.760332345,7.686809445875991,64475298.88975752,1328.591,1697.1040124239546,3.929539323600171,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,0.7053442071471052,8.024047129142335
2009,74874606.96790108,4827501.704266936,7.698375394459569,64560345.16833599,1437.485,1747.7984881626962,4.081057504396806,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,0.7082097331869232,8.0521454513131
2010,76828848.96351925,4851802.376243551,7.744071354453925,65103670.16147132,1794.24,1745.2589620625574,4.272214317455631,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,0.7106348870927318,8.017491071641157
2011,78588642.29280889,4848876.142596591,7.77384682780219,65503757.845389925,1717.74,1751.304575247716,4.332789632908793,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,0.7126302548613681,8.006912082096214
2012,80154395.23214151,4829774.909521069,7.791383364477659,65805698.35019602,1903.741,1769.225957766067,4.383850635234274,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,0.7141748,9.818853988603989
2013,81601487.89546634,4793349.128401816,7.811016040829222,66105148.58730776,2065.389,1802.5644315080865,4.470377422092817,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,0.7152726999999999,10.221863967838592
