Ano, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Piauí - Produção de Cimento (t),Piauí - Desemprego,Piauí - Consumo de Cimento (t),Piauí - PIB - Estadual,Piauí - PIB - Construção Civil,Piauí - PIB - Per Capita,Piauí - PIB - Preços de Mercado,Piauí - IDH
2003,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,317.28631861915454,8.192265612259057,238.886,21360630.68419292,1358044.2713284844,6.061140951799438,18681487.00784765,0.6492176448058882
2004,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,351.6674852094181,8.118949884633004,276.711,21725356.00100053,1379534.212818307,6.108223764781004,18844417.30203601,0.6545375627382948
2005,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,357.81908943039525,8.09819792913736,272.764,22076570.00822316,1395738.8637625806,6.154514858233135,18999570.85359221,0.6592884853481145
2006,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,386.2321889467504,8.006232888071484,333.178,22407504.066534508,1409502.8641001198,6.196867762162954,19139912.018915035,0.6634817347038443
2007,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,445.5151131400715,7.980381725408458,386.585,22684100.57000064,1390317.484080071,6.221035649619874,19221830.21817041,0.6671286328739813
2008,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,510.6444884150778,7.951466346784791,449.076,22961561.98033609,1400358.718759109,6.253672843930922,19323300.84843705,0.6702405019270226
2009,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,564.6541671749903,7.981121100802563,536.766,23188962.093459524,1418400.9471576223,6.277338847581737,19393331.2446264,0.6728286639314653
2010,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,595.3605584278378,7.946167154199016,639.535,23854257.33973102,1441333.5082971496,6.33664385769329,19606353.489501305,0.6749044409558065
2011,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,612.0635901160286,7.934311853467493,625.0219999999999,24474227.98741787,1448567.521842219,6.385667300878563,19785140.5302469,0.6764791550685433
2012,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,616.4634959203497,9.098664835164836,687.536,25023367.22283424,1450922.7543133695,6.419744218531991,19918029.309846938,0.6771053279461278
