Ano,Espírito Santo - IDH,Espírito Santo - Valor Cimento Portland,Espírito Santo - Desemprego,Espírito Santo - Produção de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Espírito Santo - PIB - Estadual,Espírito Santo - PIB - Construção Civil,Espírito Santo - PIB - Per Capita,Espírito Santo - PIB - Preços de Mercado,Espírito Santo - Consumo de Cimento (t)
2003,0.760059213077231,3.282769811038956,8.177444435699833,1197.520265096271,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,63425371.885078445,3523986.8995798714,16.79930798970507,59482492.51264176,635.153
2004,0.7620127578870054,3.237874047038151,8.107574025291866,1241.084984453557,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,64421020.24197359,3565093.279791643,16.896385943739414,59926466.13641783,636.659
2005,0.7638172228460627,3.1037619491739026,8.08488395379076,1360.9109374543864,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,65283625.5290081,3601257.944579647,16.957150838227296,60216714.01951406,768.967
2006,0.7654772750713901,3.130952811997755,7.998040235441731,1619.8968134021266,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,66023713.96762452,3639068.6255083736,16.99068922837801,60394723.8999989,673.561
2007,0.7669975816799744,3.3358373607597294,7.969140208115521,1900.181823166552,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,66633549.48226432,3646642.343607607,16.999307641324805,60464952.48781032,974.754
2008,0.7683828097888032,3.5948910134626497,7.934578195851403,2065.641254321792,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,67117933.80385315,3666067.883307843,16.994001644475453,60449836.04277169,1263.713
2009,0.7696376265148633,3.77469198524536,7.96430040151714,2200.127740349062,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,67382951.30571051,3683277.02190931,16.93544519662218,60293880.9650657,1138.824
2010,0.7707666989751418,3.930070159916248,7.927576087415909,2376.08736236828,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,69015414.6817957,3673390.4601183566,16.97078345603646,60692997.30866724,1223.466
2011,0.7717746942866258,4.104068492725537,7.917309809937,2497.7887232285448,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,70323423.40240116,3655680.507140607,16.962953779993274,60831401.17578676,1271.961
2012,0.7724172956228957,4.250916396925351,9.395868233618232,2521.2272152437363,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,71186443.27585743,3633844.773447078,16.845394917819085,60657027.45066623,1354.74
2013,0.7736187369248038,4.337394273577066,9.956265473824985,2409.5327104801754,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,71735650.15352009,3582357.406650508,16.69296514401083,60341490.46236221,1378.303
2014,0.7743369650018707,4.385795014696611,10.450154935788362,2184.8516759752806,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,72180481.70653749,3534360.5267681526,16.602277428805902,60084902.96920812,1296.041857142857
2015,0.77453171208536,4.414793025747227,10.942052081269898,1939.3793358517864,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,72173818.07693765,3504011.9940222693,16.47704888325155,59654840.820873,1250.3238857142856
2016,0.7789913372395391,4.434544288497842,10.97922903867143,1632.6402392774378,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,72362409.08409853,3485388.463413064,16.442295949671024,59537835.22815807,1210.9172571428571
2017,0.7789905497158608,4.4555042515452765,10.448735370539351,1275.5686740569583,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,72749170.87100878,3492936.981387937,16.497126469297445,59734139.81165009,1097.369
2018,0.7788987815082119,4.463983404291073,10.241457801888052,995.354713690108,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,72962964.77143744,3509673.1580336946,16.56300271661103,59932122.452095374,1146.39
2019,0.7780713980089583,4.686032265822696,10.168768923132168,869.40565566234,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,72336670.76438868,3535171.6250806376,16.53315374185254,59777180.6831178,1139.906
2020,0.7767142523734091,5.27298700674663,10.043677545837763,826.2512783561715,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,71579701.8075121,3549611.693472274,16.538991806787767,59713850.0245111,1138.655
2021,0.77532463895281,5.824741595519848,9.839044980104957,810.2224135779542,0.568170054296025,-12254.220163626009,1.856764202286902,4.35045636240659,8.428991724541524,202036952.5833333,7637893.531466268,0.7655090848488225,70625876.76036444,3555014.723873486,16.597316333259535,59773681.559718125,1135.022
2022,0.7757177879485201,6.030006437647415,9.820790798499232,803.434153537309,0.5191983596929338,-14613.924467801482,2.71770596632874,11.662816969174893,3.900451165155242,203062512.0,,0.7310204007359983,69450725.35422504,3562707.0829759007,16.663260116664677,59823924.079612255,1040.26
