Ano,PPC (US$),apagar
1940-7,20.6579464016858,
1940-8,20.6002656578437,
1940-9,20.5817420899628,
1940-10,20.2596142238043,
1940-11,19.8041194758596,
1940-12,20.2925806003822,
1941-1,19.7667841421997,
1941-2,18.9536716293026,
1941-3,19.7476669070426,
1941-4,19.6431598023042,
1941-5,19.0637283694742,
1941-6,18.9806782182499,
1941-7,19.2814691367837,
1941-8,19.2853779852075,
1941-9,19.3852828002749,
1941-10,19.9189144233459,
1941-11,19.6579109780419,
1941-12,20.0461598283958,
1942-1,20.4912907005891,
1942-2,20.5192124136838,
1942-3,20.8143336468794,
1942-4,19.9832298751764,
1942-5,19.8542382292576,
1942-6,19.1698737368519,
1942-7,18.7402645979348,
1942-8,18.6107338900601,
1942-9,18.2315183092281,
1942-10,18.676625920998,
1942-11,18.7360012009944,
1942-12,18.8871881127037,
1943-1,18.5441218583247,
1943-2,18.2880886176772,
1943-3,18.6388235970624,
1943-4,18.2868335796771,
1943-5,18.3186557015815,
1943-6,18.4051599533622,
1943-7,22.1914867224142,
1943-8,22.0221074382676,
1943-9,21.6980827360755,
1943-10,20.825494515861,
1943-11,20.8005338752107,
1943-12,25.8281961656702,
1944-1,23.3845144098418,
1944-2,23.0808205997576,
1944-3,22.3758561846149,
1944-4,22.3844150850124,
1944-5,21.8374676877799,
1944-6,21.6584467596753,
1944-7,21.8546465943704,
1944-8,21.7426959987203,
1944-9,21.704023938316,
1944-10,20.5439200596981,
1944-11,19.8343568189833,
1944-12,19.1376715629969,
1945-1,18.9383215956207,
1945-2,19.0781688166728,
1945-3,18.6611387901975,
1945-4,18.8546683346278,
1945-5,18.9605934376313,
1945-6,19.3733572592958,
1945-7,19.2278332922347,
1945-8,18.9756523653132,
1945-9,19.0299112682052,
1945-10,18.5939495427306,
1945-11,18.4598586416762,
1945-12,18.4323281738736,
1946-1,17.9478754580151,
1946-2,17.8015171995982,
1946-3,18.0464901583339,
1946-4,17.9461663695238,
1946-5,17.8511413632079,
1946-6,17.709518462663,
1946-7,18.4815298218061,
1946-8,17.7636346382555,
1946-9,17.2598066225108,
1946-10,16.9557857411505,
1946-11,16.9012482975149,
1946-12,16.725491006694,
1947-1,15.8301581226268,
1947-2,15.5908111158324,
1947-3,15.6423091411094,
1947-4,15.6099619261652,
1947-5,15.8309266234963,
1947-6,16.2329768772383,
1947-7,17.0678208966186,
1947-8,17.334715738816,
1947-9,17.3824393483939,
1947-10,17.2196305982203,
1947-11,17.2220215695574,
1947-12,17.1946681153139,
1948-1,17.1500692713182,
1948-2,16.9616835312846,
1948-3,16.8678529415371,
1948-4,17.1123145783709,
1948-5,17.075039614686,
1948-6,17.0876526225743,
1948-7,17.2568390680714,
1948-8,17.2624226009882,
1948-9,17.1977693328197,
1948-10,17.0636654964139,
1948-11,16.8818048463688,
1948-12,16.7497015200265,
1949-1,16.5168694653974,
1949-2,16.2400849518035,
1949-3,16.0839302888054,
1949-4,15.9976859247117,
1949-5,15.7990909094286,
1949-6,15.7170247681378,
1949-7,15.5310067876623,
1949-8,15.5602674421931,
1949-9,15.571328130658,
1949-10,15.3520781380349,
1949-11,15.3285567013586,
1949-12,15.1131863864948,
1950-1,14.9979017830541,
1950-2,14.9639314505897,
1950-3,14.9767242069328,
1950-4,14.9767242069328,
1950-5,15.3875332838502,
1950-6,15.4524595846259,
1950-7,15.2424167938149,
1950-8,15.3344117650337,
1950-9,15.3458468222783,
1950-10,15.3344117650337,
1950-11,15.2781799653819,
1950-12,15.3288376422547,
1951-1,15.2742768169355,
1951-2,15.1468840180818,
1951-3,14.9242320264628,
1951-4,14.7272624667227,
1951-5,14.591763232659,
1951-6,14.4041342296673,
1951-7,14.3332477423166,
1951-8,14.2630555398567,
1951-9,14.3031501551045,
1951-10,14.2193612312828,
1951-11,14.1773740100789,
1951-12,14.0964397020098,
1952-1,43.1278019152619,
1952-2,41.5456576477266,
