,Goiás - PIB - Estadual,Goiás - PIB - Construção Civil,Goiás - PIB - Per Capita,Goiás - PIB - Preços de Mercado
2003-1,93718223.18774895,5518324.893522981,14.031270282917939,84182480.30624565
2003-2,93835901.65529324,5523289.592011541,14.034476051942978,84220820.79829863
2003-3,93953580.12283754,5528254.290500103,14.037681820968018,84259161.2903516
2003-4,94071258.59038183,5533218.988988663,14.040887589993057,84297501.78240457
2003-5,94188937.05792612,5538183.687477224,14.044093359018095,84335842.27445754
2003-6,94306615.5254704,5543148.385965784,14.047299128043136,84374182.76651052
2003-7,94424293.9930147,5548113.084454345,14.050504897068175,84412523.25856349
2003-8,94541972.460559,5553077.782942906,14.053710666093213,84450863.75061645
2003-9,94659650.92810328,5558042.4814314665,14.056916435118254,84489204.24266942
2003-10,94777329.39564757,5563007.179920027,14.060122204143292,84527544.73472239
2003-11,94895007.86319187,5567971.8784085885,14.063327973168331,84565885.22677536
2003-12,95012686.33073616,5572936.576897149,14.066533742193371,84604225.71882834
2004-1,95130364.79828045,5577901.2753857095,14.06973951121841,84642566.21088131
2004-2,95239127.24877334,5581154.349289851,14.072579714184897,84673875.20497093
2004-3,95347889.69926623,5584407.423193992,14.075419917151386,84705184.19906053
2004-4,95456652.1497591,5587660.497098133,14.078260120117873,84736493.19315015
2004-5,95565414.60025199,5590913.571002275,14.08110032308436,84767802.18723975
2004-6,95674177.05074488,5594166.644906417,14.08394052605085,84799111.18132937
2004-7,95782939.50123775,5597419.718810557,14.086780729017336,84830420.17541897
2004-8,95891701.95173064,5600672.792714698,14.089620931983823,84861729.16950859
2004-9,96000464.40222353,5603925.86661884,14.092461134950312,84893038.16359821
2004-10,96109226.85271642,5607178.940522982,14.0953013379168,84924347.15768781
2004-11,96217989.3032093,5610432.014427123,14.098141540883287,84955656.15177743
2004-12,96326751.75370218,5613685.0883312635,14.100981743849776,84986965.14586703
2005-1,96435514.20419507,5616938.162235405,14.103821946816263,85018274.13995665
2005-2,96542165.97667691,5620899.332901479,14.107920062525508,85053927.94127506
2005-3,96648817.74915877,5624860.503567552,14.112018178234756,85089581.74259345
2005-4,96755469.52164061,5628821.674233626,14.116116293944001,85125235.54391186
2005-5,96862121.29412247,5632782.844899699,14.120214409653247,85160889.34523027
2005-6,96968773.06660432,5636744.015565773,14.124312525362493,85196543.14654866
2005-7,97075424.83908617,5640705.186231846,14.128410641071738,85232196.94786707
2005-8,97182076.61156802,5644666.356897919,14.132508756780986,85267850.74918547
2005-9,97288728.38404986,5648627.527563993,14.136606872490232,85303504.55050386
2005-10,97395380.15653172,5652588.698230066,14.140704988199477,85339158.35182227
2005-11,97502031.92901357,5656549.86889614,14.144803103908725,85374812.15314068
2005-12,97608683.70149542,5660511.039562213,14.14890121961797,85410465.95445907
2006-1,97715335.47397727,5664472.210228287,14.152999335327216,85446119.75577748
2006-2,97810622.55325429,5668292.544584387,14.156062266579907,85473187.51867224
2006-3,97905909.63253133,5672112.878940487,14.159125197832598,85500255.28156702
2006-4,98001196.71180835,5675933.213296588,14.16218812908529,85527323.04446179
2006-5,98096483.79108539,5679753.547652688,14.165251060337981,85554390.80735657
2006-6,98191770.87036242,5683573.882008788,14.168313991590672,85581458.57025133
2006-7,98287057.94963944,5687394.2163648885,14.171376922843365,85608526.3331461
2006-8,98382345.02891648,5691214.55072099,14.174439854096056,85635594.09604087
2006-9,98477632.1081935,5695034.88507709,14.177502785348747,85662661.85893564
2006-10,98572919.18747054,5698855.21943319,14.180565716601437,85689729.62183042
2006-11,98668206.26674756,5702675.553789291,14.183628647854128,85716797.38472518
2006-12,98763493.3460246,5706495.888145391,14.18669157910682,85743865.14761996
2007-1,98858780.42530163,5710316.222501491,14.189754510359512,85770932.91051473
2007-2,98936786.27175316,5711712.8904195335,14.190869796584423,85783365.12956598
2007-3,99014792.1182047,5713109.558337577,14.191985082809333,85795797.34861724
2007-4,99092797.96465623,5714506.22625562,14.193100369034244,85808229.5676685
2007-5,99170803.81110775,5715902.894173662,14.194215655259157,85820661.78671975
2007-6,99248809.65755929,5717299.562091704,14.195330941484068,85833094.00577101
2007-7,99326815.50401083,5718696.230009748,14.196446227708979,85845526.22482227
2007-8,99404821.35046236,5720092.897927791,14.19756151393389,85857958.44387352
2007-9,99482827.1969139,5721489.565845833,14.1986768001588,85870390.66292478
2007-10,99560833.04336542,5722886.233763875,14.199792086383713,85882822.88197604
2007-11,99638838.88981695,5724282.901681919,14.200907372608624,85895255.1010273
2007-12,99716844.73626849,5725679.569599962,14.202022658833535,85907687.32007855
2008-1,99794850.58272003,5727076.237518004,14.203137945058446,85920119.53912981
2008-2,99854765.82300635,5729623.610227609,14.202647301397828,85923617.62689978
2008-3,99914681.06329267,5732170.982937215,14.202156657737211,85927115.71466973
2008-4,99974596.30357899,5734718.35564682,14.201666014076594,85930613.8024397
2008-5,100034511.54386531,5737265.728356425,14.201175370415976,85934111.89020966
2008-6,100094426.78415163,5739813.101066031,14.200684726755359,85937609.97797963
2008-7,100154342.02443793,5742360.4737756355,14.20019408309474,85941108.06574959
2008-8,100214257.26472425,5744907.84648524,14.199703439434122,85944606.15351956
2008-9,100274172.50501058,5747455.219194846,14.199212795773505,85948104.24128953
2008-10,100334087.7452969,5750002.591904451,14.198722152112888,85951602.32905948
2008-11,100394002.98558322,5752549.964614056,14.19823150845227,85955100.41682945
2008-12,100453918.22586954,5755097.337323662,14.197740864791653,85958598.5045994
2009-1,100513833.46615586,5757644.710033267,14.197250221131036,85962096.59236938
2009-2,100727788.5785822,5761754.793380247,14.20092208323751,86018154.83485967
2009-3,100941743.69100855,5765864.876727228,14.204593945343982,86074213.07734998
2009-4,101155698.8034349,5769974.960074209,14.208265807450456,86130271.31984028
2009-5,101369653.91586123,5774085.04342119,14.21193766955693,86186329.56233057
2009-6,101583609.02828759,5778195.126768171,14.215609531663402,86242387.80482087
2009-7,101797564.14071393,5782305.2101151515,14.219281393769876,86298446.04731117
2009-8,102011519.25314027,5786415.293462132,14.22295325587635,86354504.28980148
2009-9,102225474.36556663,5790525.376809113,14.226625117982822,86410562.53229177
2009-10,102439429.47799297,5794635.460156094,14.230296980089296,86466620.77478206
2009-11,102653384.5904193,5798745.543503075,14.23396884219577,86522679.01727237
2009-12,102867339.70284566,5802855.6268500555,14.237640704302242,86578737.25976267
2010-1,103081294.815272,5806965.710197036,14.241312566408716,86634795.50225297
2010-2,103278982.22050704,5806279.741140133,14.24443860517644,86680888.15912041
2010-3,103476669.6257421,5805593.772083228,14.247564643944163,86726980.81598787
2010-4,103674357.03097713,5804907.803026325,14.250690682711884,86773073.47285531
2010-5,103872044.43621217,5804221.833969422,14.253816721479607,86819166.12972276
2010-6,104069731.84144722,5803535.864912518,14.25694276024733,86865258.78659022
2010-7,104267419.24668226,5802849.895855615,14.260068799015052,86911351.44345766
2010-8,104465106.6519173,5802163.926798711,14.263194837782775,86957444.10032511
2010-9,104662794.05715235,5801477.957741807,14.266320876550498,87003536.75719257
2010-10,104860481.46238738,5800791.988684904,14.269446915318222,87049629.41406001
2010-11,105058168.86762242,5800106.0196279995,14.272572954085945,87095722.07092746
2010-12,105255856.27285747,5799420.050571096,14.275698992853666,87141814.72779492
2011-1,105453543.67809251,5798734.081514193,14.27882503162139,87187907.38466236
2011-2,105630617.55920465,5796775.513752602,14.279697289110782,87223970.86039257
2011-3,105807691.4403168,5794816.945991011,14.280569546600175,87260034.33612277
2011-4,105984765.32142894,5792858.378229422,14.281441804089567,87296097.81185298
2011-5,106161839.20254108,5790899.810467831,14.282314061578958,87332161.28758319
2011-6,106338913.08365323,5788941.24270624,14.283186319068351,87368224.76331338
2011-7,106515986.96476537,5786982.67494465,14.284058576557744,87404288.2390436
2011-8,106693060.8458775,5785024.10718306,14.284930834047136,87440351.7147738
2011-9,106870134.72698964,5783065.539421469,14.285803091536529,87476415.190504
2011-10,107047208.60810179,5781106.971659878,14.28667534902592,87512478.66623421
2011-11,107224282.48921393,5779148.403898288,14.287547606515313,87548542.14196442
2011-12,107401356.37032607,5777189.836136698,14.288419864004705,87584605.61769462
2012-1,107578430.25143822,5775231.268375107,14.289292121494098,87620669.09342483
2012-2,107717883.68258956,5773834.132426416,14.28697340035744,87635586.49938707
2012-3,107857337.1137409,5772436.996477724,14.284654679220782,87650503.90534931
2012-4,107996790.54489225,5771039.860529033,14.282335958084126,87665421.31131156
2012-5,108136243.9760436,5769642.724580341,14.280017236947467,87680338.7172738
2012-6,108275697.40719494,5768245.5886316495,14.277698515810808,87695256.12323605
2012-7,108415150.83834627,5766848.452682957,14.275379794674151,87710173.52919829
2012-8,108554604.26949762,5765451.316734266,14.273061073537495,87725090.93516055
2012-9,108694057.70064896,5764054.180785574,14.270742352400836,87740008.34112279
2012-10,108833511.13180031,5762657.0448368825,14.268423631264177,87754925.74708503
2012-11,108972964.56295165,5761259.908888191,14.26610491012752,87769843.15304728
2012-12,109112417.994103,5759862.7729394995,14.263786188990863,87784760.55900952
2013-1,109251871.42525434,5758465.636990808,14.261467467854205,87799677.96497177
2013-2,109363735.06409225,5754588.8252213225,14.259536429859695,87806301.09835003
2013-3,109475598.70293015,5750712.013451838,14.257605391865185,87812924.2317283
2013-4,109587462.34176807,5746835.201682353,14.255674353870676,87819547.36510657
2013-5,109699325.98060597,5742958.389912868,14.253743315876166,87826170.49848484
2013-6,109811189.61944388,5739081.578143382,14.251812277881656,87832793.6318631
2013-7,109923053.2582818,5735204.766373898,14.249881239887149,87839416.76524138
2013-8,110034916.8971197,5731327.954604413,14.247950201892639,87846039.89861965
2013-9,110146780.5359576,5727451.142834928,14.24601916389813,87852663.03199792
2013-10,110258644.17479551,5723574.331065442,14.24408812590362,87859286.16537619
2013-11,110370507.81363341,5719697.519295958,14.24215708790911,87865909.29875445
2013-12,110482371.45247133,5715820.707526473,14.2402260499146,87872532.43213272
2014-1,110594235.09130923,5711943.895756988,14.23829501192009,87879155.56551099
2014-2,110670655.21530268,5705016.873764815,14.235656205676303,87876599.84395956
2014-3,110747075.33929612,5698089.851772642,14.233017399432518,87874044.12240812
2014-4,110823495.46328956,5691162.829780469,14.230378593188732,87871488.40085667
2014-5,110899915.587283,5684235.807788296,14.227739786944944,87868932.67930524
2014-6,110976335.71127644,5677308.785796123,14.225100980701157,87866376.9577538
2014-7,111052755.83526987,5670381.76380395,14.222462174457371,87863821.23620237
2014-8,111129175.95926331,5663454.7418117765,14.219823368213586,87861265.51465094
2014-9,111205596.08325675,5656527.7198196035,14.217184561969798,87858709.79309951
2014-10,111282016.2072502,5649600.69782743,14.21454575572601,87856154.07154807
2014-11,111358436.33124363,5642673.675835257,14.211906949482225,87853598.34999663
2014-12,111434856.45523708,5635746.653843084,14.20926814323844,87851042.6284452
2015-1,111511276.57923052,5628819.631850911,14.206629336994652,87848486.90689376
2015-2,111560147.72563048,5624243.056598181,14.20475847729609,87846070.80618463
2015-3,111609018.87203044,5619666.481345451,14.20288761759753,87843654.70547551
2015-4,111657890.0184304,5615089.906092722,14.201016757898968,87841238.60476637
2015-5,111706761.16483036,5610513.330839992,14.199145898200406,87838822.50405724
2015-6,111755632.31123032,5605936.755587261,14.197275038501845,87836406.40334812
2015-7,111804503.45763028,5601360.180334532,14.195404178803283,87833990.302639
2015-8,111853374.60403022,5596783.605081802,14.19353331910472,87831574.20192987
2015-9,111902245.75043018,5592207.029829072,14.191662459406158,87829158.10122074
2015-10,111951116.89683014,5587630.454576341,14.189791599707597,87826742.00051162
2015-11,111999988.0432301,5583053.879323612,14.187920740009035,87824325.89980248
2015-12,112048859.18963006,5578477.3040708825,14.186049880310474,87821909.79909335
2016-1,112097730.33603002,5573900.728818152,14.184179020611912,87819493.69838423
2016-2,112116489.54013583,5572398.262357256,14.183640853065857,87820712.14797816
2016-3,112135248.74424165,5570895.795896361,14.183102685519799,87821930.59757209
2016-4,112154007.94834748,5569393.329435465,14.182564517973743,87823149.047166
2016-5,112172767.15245329,5567890.862974569,14.182026350427687,87824367.49675994
2016-6,112191526.3565591,5566388.3965136735,14.18148818288163,87825585.94635387
2016-7,112210285.56066492,5564885.930052778,14.180950015335574,87826804.39594778
2016-8,112229044.76477075,5563383.463591881,14.180411847789518,87828022.84554172
2016-9,112247803.96887656,5561880.997130985,14.17987368024346,87829241.29513565
2016-10,112266563.17298236,5560378.53067009,14.179335512697405,87830459.74472958
2016-11,112285322.37708819,5558876.064209194,14.178797345151349,87831678.19432351
2016-12,112304081.58119401,5557373.597748298,14.178259177605291,87832896.64391743
2017-1,112322840.78529982,5555871.1312874025,14.177721010059235,87834115.09351136
2017-2,112302205.85339434,5556007.2929217685,14.176427292952589,87824723.64310268
2017-3,112281570.92148887,5556143.454556135,14.175133575845942,87815332.19269401
2017-4,112260935.9895834,5556279.616190502,14.173839858739296,87805940.74228533
2017-5,112240301.05767792,5556415.777824868,14.17254614163265,87796549.29187666
2017-6,112219666.12577245,5556551.9394592345,14.171252424526003,87787157.84146798
2017-7,112199031.19386697,5556688.101093601,14.169958707419356,87777766.39105931
2017-8,112178396.26196149,5556824.262727968,14.16866499031271,87768374.94065063
2017-9,112157761.33005601,5556960.424362334,14.167371273206063,87758983.49024194
2017-10,112137126.39815053,5557096.5859967,14.166077556099417,87749592.03983328
2017-11,112116491.46624507,5557232.747631067,14.16478383899277,87740200.5894246
2017-12,112095856.53433959,5557368.909265434,14.163490121886124,87730809.13901593
2018-1,112075221.60243411,5557505.0708998,14.162196404779477,87721417.68860725
2018-2,112029471.5075027,5558965.55937611,14.162189146394056,87715388.52752537
2018-3,111983721.4125713,5560426.04785242,14.162181888008632,87709359.36644349
2018-4,111937971.31763989,5561886.53632873,14.16217462962321,87703330.2053616
2018-5,111892221.22270846,5563347.02480504,14.162167371237787,87697301.04427972
2018-6,111846471.12777705,5564807.51328135,14.162160112852366,87691271.88319784
2018-7,111800721.03284565,5566268.001757659,14.162152854466942,87685242.72211596
2018-8,111754970.93791424,5567728.490233969,14.16214559608152,87679213.56103408
2018-9,111709220.84298283,5569188.978710279,14.1621383376961,87673184.3999522
2018-10,111663470.7480514,5570649.467186589,14.162131079310676,87667155.23887032
2018-11,111617720.65312,5572109.955662899,14.162123820925254,87661126.07778844
2018-12,111571970.55818859,5573570.444139209,14.16211656253983,87655096.91670656
2019-1,111526220.46325718,5575030.932615519,14.16210930415441,87649067.75562468
2019-2,111424758.8903523,5575616.688996677,14.161410986141577,87630854.06054886
2019-3,111323297.31744741,5576202.445377836,14.160712668128744,87612640.36547303
2019-4,111221835.74454254,5576788.201758994,14.160014350115912,87594426.67039719
2019-5,111120374.17163765,5577373.9581401525,14.159316032103078,87576212.97532137
2019-6,111018912.59873277,5577959.714521311,14.158617714090246,87557999.28024554
2019-7,110917451.02582788,5578545.470902469,14.157919396077414,87539785.58516972
2019-8,110815989.452923,5579131.227283628,14.15722107806458,87521571.8900939
2019-9,110714527.88001812,5579716.983664786,14.156522760051748,87503358.19501807
2019-10,110613066.30711323,5580302.740045945,14.155824442038915,87485144.49994224
2019-11,110511604.73420836,5580888.496427104,14.155126124026083,87466930.8048664
2019-12,110410143.16130348,5581474.252808262,14.15442780601325,87448717.10979058
2020-1,110308681.58839859,5582060.00918942,14.153729488000417,87430503.41471475
2020-2,110132099.39840935,5583300.4114458095,14.153551372998951,87400977.35055256
2020-3,109955517.20842013,5584540.813702199,14.153373257997485,87371451.28639036
2020-4,109778935.01843089,5585781.215958588,14.153195142996019,87341925.22222817
2020-5,109602352.82844165,5587021.618214977,14.153017027994553,87312399.15806597
2020-6,109425770.63845241,5588262.020471366,14.152838912993086,87282873.09390378
2020-7,109249188.44846317,5589502.422727756,14.152660797991619,87253347.02974159
2020-8,109072606.25847395,5590742.824984145,14.152482682990152,87223820.96557939
2020-9,108896024.06848471,5591983.2272405345,14.152304567988686,87194294.9014172
2020-10,108719441.87849547,5593223.629496924,14.15212645298722,87164768.837255
2020-11,108542859.68850625,5594464.031753313,14.151948337985754,87135242.7730928
2020-12,108366277.498517,5595704.434009702,14.151770222984288,87105716.70893061
2021-1,108189695.30852777,5596944.836266091,14.151592107982822,87076190.64476842
2021-2,107975516.94016165,5598207.507548521,14.151108003772631,87038459.23661226
2021-3,107761338.57179551,5599470.1788309505,14.150623899562438,87000727.8284561
2021-4,107547160.20342937,5600732.850113381,14.150139795352247,86962996.42029995
2021-5,107332981.83506325,5601995.521395811,14.149655691142057,86925265.0121438
2021-6,107118803.46669713,5603258.19267824,14.149171586931864,86887533.60398765
2021-7,106904625.09833099,5604520.86396067,14.148687482721673,86849802.19583149
2021-8,106690446.72996485,5605783.5352431005,14.148203378511482,86812070.78767534
2021-9,106476268.36159873,5607046.20652553,14.14771927430129,86774339.37951918
2021-10,106262089.99323261,5608308.87780796,14.147235170091099,86736607.97136304
2021-11,106047911.62486647,5609571.54909039,14.146751065880908,86698876.56320688
2021-12,105833733.25650033,5610834.220372819,14.146266961670715,86661145.15505072
2022-1,105619554.88813421,5612096.8916552495,14.145782857460524,86623413.74689457
