Ano,Goiás - PIB - Estadual,Goiás - PIB - Construção Civil,Goiás - PIB - Per Capita,Goiás - PIB - Preços de Mercado
1985,0.008580578,3758824.7953121,8.9125322396,38767171.2463947
1986,0.025709562,5201485.31021325,9.2848871354,41319279.758732
1987,0.071078302,3605143.87114649,9.306284364,42335776.577342
1988,0.511787904,4264950.86781254,9.6880128926,45011525.1402962
1989,6.185994032,3798152.75958622,11.3622793272,45070219.3802562
1990,202.4104274,2673109.16218913,11.1470073868,45075242.9459147
1991,1135.898599,2290717.13417086,11.2039309628,46148991.6359607
1992,11199.89492,2251106.74857153,11.0574563657,47003510.9899741
1993,257273.9551,2943714.01745833,11.5024229008,50023933.6738763
1994,6810241.493,3770421.1864596,11.5558264926,51378868.6253268
1995,14461405.84,3857408.9551444,11.5187377268,52322449.3193889
1996,17722630.22,3956390.74491622,11.578657072,53703710.3998499
1997,19825070.24,4817299.57443027,11.8932970314,56298574.666341
1998,21120127.89,4961400.56133438,11.8022273656,56970071.4294511
1999,22191345.55,4083829.55123957,11.6898133397,57965482.500416
2000,26249030.74,6297411.71129682,12.0131469004,60869402.0165606
2001,29914136.3,6094770.75913317,12.1528450862,62901157.4054521
2002,34145119.8693923,4096598.73917169,12.4496884783,64867047.6175856
2003,40056841.9875522,3254422.38273926,12.5694396075,66699215.930091
2004,45534687.3735255,4094499.57509726,12.7746069585,70365664.9060178
2005,47802305.9524712,3810644.33850594,12.2350811834,68760140.738765
2006,54264427.3236513,3922399.74384649,12.7563026841,73103219.8757621
2007,63288114.4434026,5073435.65187399,13.6811839918,80101841.0231416
2008,72473501.0121585,4565474.28193802,14.4268714543,84324991.5160262
2009,82102350.7760765,5569872.99717651,15.0208577972,89018109.56374
2010,93245999.7255695,7640437.82722611,15.1489772459,93245999.7255695
2011,105126839.787794,8044921.92975556,15.9608450769,97053366.03288
2012,122476482.987672,7602583.60586423,17.0187214445,104750162.415972
2013,133808285.47346,8391928.75444781,16.5452678904,106453047.779416
2014,146560341.656225,9242176.78862396,16.5738156528,108114678.890369
2015,154573451.929317,7948271.28959397,16.0354507905,106005249.866951
2016,162107294.955091,6543922.74024561,15.3585003724,102838291.511222
2017,171301180.171891,5811694.76397472,15.468392846,104822315.900228
2018,173890167.587297,5302253.94259146,14.889936157,101830764.163203
2019,185196920.768166,5586360.73934244,15.0147517388,104056430.190712
2020,199832733.137857,5361420.36137468,14.7378881069,105454311.268779
2021,,,,
2022,,,,
