Ano,Pernambuco - Consumo de Cimento (t)
2014,2703.3911062055413
2015,2472.439205081797
2016,2170.1931882907356
2017,1925.5810038526838
2018,1852.558989902678
2019,1914.9615534488048
2020,1966.0736868417157
2021,1961.8752516192062
2022,1959.430792020488
