Ano,Distrito Federal
2014,11.799788321817193
2015,12.093704620142406
2016,12.238790236528455
2017,12.0856322334972
2018,12.018938170763702
2019,12.023661895135747
2020,11.936222220053123
2021,11.866376407842488
2022,11.896986554874035
