Ano,Distrito Federal - Produção de Cimento (t)
2014,3551.8139078344907
2015,3186.7735937060456
2016,2900.2093767480696
2017,2730.619877429926
2018,2633.351748430539
2019,2741.331349622988
2020,2906.704912108724
2021,2968.2816254946406
2022,2994.3984121621525
