,Amapá - PIB - Estadual,Amapá - PIB - Construção Civil,Amapá - PIB - Per Capita,Amapá - PIB - Preços de Mercado
2003-1,8035813.3855762435,356591.00342969684,10.8831425875306,7033593.282440488
2003-2,8046432.462337865,356647.7110041737,10.88520552683637,7037356.499927594
2003-3,8057051.539099487,356704.4185786505,10.887268466142137,7041119.7174147
2003-4,8067670.615861108,356761.12615312735,10.889331405447907,7044882.9349018065
2003-5,8078289.692622729,356817.8337276042,10.891394344753675,7048646.152388913
2003-6,8088908.76938435,356874.541302081,10.893457284059444,7052409.369876019
2003-7,8099527.846145971,356931.2488765579,10.895520223365214,7056172.587363126
2003-8,8110146.922907593,356987.95645103476,10.897583162670982,7059935.804850232
2003-9,8120765.999669214,357044.6640255116,10.899646101976751,7063699.022337338
2003-10,8131385.076430835,357101.37159998843,10.901709041282519,7067462.239824444
2003-11,8142004.153192457,357158.07917446527,10.903771980588289,7071225.45731155
2003-12,8152623.229954078,357214.7867489421,10.905834919894057,7074988.674798656
2004-1,8163242.306715699,357271.49432341894,10.907897859199826,7078751.892285762
2004-2,8173332.382047936,357418.45937624056,10.909765915536667,7082203.783438891
2004-3,8183422.457380174,357565.4244290622,10.91163397187351,7085655.674592019
2004-4,8193512.532712411,357712.38948188385,10.913502028210353,7089107.565745148
2004-5,8203602.6080446495,357859.35453470546,10.915370084547193,7092559.456898276
2004-6,8213692.683376887,358006.3195875271,10.917238140884034,7096011.348051405
2004-7,8223782.758709124,358153.28464034875,10.919106197220877,7099463.239204533
2004-8,8233872.834041362,358300.24969317036,10.92097425355772,7102915.130357661
2004-9,8243962.909373599,358447.214745992,10.92284230989456,7106367.02151079
2004-10,8254052.984705837,358594.1797988136,10.924710366231402,7109818.912663918
2004-11,8264143.060038075,358741.1448516352,10.926578422568245,7113270.803817047
2004-12,8274233.135370312,358888.1099044569,10.928446478905087,7116722.694970175
2005-1,8284323.21070255,359035.0749572785,10.930314535241928,7120174.5861233035
2005-2,8293740.694818168,359227.9401919733,10.933116750711537,7123202.921700371
2005-3,8303158.178933786,359420.805426668,10.935918966181147,7126231.257277438
2005-4,8312575.6630494045,359613.6706613628,10.938721181650756,7129259.592854505
2005-5,8321993.147165023,359806.5358960576,10.941523397120367,7132287.928431573
2005-6,8331410.631280641,359999.40113075235,10.944325612589976,7135316.264008641
2005-7,8340828.115396259,360192.26636544714,10.947127828059585,7138344.599585708
2005-8,8350245.599511878,360385.13160014193,10.949930043529195,7141372.935162775
2005-9,8359663.083627496,360577.99683483667,10.952732258998804,7144401.270739843
2005-10,8369080.567743114,360770.86206953146,10.955534474468415,7147429.606316911
2005-11,8378498.0518587325,360963.72730422625,10.958336689938024,7150457.941893978
2005-12,8387915.535974351,361156.592538921,10.961138905407633,7153486.277471045
2006-1,8397333.020089969,361349.4577736158,10.963941120877243,7156514.613048113
2006-2,8404997.352329226,361418.49857782945,10.964462256508991,7157725.50952493
2006-3,8412661.684568483,361487.5393820431,10.96498339214074,7158936.406001747
2006-4,8420326.016807742,361556.5801862568,10.965504527772488,7160147.302478564
2006-5,8427990.349047,361625.6209904704,10.966025663404235,7161358.19895538
2006-6,8435654.681286257,361694.66179468407,10.966546799035983,7162569.095432198
2006-7,8443319.013525516,361763.70259889774,10.967067934667732,7163779.991909014
2006-8,8450983.345764773,361832.7434031114,10.96758907029948,7164990.888385831
2006-9,8458647.67800403,361901.7842073251,10.968110205931229,7166201.784862649
2006-10,8466312.010243287,361970.8250115387,10.968631341562975,7167412.681339465
2006-11,8473976.342482544,362039.86581575236,10.969152477194724,7168623.577816282
2006-12,8481640.674721804,362108.90661996603,10.969673612826472,7169834.474293099
2007-1,8489305.00696106,362177.9474241797,10.970194748458221,7171045.370769916
2007-2,8495645.789701616,362238.5585089851,10.969747639502646,7171233.843190375
2007-3,8501986.57244217,362299.16959379055,10.969300530547073,7171422.315610834
2007-4,8508327.355182726,362359.780678596,10.968853421591499,7171610.788031293
2007-5,8514668.137923282,362420.3917634014,10.968406312635924,7171799.260451752
2007-6,8521008.920663835,362481.0028482068,10.967959203680351,7171987.732872211
2007-7,8527349.703404391,362541.61393301224,10.967512094724777,7172176.20529267
2007-8,8533690.486144947,362602.2250178177,10.967064985769202,7172364.677713129
2007-9,8540031.2688855,362662.8361026231,10.966617876813629,7172553.150133588
2007-10,8546372.051626056,362723.4471874285,10.966170767858054,7172741.622554047
2007-11,8552712.834366612,362784.05827223393,10.96572365890248,7172930.094974506
2007-12,8559053.617107166,362844.6693570394,10.965276549946907,7173118.567394965
2008-1,8565394.399847722,362905.2804418448,10.964829440991332,7173307.039815424
2008-2,8569943.183328647,362664.3597005807,10.961863181616314,7172475.17434661
2008-3,8574491.96680957,362423.4389593167,10.958896922241294,7171643.308877796
2008-4,8579040.750290496,362182.5182180527,10.955930662866276,7170811.443408983
2008-5,8583589.533771422,361941.5974767886,10.952964403491256,7169979.577940169
2008-6,8588138.317252345,361700.67673552455,10.949998144116238,7169147.712471355
2008-7,8592687.10073327,361459.75599426054,10.947031884741218,7168315.847002541
2008-8,8597235.884214196,361218.83525299653,10.9440656253662,7167483.981533727
2008-9,8601784.66769512,360977.91451173247,10.941099365991182,7166652.116064913
2008-10,8606333.451176045,360736.9937704684,10.938133106616162,7165820.250596099
2008-11,8610882.234656971,360496.0730292044,10.935166847241144,7164988.3851272855
2008-12,8615431.018137895,360255.1522879404,10.932200587866124,7164156.519658471
2009-1,8619979.80161882,360014.2315466763,10.929234328491106,7163324.654189657
2009-2,8638344.515678184,360457.5279559218,10.928365615011462,7168650.995126983
2009-3,8656709.229737546,360900.82436516724,10.927496901531818,7173977.336064309
2009-4,8675073.94379691,361344.12077441276,10.926628188052174,7179303.677001635
2009-5,8693438.657856273,361787.4171836582,10.92575947457253,7184630.017938961
2009-6,8711803.371915637,362230.7135929037,10.924890761092886,7189956.358876287
2009-7,8730168.085974999,362674.01000214915,10.924022047613242,7195282.699813613
2009-8,8748532.800034363,363117.3064113946,10.9231533341336,7200609.0407509385
2009-9,8766897.514093727,363560.6028206401,10.922284620653956,7205935.381688264
2009-10,8785262.228153089,364003.89922988554,10.921415907174312,7211261.722625591
2009-11,8803626.942212453,364447.19563913107,10.920547193694668,7216588.063562917
2009-12,8821991.656271815,364890.49204837653,10.919678480215024,7221914.404500242
2010-1,8840356.37033118,365333.788457622,10.91880976673538,7227240.745437568
2010-2,8858102.512163639,365705.9701073949,10.920078395337526,7232433.594105089
2010-3,8875848.653996097,366078.1517571678,10.92134702393967,7237626.442772609
2010-4,8893594.795828557,366450.3334069407,10.922615652541817,7242819.29144013
2010-5,8911340.937661016,366822.5150567136,10.92388428114396,7248012.140107651
2010-6,8929087.079493474,367194.6967064865,10.925152909746107,7253204.988775171
2010-7,8946833.221325934,367566.87835625943,10.92642153834825,7258397.837442692
2010-8,8964579.363158394,367939.06000603235,10.927690166950397,7263590.686110213
2010-9,8982325.504990852,368311.24165580526,10.928958795552543,7268783.5347777335
2010-10,9000071.646823311,368683.4233055782,10.930227424154687,7273976.3834452545
2010-11,9017817.788655771,369055.60495535104,10.931496052756833,7279169.232112776
2010-12,9035563.930488229,369427.78660512395,10.932764681358977,7284362.080780296
2011-1,9053310.072320689,369799.96825489687,10.934033309961123,7289554.929447817
2011-2,9069153.803559588,369924.19152115035,10.933699244300895,7293647.721148329
2011-3,9084997.534798488,370048.41478740383,10.933365178640667,7297740.51284884
2011-4,9100841.26603739,370172.6380536573,10.933031112980439,7301833.304549352
2011-5,9116684.99727629,370296.8613199108,10.932697047320211,7305926.096249864
2011-6,9132528.72851519,370421.0845861643,10.932362981659983,7310018.887950376
2011-7,9148372.459754089,370545.3078524178,10.932028915999755,7314111.679650888
2011-8,9164216.190992989,370669.5311186713,10.931694850339525,7318204.4713514
2011-9,9180059.922231888,370793.7543849248,10.931360784679297,7322297.263051911
2011-10,9195903.653470788,370917.97765117825,10.93102671901907,7326390.054752423
2011-11,9211747.38470969,371042.20091743174,10.930692653358841,7330482.846452936
2011-12,9227591.11594859,371166.4241836852,10.930358587698613,7334575.638153447
2012-1,9243434.84718749,371290.6474499387,10.930024522038385,7338668.429853959
2012-2,9256019.878586333,370956.9235664671,10.927539694245777,7340817.495409942
2012-3,9268604.909985177,370623.19968299556,10.925054866453168,7342966.560965926
