Ano,Amapá - PIB - Estadual,Amapá - PIB - Construção Civil,Amapá - PIB - Per Capita,Amapá - PIB - Preços de Mercado
2003,8035813.3855762435,356591.00342969684,10.8831425875306,7033593.282440488
2004,8163242.306715699,357271.49432341894,10.907897859199826,7078751.892285762
2005,8284323.21070255,359035.0749572785,10.930314535241928,7120174.5861233035
2006,8397333.020089969,361349.4577736158,10.963941120877243,7156514.613048113
2007,8489305.00696106,362177.9474241797,10.970194748458221,7171045.370769916
2008,8565394.399847722,362905.2804418448,10.964829440991332,7173307.039815424
2009,8619979.80161882,360014.2315466763,10.929234328491106,7163324.654189657
2010,8840356.37033118,365333.788457622,10.91880976673538,7227240.745437568
2011,9053310.072320689,369799.96825489687,10.934033309961123,7289554.929447817
2012,9243434.84718749,371290.6474499387,10.930024522038385,7338668.429853959
2013,9394455.22397362,367285.96084827994,10.900206588527086,7364457.216525761
2014,9501299.284934236,364732.7000674354,10.85966829931476,7367809.248788319
2015,9586010.685773414,358753.4630356614,10.8306175539968,7371887.198942956
2016,9648784.661339587,350101.3945154484,10.81678219047627,7379300.950100349
2017,9684545.547455821,347692.74563246005,10.82059790496879,7391484.554432322
2018,9674264.62844664,348410.3461540085,10.816868155197108,7388254.743880454
2019,9603864.821157243,349107.3598288092,10.8083447300147,7367392.524758721
2020,9484615.33125523,351761.772055464,10.805525194414141,7338462.789064301
2021,9300676.138871573,353376.47473531554,10.82624886934343,7304033.335286213
2022,9078023.510383513,354954.18258643226,10.84903280047721,7260038.69264673
