Ano,Tocantins - Produção de Cimento (t),Tocantins - PIB - Estadual,Tocantins - PIB - Construção Civil,Tocantins - PIB - Per Capita,Tocantins - PIB - Preços de Mercado,Tocantins - IDH Renda,Tocantins - IDH Longevidade,Tocantins - Desemprego,Tocantins - Consumo de Cimento (t),Tocantins - IDH,Tocantins - IDH Educacao,Contratação Comercial (Bi R$),Contratação  Home equity (Bi R$),Contratação  Livre (Bi R$),Contratação  FGTS (Bi R$),Contratação  SFH (Bi R$),Contratação Jurídico Comercial (Bi R$),Contratação Jurídico FGTS (Bi R$),Contratação Jurídico Livre (Bi R$),Contratação Jurídico SFH (Bi R$),Direcionamento Aquisição (R$),Direcionamento Construção (R$),Direcionamentos Reformas e Ampliações (R$),Direcionamento Aplicação (R$),Ativos Problemáticos - Comercial (R$),Ativos Problemáticos - Home equity (R$),Ativos Problemáticos - Livre (R$),Ativos Problemáticos - SFH (R$),Ativos Problemáticos - FGTS (R$),Ativos Problemáticos P.Jurídica - Comercial (R$),Ativos Problemáticos P.Jurídica - Home equity (R$),Ativos Problemáticos P.Jurídica - Livre (R$),Ativos Problemáticos P.Jurídica - SFH (R$),Carteira de Crédito - Comercial (R$),Carteira de Crédito – Home equity (R$),Carteira de Crédito – Livre (R$),Carteira de Crédito - FGTS (R$),Carteira de Crédito - SFH  (R$),Carteira de Crédito P.Jurídica - Comercial (R$),Carteira de Crédito P.Jurídica - Home equity (R$),Carteira de Crédito P.Jurídica -  Livre (R$),Carteira de Crédito  P.Jurídica - FGTS (R$),Inadimplência - SFH (%),Inadimplência - FGTS (%),Inadimplência - Livre (%),Inadimplência - Comercial (%),Inadimplência - Home equity (%),Inadimplência P.Jurídica - SFH (%),Inadimplência P.Jurídica - FGTS (%),Inadimplência P.Jurídica - Livre (%),Inadimplência P.Jurídica - Comercial (%),Poupança e Empréstimo - SBPE (R$), Títulos - LH (R$), Títulos – LIG (R$), Títulos – CRI (R$), Títulos – LCI (R$),Imóvel Área - Privativa (m²),Imóvel Área - Total (m²),Número de Apartamentos,Número de Casas,Valor Imóveis - Avaliação (R$),Valor Imóveis - Compra (R$),Quantidade de imóves - Condomínio,Quantidade de imóves – Isolado, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s)
2008,199.99442340744,17154330.379480716,1552701.6772155946,10.59841077193246,27864927.348710734,0.6731818585551193,0.7834186546408911,8.013079135529578,450.745,0.7182808833485721,0.7003637715316232,548333460.502127,2546644327.731333,18748832399.562984,23513191538.611725,39933661394.27067,1825599079.2571075,611387920.9906839,5149870398.479437,7103052901.031632,1579114929518.0002,125694410605.7414,8452233392.642138,1545962137551.6006,93556478.12076113,8597527998.877825,13669049122.476791,74026328637.03145,55827918839.51982,201659731.51100528,3559074880.738992,4320913073.568031,8759798306.836473,4958845943.063295,120857977297.0235,879672803674.193,805654076681.4358,858344305111.6047,6103052645.337701,29521931835.503246,237320286015.81628,243735268351.7366,1.5534071630240394,2.295866357826005,1.5760115039285365,0.6205599059179164,4.456303765205106,0.8136556131891135,0.3403887069623362,1.4610178692807083,0.6000232322354312,3526567305736.25,14563327153.493135,95768731211.15208,233391080145.2273,1368011361566.953,610.9713879482075,709.4286329738685,81574.73014802611,276979.9582974947,609269.7650184509,585043.9040265316,98799.63110604454,364205.7557769496,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,36.93931132103325,978.5924878719296,1332.8313115432045,27.10582369644106,18.233644707546368,62.88079159269655,1.6895882112281135
2009,305.8290172874809,17319776.046310958,1569540.5117716128,10.617459013256996,28265464.25293,0.6748128684265626,0.7854207165947942,8.041614363695377,467.588,0.7205753589406148,0.7041451588387488,530276440.0959268,2679945161.954176,20550145709.267563,24465176358.778084,44395699939.59,2128972687.4256864,508555485.7804493,5646316467.25205,7516312716.462187,1732262964572.3582,133973230713.91034,8474167828.715773,1849861990818.743,75250566.15155369,8182682120.949374,13315129656.296827,77076660150.3971,60867162359.00356,202016115.76200452,2860531784.894376,3820237084.97516,7681634796.55429,4358432808.917857,121778118132.64476,862178900183.9764,858129434722.9382,976062781761.3398,8072581712.086034,19783553108.51553,244799209180.8437,252802381113.4876,1.520576632564525,2.309826965151858,1.4886304463853224,0.6534391675802281,4.287644579383795,0.6659170414417693,0.2232152762733165,1.30622697910763,0.503875351598763,3839441852652.633,14777947777.63399,83443018900.85628,257259051615.2721,1350504917715.3147,616.2774488962832,720.5876202174157,87964.97271474617,285967.7234689809,660330.8170515912,636747.0071923264,103974.9262284121,365002.5621947396,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,36.787647918919255,978.478936032048,1329.7617833450222,27.15567793203424,18.21403075491946,62.73513601351936,1.698582298983597
2010,421.3275257903116,17827895.717120513,1443676.3796348055,10.617472399861269,26055376.81965062,0.6760072807890183,0.7869756334415848,8.0060588006544,487.208,0.7224433634480705,0.7074519219673261,504642530.04255456,2891930134.5090976,23422470292.099907,26060348384.362083,51539523197.08019,2581963136.183683,361194131.7227922,6395752462.123714,8114967082.87841,2041539202033.388,151476684285.2553,8509095606.308856,2342535372338.744,50191368.17801236,7551654436.715528,12816899462.066532,81932632273.5434,70506755307.08174,202632804.2183652,1818059610.404208,2932798929.287916,5911652929.248757,3669430643.950608,123446423617.13394,835777955475.4749,971460547671.3206,1208110277643.5518,11380536886.267086,5431567527.841667,258888485431.25955,269231852319.3537,1.4672572310119745,2.3327294906429503,1.3518036987039854,0.7039994852026136,4.023036648603125,0.4276743759714936,0.057491706194738,1.0453927096074844,0.3415651084040557,4347289455851.5566,15125371035.644785,60451327054.95434,306020384426.6756,1328497069857.3943,624.7566310004029,738.0255904187818,98194.89579533604,299791.4369048604,764015.2022853608,741300.1120103027,114938.75786517048,366110.1264282377,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,34.37778763347977,978.4297967537408,1327.7469805402022,27.09309321910789,17.937541112119813,62.24883500079378,1.6896617052533105
2011,483.31360483836784,18296015.752595358,1330737.3898506346,10.632145843938542,24344818.78571199,0.6767735055526489,0.7880928540805326,7.993875358747286,458.331,0.7238936002964601,0.7102756143645286,485462246.90458816,3091988141.487674,26042650879.09661,28457380131.031666,58251257503.55984,2924802646.922415,264043418.1773052,6984356633.443491,8523358160.35819,2473383056401.028,177348447359.79932,8540900400.2963295,2932090744694.2188,37033978.12540066,7252217343.716924,12949407952.763336,88149865916.8081,83005850063.62341,203413346.57311687,1043019568.8115668,1918493925.100048,4182532343.5665474,3657429770.052423,126090309918.81036,810797578877.2206,1143141137372.8003,1521937794754.0806,14786607161.208408,0.0,276721758420.647,288758613174.4291,1.4163663916422842,2.344602225744875,1.2314992707440302,0.7726681440712122,3.821154777969921,0.2044574199966911,0.0,0.7755306071962904,0.1727712129224884,4934798234162.273,15455210867.524992,31775261292.510216,375061515078.5934,1345062051783.5503,635.7514706229547,760.9350990468705,111383.84863581447,317826.0111257512,909695.2034539444,887446.6731025132,131138.13876056086,367459.21244791936,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,31.445708189386508,978.5661066979836,1339.2886044875493,27.200518535443177,17.906596052371984,61.75951433817195,1.6304985590832823
2012,510.5469442285658,18736788.59739,1258450.790768226,10.650201773230906,23238395.393916894,0.6768692996632996,0.7887086033670033,9.38599877899878,508.683,0.7245311986531986,0.7118579501683501,486766142.67498726,3189506394.9668994,27087527168.352966,31814921919.96144,61417003803.96101,2897722020.073965,311844224.4476544,6998303601.533688,8365825531.593555,2994233914710.299,210732193426.414,8553465817.054452,3526635726991.1143,54433371.867630266,7832144076.830338,14487713523.114588,95283958406.28798,96623580293.3228,204261186.94482857,1146763818.6896825,1037218068.4146936,3226953102.859219,5088024847.497449,129937193489.44928,797565582600.2329,1370664897725.7188,1884996141810.641,17050473766.848543,298023148.63097,295432661538.2706,307117577886.3064,1.390821656483256,2.325473479237381,1.1936857577367,0.8598718633836807,3.840674169395694,0.1017961392629122,0.0334633155212237,0.5936562610869364,0.0571726226807442,5486655500292.567,15617079698.330572,4806988316.147349,459768941863.3849,1443274300081.375,648.6044918719901,788.5087403154425,126651.16776999146,339446.3736935712,1086743.1652887987,1063930.1868937938,152020.1058965133,368980.5806973151,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,31.91955044013705,978.6720659795444,1341.1292945199707,27.26383166441356,18.11077163162094,62.12384953359008,1.5424571089015915
2013,530.7569914890389,19133291.88461625,1228869.7401848757,10.67364320364518,22779873.940811023,0.6771084079685745,0.7890176536475869,9.822893776246772,525.234,0.7257421318742985,0.7148461126823794,522584769.34671134,3093872107.023766,25233938857.96424,36291624072.32604,57922863043.21577,2240952056.070419,599337429.8375056,6023767986.716613,7266708779.276535,3570531163996.2275,250771595973.97092,8530675462.959477,4034277938335.378,121044525.27861284,9839207870.93254,18206874567.84764,102890507068.07976,109619079660.87411,205079769.45206943,2740644518.611785,548867355.2349899,3777595270.4783287,8726810536.559832,135214490780.82596,806409778855.5304,1651525522628.4167,2264736127530.948,16931817933.126036,18883665517.63932,312154828173.3951,320043660662.5784,1.4135405675626904,2.2553715599002206,1.3043317549132374,0.9660373623376756,4.240270024791955,0.2252204995157075,0.3715205483782329,0.5967852604923106,0.0544482952055062,5887548566950.223,15460589953.117476,0.0,555529163073.4097,1666208251338.4597,662.6582188555609,819.939108438259,143116.18973167703,364027.4521702388,1284531.4325213805,1259494.1498089803,177031.6962549579,370604.9916199554,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,34.86538655168016,978.830134200667,1337.7544749192143,27.211673985082328,18.470708096888107,63.51413974212024,1.474064774555326
2014,534.4221926954918,19454605.01138493,1234495.4218660607,10.702690432953336,23013224.3523934,0.6768674419659558,0.7889357914515526,10.19299143762296,426.7672857142857,0.7263039761971567,0.7168332887392443,567641284.124733,2779340357.6933804,19543606476.373924,41433965653.544136,45701625325.37301,1011495538.2025764,1232343325.432653,3420812124.1238074,5088493730.326361,4142817755621.4224,295002623386.36523,8456412944.387664,4373069768779.274,251097559.61081755,13325736125.033554,24044564942.216137,111540687886.5387,121898753572.08733,224565968.5949357,6448063276.413103,1124944871.6563542,6534597933.781791,14717610607.91208,140639917421.832,836261269050.1871,1982138770660.6216,2609380131080.7856,14282695528.836937,69095287505.93262,318052015037.8993,323533933790.01746,1.4870805999791414,2.1088676986703856,1.5531763037649595,1.1014093838451209,5.020584392822706,0.6242588246614202,1.0890601349629625,0.8936409034993987,0.2690344931710118,6038777822351.111,14738559853.181026,0.0,658592169442.7872,2010184563868.828,677.2551756817184,854.418797629081,159898.25105468126,390944.1741176722,1492432.3498831454,1462882.058272909,205619.9468178248,372263.20565937087,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,45.725826379521216,978.988335178938,1363.511778790153,27.574024438738515,18.568156727533843,62.9276658379382,1.510967962131163
2015,515.3837931383493,19715438.089469302,1239338.0775501044,10.728748975833192,23248250.1083597,0.6756063954631187,0.7884304407391819,10.501089854035232,454.92942857142856,0.7254126408802531,0.7158193961341813,517939238.67383534,2561731222.5542107,13275961988.63313,44697057489.85005,35397690168.08871,713859890.1155254,1796510097.9487064,2000000005.1740384,3627201873.6563406,4509033946145.6455,328303583933.8167,8314561867.715266,4598532448921.512,391032424.2545757,15403973087.028343,27738848181.49309,124088988944.38284,136645413739.87167,388418178.4192804,11381364056.53788,5913002131.374437,11288459643.49753,18908401650.856792,140633648040.34906,820295919193.5386,2282392102999.4546,2791846789824.1484,16330767821.122229,127744538393.93018,284200212511.5372,313608097899.61664,1.5556836838874044,1.975817924305464,1.685830164263454,1.3423367999557454,5.51974136290487,1.091255755098307,1.5547161342885898,1.7445826836355331,0.9512980453803764,6056761724921.883,13819053598.007326,0.0,745034183509.1047,2157580139274.8003,691.7378864585141,891.1404021016696,176116.6882728141,419571.4670977895,1699818.2621055508,1662837.4087104157,237231.894567044,373885.9832590919,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,48.16228760799995,978.9838442927444,1381.8255450893228,27.799713774873357,18.47194641561047,62.0706700291089,1.5314165077373885
2016,535.1861077636606,19891995.324615203,1246861.7610110326,10.74632465497041,23477863.773530506,0.6838592313691771,0.7978265899277569,10.392739827126608,489.0162857142857,0.7357263588731734,0.7296687952476504,452414449.59277606,2516858999.914552,10113703216.182528,46405443729.63464,34074110568.23899,644534477.7992187,2158540019.9782777,1665336879.8736622,3472210233.664446,4868614445084.972,356781671662.7797,8089005839.3185425,4951267342649.448,459021480.00902784,15891923064.326984,28591763948.984554,130021353185.7134,150960524581.57535,645247082.3213054,16904911934.791348,16479116640.641111,24795089462.060955,20345953331.257866,140657692442.75854,778546212763.409,2587088619134.4014,2881541478458.3013,21960264467.735985,164283549223.45084,240310687441.347,283048384702.9844,1.531973007740766,1.914080495311462,1.6610318197057683,1.485108771667915,5.674187089555308,1.931094775296393,1.385614301338119,3.9985595730198846,2.1051248322527285,6245406272623.309,13539986929.71206,0.0,801013634212.4373,2155759554228.2927,705.4488752939999,929.2965160697856,190890.8379198856,449284.2586725089,1896061.513920053,1848103.697546336,271314.5764845456,375404.0848626491,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,40.54257682068848,978.9577950111966,1390.699391727122,27.680488674923517,18.34542454579741,62.09558084547404,1.5113362333508749
2017,580.856957409161,19981956.741382327,1262231.3415159052,10.764439166374787,23716817.081230164,0.684300979675466,0.7971744617393711,9.894472309144492,500.27,0.7358833005889164,0.7302750493610731,421368923.9609252,2497710489.3912363,8456308930.63662,46078875524.86475,36807557457.81853,827285981.4366533,2800465449.356899,1622534053.99991,4367617166.053492,5389552463437.291,403268753019.8243,7763628465.573748,5315585494138.967,465651742.3756932,14713638738.545404,27345827731.753017,126292691359.66742,164579496286.4998,964807328.9071486,22341699525.63272,27261640410.808662,42051886749.25944,21964411238.554573,138646191184.36032,737561391620.6583,2941743161106.6987,2954747023947.6685,26173448620.440228,176270800034.4364,197331059192.5203,230786036191.8125,1.4258739950407744,1.899902565357308,1.541671852500612,1.3907330850959143,5.33960302143674,3.3153591053549136,1.2936003994164142,7.177463198790058,2.9093911518672013,6624961867886.86,13077687778.130796,19730101112.386738,836615171090.8673,2078289208863.3445,717.7306662962272,968.0797337471902,203340.03652970577,479457.4764037485,2070534.450058109,2007424.4212055064,307315.0295522598,376748.270913573,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,37.98432064436527,979.036016779402,1384.2292041133887,27.53642884405887,18.412454709202542,62.734631976814775,1.4766625215552038
