Ano,Tocantins - PIB - Estadual,Tocantins - PIB - Construção Civil,Tocantins - PIB - Per Capita,Tocantins - PIB - Preços de Mercado
2008,17154330.379480716,1552701.6772155946,10.598410771932459,27864927.348710738
2009,17319776.046310958,1569540.5117716128,10.617459013256996,28265464.25293
2010,17827895.717120513,1443676.3796348055,10.617472399861267,26055376.81965062
2011,18296015.752595354,1330737.3898506346,10.632145843938542,24344818.78571199
2012,18736788.597389996,1258450.7907682261,10.650201773230906,23238395.393916894
2013,19133291.88461625,1228869.7401848757,10.673643203645181,22779873.940811023
2014,19454605.01138493,1234495.4218660607,10.702690432953336,23013224.352393396
2015,19715438.089469306,1239338.0775501044,10.728748975833192,23248250.1083597
2016,19891995.324615203,1246861.7610110326,10.74632465497041,23477863.773530502
2017,19981956.741382327,1262231.3415159052,10.764439166374789,23716817.081230164
2018,19968974.61989828,1273955.5349886473,10.766723955133749,23941660.37914466
2019,19875891.738978773,1284681.7806525514,10.76242864133936,24181452.34341488
2020,19608655.44744585,1299452.0727747355,10.729157552359883,24391927.90517209
2021,19117629.093204305,1323080.4185864232,10.676667410623157,24579200.330760423
2022,18527308.427373,1348818.984388131,10.61211360089997,24775395.193309583
