,Bahia - PIB - Estadual,Bahia - PIB - Construção Civil,Bahia - PIB - Per Capita,Bahia - PIB - Preços de Mercado
2003-1,131734360.90646061,8384592.526234203,8.566149432120241,121635930.94573908
2003-2,131896369.6850426,8391945.58962304,8.569209949849451,121691402.78420894
2003-3,132058378.4636246,8399298.653011877,8.572270467578663,121746874.62267879
2003-4,132220387.2422066,8406651.716400713,8.575330985307874,121802346.46114865
2003-5,132382396.0207886,8414004.77978955,8.578391503037086,121857818.29961851
2003-6,132544404.79937059,8421357.843178388,8.581452020766296,121913290.13808836
2003-7,132706413.5779526,8428710.906567223,8.584512538495506,121968761.97655822
2003-8,132868422.35653459,8436063.96995606,8.587573056224718,122024233.81502809
2003-9,133030431.13511658,8443417.033344898,8.590633573953928,122079705.65349793
2003-10,133192439.91369857,8450770.096733734,8.59369409168314,122135177.4919678
2003-11,133354448.69228056,8458123.160122572,8.59675460941235,122190649.33043766
2003-12,133516457.47086257,8465476.223511407,8.599815127141563,122246121.16890751
2004-1,133678466.24944456,8472829.286900245,8.602875644870773,122301593.00737737
2004-2,133826051.55394886,8477002.227460349,8.6053003031547,122344847.21192876
2004-3,133973636.85845315,8481175.168020453,8.607724961438628,122388101.41648015
2004-4,134121222.16295746,8485348.108580556,8.610149619722554,122431355.62103154
2004-5,134268807.46746176,8489521.04914066,8.61257427800648,122474609.82558294
2004-6,134416392.77196607,8493693.989700764,8.614998936290409,122517864.03013432
2004-7,134563978.07647038,8497866.930260869,8.617423594574335,122561118.23468572
2004-8,134711563.38097468,8502039.870820973,8.619848252858262,122604372.4392371
2004-9,134859148.685479,8506212.811381077,8.62227291114219,122647626.64378849
2004-10,135006733.98998326,8510385.751941182,8.624697569426116,122690880.84833989
2004-11,135154319.29448757,8514558.692501284,8.627122227710043,122734135.05289127
2004-12,135301904.59899187,8518731.633061389,8.629546885993971,122777389.25744267
2005-1,135449489.90349618,8522904.573621493,8.631971544277897,122820643.46199405
2005-2,135582224.6122714,8528688.500010556,8.633794311675876,122853648.13200444
2005-3,135714959.32104665,8534472.426399618,8.635617079073853,122886652.80201484
2005-4,135847694.02982187,8540256.352788681,8.637439846471832,122919657.47202523
2005-5,135980428.7385971,8546040.279177744,8.639262613869809,122952662.14203563
2005-6,136113163.44737235,8551824.205566807,8.641085381267787,122985666.81204602
2005-7,136245898.15614757,8557608.13195587,8.642908148665764,123018671.48205641
2005-8,136378632.8649228,8563392.058344932,8.644730916063743,123051676.15206681
2005-9,136511367.57369804,8569175.984733995,8.646553683461722,123084680.8220772
2005-10,136644102.28247327,8574959.911123058,8.648376450859699,123117685.4920876
2005-11,136776836.9912485,8580743.83751212,8.650199218257677,123150690.16209799
2005-12,136909571.70002374,8586527.763901183,8.652021985655654,123183694.8321084
2006-1,137042306.40879896,8592311.690290246,8.653844753053633,123216699.50211878
2006-2,137165911.5777122,8596352.191995982,8.65573670746362,123248562.50231001
2006-3,137289516.74662545,8600392.693701718,8.657628661873606,123280425.50250122
2006-4,137413121.9155387,8604433.195407454,8.65952061628359,123312288.50269245
2006-5,137536727.08445194,8608473.69711319,8.661412570693576,123344151.50288366
2006-6,137660332.2533652,8612514.198818926,8.663304525103563,123376014.50307488
2006-7,137783937.42227846,8616554.700524662,8.665196479513549,123407877.5032661
2006-8,137907542.5911917,8620595.202230396,8.667088433923535,123439740.50345732
2006-9,138031147.76010495,8624635.703936132,8.668980388333521,123471603.50364855
2006-10,138154752.9290182,8628676.205641868,8.670872342743507,123503466.50383976
2006-11,138278358.09793144,8632716.707347604,8.672764297153492,123535329.50403099
2006-12,138401963.2668447,8636757.20905334,8.674656251563478,123567192.5042222
2007-1,138525568.43575794,8640797.710759075,8.676548205973464,123599055.50441343
2007-2,138623015.5438445,8645039.494044002,8.677496811169679,123608951.55921946
2007-3,138720462.65193105,8649281.277328929,8.678445416365891,123618847.61402549
2007-4,138817909.76001763,8653523.060613856,8.679394021562105,123628743.66883153
2007-5,138915356.8681042,8657764.843898783,8.68034262675832,123638639.72363757
2007-6,139012803.97619075,8662006.62718371,8.681291231954532,123648535.77844359
2007-7,139110251.08427733,8666248.410468636,8.682239837150746,123658431.83324963
2007-8,139207698.1923639,8670490.193753563,8.68318844234696,123668327.88805567
2007-9,139305145.30045044,8674731.97703849,8.684137047543173,123678223.94286169
2007-10,139402592.408537,8678973.760323416,8.685085652739387,123688119.99766773
2007-11,139500039.51662356,8683215.543608343,8.686034257935601,123698016.05247377
2007-12,139597486.62471014,8687457.32689327,8.686982863131814,123707912.10727979
2008-1,139694933.7327967,8691699.110178197,8.687931468328028,123717808.16208583
2008-2,139771824.47363546,8694232.047546262,8.688574740734229,123722138.43327819
2008-3,139848715.21447423,8696764.984914325,8.689218013140431,123726468.70447055
2008-4,139925605.955313,8699297.92228239,8.689861285546634,123730798.97566289
2008-5,140002496.69615176,8701830.859650454,8.690504557952835,123735129.24685524
2008-6,140079387.43699053,8704363.797018519,8.691147830359036,123739459.5180476
2008-7,140156278.17782927,8706896.734386582,8.691791102765238,123743789.78923996
2008-8,140233168.91866803,8709429.671754647,8.692434375171441,123748120.06043231
2008-9,140310059.6595068,8711962.609122712,8.693077647577642,123752450.33162467
2008-10,140386950.40034556,8714495.546490775,8.693720919983843,123756780.60281703
2008-11,140463841.14118433,8717028.48385884,8.694364192390045,123761110.87400937
2008-12,140540731.8820231,8719561.421226904,8.695007464796248,123765441.14520173
2009-1,140617622.62286186,8722094.358594969,8.695650737202449,123769771.41639408
2009-2,140893653.54543534,8724048.841064963,8.698587770387533,123825191.5825612
2009-3,141169684.4680088,8726003.32353496,8.701524803572616,123880611.74872832
2009-4,141445715.39058226,8727957.806004955,8.704461836757698,123936031.91489543
2009-5,141721746.31315574,8729912.28847495,8.707398869942782,123991452.08106254
2009-6,141997777.2357292,8731866.770944946,8.710335903127866,124046872.24722967
2009-7,142273808.15830266,8733821.25341494,8.713272936312949,124102292.41339678
2009-8,142549839.08087614,8735775.735884935,8.716209969498031,124157712.57956389
2009-9,142825870.0034496,8737730.218354931,8.719147002683115,124213132.74573101
2009-10,143101900.92602307,8739684.700824926,8.7220840358682,124268552.91189812
2009-11,143377931.84859654,8741639.18329492,8.725021069053282,124323973.07806523
2009-12,143653962.77117,8743593.665764917,8.727958102238365,124379393.24423236
2010-1,143929993.69374347,8745548.148234911,8.730895135423449,124434813.41039947
2010-2,144183919.94312668,8742547.02328508,8.733263255673643,124478187.60361323
2010-3,144437846.19250986,8739545.898335248,8.73563137592384,124521561.79682697
2010-4,144691772.44189307,8736544.773385417,8.737999496174034,124564935.99004073
2010-5,144945698.69127628,8733543.648435585,8.74036761642423,124608310.1832545
2010-6,145199624.94065946,8730542.523485754,8.742735736674424,124651684.37646824
2010-7,145453551.19004267,8727541.398535922,8.745103856924619,124695058.569682
2010-8,145707477.4394259,8724540.27358609,8.747471977174815,124738432.76289576
2010-9,145961403.68880907,8721539.14863626,8.74984009742501,124781806.95610951
2010-10,146215329.93819228,8718538.023686428,8.752208217675205,124825181.14932327
2010-11,146469256.1875755,8715536.898736596,8.7545763379254,124868555.34253703
2010-12,146723182.43695867,8712535.773786765,8.756944458175596,124911929.53575078
2011-1,146977108.68634188,8709534.648836933,8.75931257842579,124955303.72896454
2011-2,147215396.83460695,8705391.226737408,8.760626812957236,124997743.17936161
2011-3,147453684.98287198,8701247.804637883,8.761941047488683,125040182.6297587
2011-4,147691973.131137,8697104.382538358,8.763255282020129,125082622.08015577
2011-5,147930261.27940208,8692960.960438833,8.764569516551576,125125061.53055286
2011-6,148168549.42766714,8688817.538339308,8.765883751083022,125167500.98094994
2011-7,148406837.57593217,8684674.116239782,8.76719798561447,125209940.43134701
