Ano,Mato Grosso - Consumo de Cimento (t)
2014,1314.5215469830125
2015,1224.515882461523
2016,1215.4123960443271
2017,1279.457389512186
2018,1355.958835506557
2019,1475.8482939954854
2020,1622.4411300688246
2021,1745.4532511316231
2022,1798.169561689085
