Ano,Sergipe - Desemprego
2008,8.151229415222186
2009,8.181779736312976
2010,8.145498308214748
2011,8.132819046437152
2012,11.832645502645502
2013,12.53055382211128
2014,13.099830913217062
2015,13.60560538454487
2016,13.9295483548898
2017,13.725373935128177
2018,13.638961606267932
2019,13.518614197204899
2020,13.428524684969911
2021,13.354175629595018
2022,13.374761343013247
