Ano,Sergipe - Consumo de Cimento (t)
2008,391.414
2009,404.787
2010,480.282
2011,579.482
2012,646.0840000000001
2013,590.339
2014,633.1901428571429
2015,592.0145142857143
2016,552.6243428571429
2017,473.789
2018,372.21000000000004
2019,409.903
2020,526.396
2021,511.494
2022,425.37
