,Paraíba - PIB - Estadual,Paraíba - PIB - Construção Civil,Paraíba - PIB - Per Capita,Paraíba - PIB - Preços de Mercado
2003-1,30172923.326609813,1631333.8377681107,7.291168798323116,27363422.5763658
2003-2,30210100.315701537,1632949.8117610218,7.293438382167684,27375155.586984556
2003-3,30247277.30479326,1634565.7857539332,7.295707966012253,27386888.597603314
2003-4,30284454.29388498,1636181.7597468444,7.297977549856821,27398621.60822207
2003-5,30321631.282976706,1637797.7337397556,7.300247133701389,27410354.61884083
2003-6,30358808.27206843,1639413.7077326667,7.3025167175459575,27422087.629459586
2003-7,30395985.26116015,1641029.681725578,7.304786301390525,27433820.640078343
2003-8,30433162.250251874,1642645.6557184893,7.307055885235093,27445553.650697105
2003-9,30470339.2393436,1644261.6297114005,7.309325469079662,27457286.661315862
2003-10,30507516.228435323,1645877.6037043117,7.31159505292423,27469019.67193462
2003-11,30544693.217527047,1647493.577697223,7.313864636768798,27480752.682553377
2003-12,30581870.206618767,1649109.5516901342,7.316134220613367,27492485.693172134
2004-1,30619047.19571049,1650725.5256830454,7.318403804457935,27504218.703790892
2004-2,30655204.55929436,1651783.824037158,7.321032459007624,27516646.015200917
2004-3,30691361.92287823,1652842.1223912705,7.323661113557312,27529073.32661094
2004-4,30727519.286462102,1653900.4207453832,7.326289768107,27541500.638020966
2004-5,30763676.650045972,1654958.7190994958,7.328918422656689,27553927.94943099
2004-6,30799834.013629843,1656017.0174536083,7.331547077206378,27566355.260841016
2004-7,30835991.377213717,1657075.315807721,7.334175731756066,27578782.572251044
2004-8,30872148.740797587,1658133.6141618337,7.336804386305754,27591209.88366107
2004-9,30908306.104381457,1659191.9125159462,7.339433040855443,27603637.195071094
2004-10,30944463.467965327,1660250.2108700587,7.342061695405132,27616064.50648112
2004-11,30980620.831549197,1661308.5092241713,7.344690349954821,27628491.817891143
2004-12,31016778.195133068,1662366.807578284,7.3473190045045085,27640919.129301168
2005-1,31052935.558716938,1663425.1059323966,7.349947659054197,27653346.440711193
2005-2,31086675.589877617,1665567.0481353377,7.352321864304755,27664567.523871515
2005-3,31120415.621038295,1667708.9903382785,7.354696069555311,27675788.607031833
2005-4,31154155.652198978,1669850.9325412195,7.357070274805869,27687009.690192156
2005-5,31187895.683359656,1671992.8747441606,7.3594444800564265,27698230.773352478
2005-6,31221635.714520335,1674134.8169471016,7.361818685306984,27709451.856512796
2005-7,31255375.745681014,1676276.7591500427,7.364192890557542,27720672.93967312
2005-8,31289115.776841693,1678418.7013529835,7.366567095808098,27731894.02283344
2005-9,31322855.80800237,1680560.6435559245,7.368941301058656,27743115.10599376
2005-10,31356595.83916305,1682702.5857588656,7.371315506309213,27754336.18915408
2005-11,31390335.870323732,1684844.5279618064,7.37368971155977,27765557.272314403
2005-12,31424075.90148441,1686986.4701647474,7.3760639168103275,27776778.35547472
2006-1,31457815.93264509,1689128.4123676885,7.378438122060885,27787999.438635044
2006-2,31485842.736597497,1690481.4130939285,7.379389491446107,27793758.585510716
2006-3,31513869.540549904,1691834.4138201682,7.3803408608313275,27799517.732386388
2006-4,31541896.34450231,1693187.4145464082,7.381292230216549,27805276.87926206
2006-5,31569923.14845472,1694540.415272648,7.38224359960177,27811036.026137732
2006-6,31597949.952407125,1695893.415998888,7.383194968986992,27816795.173013404
2006-7,31625976.756359532,1697246.416725128,7.384146338372213,27822554.319889076
2006-8,31654003.560311936,1698599.4174513677,7.385097707757434,27828313.466764744
2006-9,31682030.364264343,1699952.4181776077,7.386049077142656,27834072.613640416
2006-10,31710057.16821675,1701305.4189038475,7.3870004465278765,27839831.76051609
2006-11,31738083.972169157,1702658.4196300874,7.387951815913098,27845590.90739176
2006-12,31766110.776121564,1704011.4203563272,7.388903185298319,27851350.054267433
2007-1,31794137.58007397,1705364.4210825672,7.389854554683541,27857109.201143105
2007-2,31818749.757863242,1706888.781485309,7.390699556349514,27861102.709793605
2007-3,31843361.935652513,1708413.1418880504,7.391544558015486,27865096.21844411
2007-4,31867974.113441788,1709937.502290792,7.392389559681458,27869089.72709461
2007-5,31892586.29123106,1711461.8626935338,7.393234561347431,27873083.23574511
2007-6,31917198.46902033,1712986.2230962755,7.394079563013404,27877076.744395614
2007-7,31941810.6468096,1714510.5834990172,7.394924564679377,27881070.253046114
2007-8,31966422.82459887,1716034.9439017586,7.395769566345349,27885063.761696614
2007-9,31991035.002388142,1717559.3043045003,7.396614568011322,27889057.27034712
2007-10,32015647.180177413,1719083.664707242,7.397459569677295,27893050.77899762
2007-11,32040259.357966688,1720608.0251099835,7.398304571343267,27897044.28764812
2007-12,32064871.53575596,1722132.3855127252,7.39914957300924,27901037.796298623
2008-1,32089483.71354523,1723656.745915467,7.399994574675213,27905031.304949123
2008-2,32106905.88877682,1724826.9709159008,7.399761298179544,27904618.29167031
2008-3,32124328.06400841,1725997.1959163344,7.399528021683876,27904205.278391503
2008-4,32141750.239240006,1727167.4209167683,7.399294745188207,27903792.26511269
2008-5,32159172.414471596,1728337.6459172019,7.39906146869254,27903379.251833882
2008-6,32176594.589703187,1729507.8709176357,7.398828192196871,27902966.23855507
2008-7,32194016.76493478,1730678.0959180696,7.398594915701203,27902553.22527626
2008-8,32211438.94016637,1731848.3209185032,7.398361639205534,27902140.21199745
2008-9,32228861.11539796,1733018.545918937,7.3981283627098655,27901727.198718637
2008-10,32246283.29062955,1734188.7709193707,7.397895086214198,27901314.18543983
2008-11,32263705.465861145,1735358.9959198046,7.397661809718529,27900901.172161017
2008-12,32281127.641092736,1736529.2209202382,7.397428533222861,27900488.15888221
2009-1,32298549.816324327,1737699.445920672,7.397195256727192,27900075.145603396
2009-2,32364417.46647234,1738876.7420503485,7.399761319714053,27914571.467452396
2009-3,32430285.116620354,1740054.0381800253,7.402327382700915,27929067.789301395
2009-4,32496152.766768366,1741231.3343097018,7.404893445687776,27943564.111150395
2009-5,32562020.41691638,1742408.6304393783,7.407459508674637,27958060.432999395
2009-6,32627888.067064393,1743585.9265690548,7.410025571661499,27972556.754848395
2009-7,32693755.71721241,1744763.2226987313,7.41259163464836,27987053.076697394
2009-8,32759623.36736042,1745940.518828408,7.4151576976352205,28001549.398546398
