Ano,Amazonas - Consumo de Cimento (t)
2008,769.233
2009,744.252
2010,796.116
2011,948.011
2012,994.932
2013,1036.606
2014,771.5678571428572
2015,746.8674857142857
2016,739.4576571428571
2017,687.211
2018,350.177
2019,533.444
2020,595.32
2021,610.155
2022,640.274
