Ano,População
2003,177206913.03714657
2003,177388401.60938227
2003,177569890.18161798
2003,177751378.75385368
2003,177932867.32608938
2003,178114355.8983251
2003,178295844.4705608
2003,178477333.0427965
2003,178658821.6150322
2003,178840310.1872679
2003,179021798.7595036
2003,179203287.3317393
2004,179384775.903975
2004,179558325.62127495
2004,179731875.3385749
2004,179905425.05587482
2004,180078974.77317473
2004,180252524.49047467
2004,180426074.2077746
2004,180599623.92507455
2004,180773173.6423745
2004,180946723.3596744
2004,181120273.07697433
2004,181293822.79427427
2005,181467372.5115742
2005,181632962.2895496
2005,181798552.067525
2005,181964141.84550038
2005,182129731.6234758
2005,182295321.40145117
2005,182460911.17942655
2005,182626500.95740196
2005,182792090.73537734
2005,182957680.51335275
2005,183123270.29132813
2005,183288860.06930354
2006,183454449.84727892
2006,183612058.601541
2006,183769667.35580307
2006,183927276.11006516
2006,184084884.86432725
2006,184242493.61858934
2006,184400102.37285143
2006,184557711.1271135
2006,184715319.88137558
2006,184872928.63563767
2006,185030537.38989973
2006,185188146.14416182
2007,185345754.8984239
2007,185495361.54458392
2007,185644968.19074392
2007,185794574.83690393
2007,185944181.48306394
2007,186093788.12922394
2007,186243394.77538395
2007,186393001.42154396
2007,186542608.06770396
2007,186692214.71386397
2007,186841821.36002398
2007,186991428.00618398
2008,187141034.652344
2008,187282618.10601315
2008,187424201.5596823
2008,187565785.01335144
2008,187707368.4670206
2008,187848951.92068976
2008,187990535.3743589
2008,188132118.82802805
2008,188273702.2816972
2008,188415285.73536637
2008,188556869.18903553
2008,188698452.64270467
2009,188840036.09637383
2009,188999683.00500935
2009,189159329.91364485
2009,189318976.82228038
2009,189478623.73091587
2009,189638270.6395514
2009,189797917.5481869
2009,189957564.45682243
2009,190117211.36545795
2009,190276858.27409345
2009,190436505.18272898
2009,190596152.09136447
2010,190755799.0
2010,190858600.18802968
2010,190961401.37605935
2010,191064202.56408906
2010,191167003.75211874
2010,191269804.9401484
2010,191372606.1281781
2010,191475407.31620777
2010,191578208.50423744
2010,191681009.69226712
2010,191783810.88029683
2010,191886612.0683265
2011,191989413.25635618
2011,192095145.77648595
2011,192200878.29661572
2011,192306610.81674546
2011,192412343.33687523
2011,192518075.857005
2011,192623808.37713477
2011,192729540.89726454
2011,192835273.4173943
2011,192941005.93752408
2011,193046738.45765382
2011,193152470.9777836
2012,193258203.49791336
2012,193353913.43027985
2012,193449623.36264634
2012,193545333.2950128
2012,193641043.2273793
2012,193736753.15974578
2012,193832463.09211224
2012,193928173.02447873
2012,194023882.95684522
2012,194119592.8892117
2012,194215302.8215782
2012,194311012.75394467
2013,194406722.68631116
2013,194494304.85081053
2013,194581887.01530987
2013,194669469.17980924
2013,194757051.34430858
2013,194844633.50880796
2013,194932215.6733073
2013,195019797.83780667
2013,195107380.00230604
2013,195194962.1668054
2013,195282544.33130476
2013,195370126.4958041
2014,195457708.66030347
2014,195539057.87683186
2014,195620407.09336025
2014,195701756.30988866
2014,195783105.52641705
2014,195864454.74294543
2014,195945803.95947385
2014,196027153.17600223
2014,196108502.39253062
2014,196189851.609059
2014,196271200.8255874
2014,196352550.0421158
2015,196433899.2586442
2015,196510910.34709778
2015,196587921.43555138
2015,196664932.52400494
2015,196741943.61245853
2015,196818954.70091212
2015,196895965.7893657
2015,196972976.8778193
2015,197049987.9662729
2015,197126999.05472648
2015,197204010.14318004
2015,197281021.23163363
2016,197358032.32008722
2016,197432600.10036215
2016,197507167.8806371
2016,197581735.66091204
2016,197656303.44118696
2016,197730871.2214619
2016,197805439.00173682
2016,197880006.78201178
2016,197954574.5622867
2016,198029142.34256163
2016,198103710.1228366
2016,198178277.90311152
2017,198252845.68338645
2017,198326864.97537887
2017,198400884.26737133
2017,198474903.55936378
2017,198548922.8513562
2017,198622942.14334863
2017,198696961.4353411
2017,198770980.72733355
2017,198845000.01932597
2017,198919019.3113184
2017,198993038.60331085
2017,199067057.8953033
2018,199141077.18729573
2018,199211473.5675211
2018,199281869.94774646
2018,199352266.32797182
2018,199422662.70819715
2018,199493059.0884225
2018,199563455.46864787
2018,199633851.84887323
2018,199704248.2290986
2018,199774644.60932392
2018,199845040.98954928
2018,199915437.36977464
2019,199985833.75
2019,200071297.0347222
2019,200156760.31944445
2019,200242223.6041667
2019,200327686.8888889
2019,200413150.1736111
2019,200498613.45833334
2019,200584076.74305558
2019,200669540.0277778
2019,200755003.3125
2019,200840466.59722224
2019,200925929.88194448
2020,201011393.1666667
2020,201096856.4513889
2020,201182319.73611113
2020,201267783.02083334
2020,201353246.30555558
2020,201438709.5902778
2020,201524172.875
2020,201609636.15972224
2020,201695099.44444445
2020,201780562.7291667
2020,201866026.0138889
2020,201951489.29861113
2021,202036952.58333334
2021,202122415.86805555
2021,202207879.1527778
2021,202293342.4375
2021,202378805.72222224
2021,202464269.00694445
2021,202549732.2916667
2021,202635195.5763889
2021,202720658.8611111
2021,202806122.14583334
2021,202891585.43055555
2021,202977048.7152778
2022,203062512.0
