Ano,EMBI + Risco-Brasil
2003-1,231.51074798216843
2003-2,208.71015703269057
2003-3,227.70484146326487
2003-4,278.1210725338106
2003-5,344.8276329403539
2003-6,403.3358108738256
2003-7,458.988731857359
2003-8,511.35366509461136
2003-9,553.8427506830036
2003-10,592.2047551147313
2003-11,623.3781786324848
2003-12,635.2966266455436
2004-1,608.3645349020483
2004-2,587.1238050372627
2004-3,570.3798396602158
2004-4,552.5537154986056
2004-5,543.5801122244274
2004-6,539.7928414217439
2004-7,534.2848231016592
2004-8,528.8910012164406
2004-9,523.5410270047289
2004-10,516.6823881754624
2004-11,504.27781344413654
2004-12,487.94275824591693
2005-1,467.4251775544447
2005-2,445.22731743451595
2005-3,425.5538607533432
2005-4,411.2946022042931
2005-5,400.4730769062954
2005-6,392.0132128694499
2005-7,383.1926176814535
2005-8,375.1392726452125
2005-9,368.23382599875345
2005-10,358.7241761047338
2005-11,349.8309358272843
2005-12,336.6366349826133
2006-1,320.968605621138
2006-2,305.73921061538874
2006-3,289.90661112109984
2006-4,276.25389917179274
2006-5,263.21092057760643
2006-6,253.33115971397294
2006-7,243.97109080663773
2006-8,234.61613587472166
2006-9,227.39699563073523
2006-10,222.68985059654605
2006-11,219.95090827883058
2006-12,217.7367940152106
2007-1,214.86976131135236
2007-2,210.2471208130518
2007-3,206.07527545480787
2007-4,202.60709188519417
2007-5,199.70760205242286
2007-6,196.56657159174375
2007-7,195.4713076894235
2007-8,197.1352047608322
2007-9,200.3440969182776
2007-10,203.09658677706912
2007-11,207.2025845452835
2007-12,213.4071359189383
2008-1,221.65031253411155
2008-2,232.3578277110445
2008-3,242.89215150548253
2008-4,252.40034143486488
2008-5,258.0351262596198
2008-6,263.36760075171605
2008-7,271.22400315890695
2008-8,277.14389415029365
2008-9,283.8182952324954
2008-10,295.33935864725913
2008-11,310.0969471649507
2008-12,321.9672537513736
2009-1,331.8520846216965
2009-2,341.05203172474296
2009-3,349.5767808247252
2009-4,353.6033789337442
2009-5,352.9888345157645
2009-6,345.32839376954
2009-7,326.935099739555
2009-8,306.15148915915097
2009-9,288.01476097029126
2009-10,271.2564900724893
2009-11,255.34310713889985
2009-12,240.3044626744236
2010-1,228.76182954634024
2010-2,222.79586929236658
2010-3,216.76251868751237
2010-4,210.51779783635556
2010-5,206.70608243535239
2010-6,205.42042302453103
2010-7,204.9046786897802
2010-8,203.17461667472924
2010-9,202.57258113700212
2010-10,200.82514259821528
2010-11,197.82940310653666
2010-12,196.5628622489306
2011-1,195.26229519254417
2011-2,192.02809878913612
2011-3,188.8449346761306
2011-4,186.8868295225354
2011-5,185.6702366794567
2011-6,184.61939013342774
2011-7,184.62914301662644
2011-8,185.99681092531827
2011-9,189.47431376168907
2011-10,194.88246387438537
2011-11,198.08112301122443
2011-12,201.00715145602805
2012-1,203.31866382125193
2012-2,204.8226115318083
2012-3,204.98505145334764
2012-4,204.41991953037353
2012-5,202.61621355167506
2012-6,200.09828722519805
2012-7,197.580998980994
2012-8,194.1146895688759
2012-9,190.65086194731174
2012-10,187.0842560111292
2012-11,185.0362925351064
2012-12,184.80773250297702
2013-1,184.0207113102322
2013-2,182.38400186261623
2013-3,182.2635441694569
2013-4,183.90860323956915
2013-5,186.8788079811678
2013-6,192.29989065376057
2013-7,199.92706375403165
2013-8,206.99075060494621
2013-9,214.31263913363983
2013-10,220.46814853080568
2013-11,225.53306879588595
2013-12,230.24947521523552
2014-1,235.20262204167022
2014-2,240.28702233657927
2014-3,241.82104635626183
2014-4,242.88091491313264
2014-5,243.02799413262937
2014-6,243.90460368078652
2014-7,245.95546011559142
2014-8,248.1052398411182
2014-9,250.12317926408775
2014-10,253.03515869861124
2014-11,256.9218579219731
2014-12,262.7230283266409
2015-1,270.95427807290923
2015-2,280.5523844779109
2015-3,291.4674472726707
2015-4,301.9785494967552
2015-5,310.48760381145945
2015-6,319.0419352483684
2015-7,327.69972222059255
2015-8,336.8432173726992
2015-9,345.9393290159121
2015-10,356.19830338681936
2015-11,363.3180588898181
2015-12,370.6753320957318
2016-1,382.54452796295925
2016-2,394.0024086047662
2016-3,401.2661236730724
2016-4,402.1668469742488
2016-5,399.85033032678535
2016-6,393.5095127653645
2016-7,384.6299964028089
2016-8,374.02317209810013
2016-9,357.8867409537925
2016-10,341.63177653475714
2016-11,326.9734003768556
2016-12,318.270666236674
2017-1,310.5255902176114
2017-2,302.20879774745333
2017-3,294.5570417235589
2017-4,289.16499067525854
2017-5,285.1166009403658
2017-6,281.4051665918031
2017-7,278.41861216307575
2017-8,273.65548150898854
2017-9,269.1317365216349
2017-10,265.8639578768808
2017-11,263.74104137673993
2017-12,262.0303069697644
2018-1,260.5342595002991
2018-2,259.032492011999
2018-3,257.24728226857326
2018-4,256.48358934037594
2018-5,256.5975200727647
2018-6,259.9138036207247
2018-7,264.5673977783114
2018-8,267.07747396933985
2018-9,271.85858148092836
2018-10,274.51283304792724
2018-11,274.9274765390835
2018-12,275.2862133078289
2019-1,275.07734071557917
2019-2,272.34344383498
2019-3,267.36652869554604
2019-4,264.7869950885037
2019-5,261.54480006258126
