data,Mato_Grosso - PIB - Per Capita,Mato_Grosso - PIB - Preços de Mercado,Mato_Grosso - PIB - Estadual,Mato_Grosso - PIB - Construção Civil,Mato_Grosso - População,Mato_Grosso - INCC (%),Mato_Grosso - IPCA - Variação mensal durante o Plano Real (%),Mato_Grosso - IGP-DI,Mato_Grosso - Taxa Selic (%),Mato_Grosso - IDH - Longevidade,Mato_Grosso - IDH - Renda,Mato_Grosso - IDH - Educação,Mato_Grosso - NFSP - Fluxo Mensal (Milhões de reais),Mato_Grosso - Estoque liquido de capital fixo - (R$),Mato_Grosso - Desemprego,Mato_Grosso - Produção de Cimento (t),Mato_Grosso - Valor,Mato_Grosso - Consumo de Cimento (t)
2005-03-01,3770803.2181750746,2440143.86726845,1.3716276217416663,2202455.05111894,2749145.0,0.44,1.17,0.4,0.06729072222,0.74,0.689,0.426,1.49,6344077.42160595,6.2828480898,54318.0,0.29,57277.0
2005-04-01,3770803.2181750746,2440143.86726845,1.3716276217416663,2202455.05111894,2749145.0,0.67,1.79,0.99,0.068961,0.74,0.689,0.426,1.37,6344077.42160595,6.2828480898,116758.0,0.26,61881.0
2005-05-01,3770803.2181750746,2440143.86726845,1.3716276217416663,2202455.05111894,2749145.0,0.72,2.68,0.51,0.07010755,0.74,0.689,0.426,1.37,6344077.42160595,6.2828480898,111765.0,0.25,65040.0
2005-06-01,3770803.2181750746,2440143.86726845,1.3716276217416663,2202455.05111894,2749145.0,2.09,3.18,-0.25,0.07106719048,0.74,0.689,0.426,1.18,6344077.42160595,6.2828480898,46619.0,0.25,68127.0
2005-07-01,3770803.2181750746,2440143.86726845,1.3716276217416663,2202455.05111894,2749145.0,0.76,3.16,-0.45,0.071533,0.74,0.689,0.426,0.95,6344077.42160595,6.2828480898,702811.0,0.24,60123.0
2005-08-01,3770803.2181750746,2440143.86726845,1.3716276217416663,2202455.05111894,2749145.0,0.11,3.42,-0.4,0.07145590476,0.74,0.689,0.426,0.76,6344077.42160595,6.2828480898,141327.0,0.24,77077.0
2005-09-01,3770803.2181750746,2440143.86726845,1.3716276217416663,2202455.05111894,2749145.0,0.02,3.59,-0.79,0.07154213043,0.74,0.689,0.426,0.55,6344077.42160595,6.2828480898,51832.0,0.24,65579.0
2005-10-01,3770803.2181750746,2440143.86726845,1.3716276217416663,2202455.05111894,2749145.0,0.24,3.95,-0.13,0.07107052381,0.74,0.689,0.426,0.29,6344077.42160595,6.2828480898,28778.0,0.23,63093.0
2005-11-01,3770803.2181750746,2440143.86726845,1.3716276217416663,2202455.05111894,2749145.0,0.19,4.73,0.63,0.0698922,0.74,0.689,0.426,0.25,6344077.42160595,6.2828480898,-1.0,0.23,64380.0
2005-12-01,3770803.2181750746,2440143.86726845,1.3716276217416663,2202455.05111894,2749145.0,0.28,5.31,0.33,0.0686031,0.74,0.689,0.426,0.24,6344077.42160595,6.2828480898,17657.0,0.24,49713.0
