data,São_Paulo - PIB - Per Capita,São_Paulo - PIB - Preços de Mercado,São_Paulo - PIB - Estadual,São_Paulo - PIB - Construção Civil,São_Paulo - População,São_Paulo - INCC (%),São_Paulo - IPCA - Variação mensal durante o Plano Real (%),São_Paulo - IGP-DI,São_Paulo - Taxa Selic (%),São_Paulo - IDH - Longevidade,São_Paulo - IDH - Renda,São_Paulo - IDH - Educação,São_Paulo - NFSP - Fluxo Mensal (Milhões de reais),São_Paulo - Estoque liquido de capital fixo - (R$),São_Paulo - Desemprego,São_Paulo - Produção de Cimento (t),São_Paulo - Valor,São_Paulo - Consumo de Cimento (t)
2003-01-01,68197896.41244374,35898432.76930633,1.7863260853,51114718.3534892,38177742.0,1.7,12.53,2.7,0.08229309524,0.786,0.756,0.581,3.46,6098524.41582601,11.8193510303,-1.0,0.33,782111.0
2003-02-01,68197896.41244374,35898432.76930633,1.7863260853,51114718.3534892,38177742.0,1.51,2.25,2.17,0.08877068182,0.786,0.756,0.581,3.59,6172460.00795063,11.8193510303,-1.0,0.35,789891.0
2003-03-01,68197896.41244374,35898432.76930633,1.7863260853,51114718.3534892,38177742.0,1.39,3.86,1.59,0.09073265,0.786,0.756,0.581,3.84,6172460.00795063,11.8193510303,39371.0,0.35,774309.0
2003-04-01,68197896.41244374,35898432.76930633,1.7863260853,51114718.3534892,38177742.0,1.38,5.13,1.66,0.092749,0.786,0.756,0.581,3.95,6172460.00795063,11.8193510303,129339.0,0.35,782071.0
2003-05-01,68197896.41244374,35898432.76930633,1.7863260853,51114718.3534892,38177742.0,0.9,6.15,0.41,0.0927578,0.786,0.756,0.581,4.06,6172460.00795063,11.8193510303,52461.0,0.35,841400.0
2003-06-01,68197896.41244374,35898432.76930633,1.7863260853,51114718.3534892,38177742.0,2.84,6.8,-0.67,0.09272338095,0.786,0.756,0.581,3.94,6172460.00795063,11.8193510303,51606.0,0.36,757875.0
2003-07-01,68197896.41244374,35898432.76930633,1.7863260853,51114718.3534892,38177742.0,1.05,6.64,-0.7,0.092025,0.786,0.756,0.581,3.6,6172460.00795063,11.8193510303,349634.0,0.36,857128.0
2003-08-01,68197896.41244374,35898432.76930633,1.7863260853,51114718.3534892,38177742.0,0.99,6.85,-0.2,0.08972826087,0.786,0.756,0.581,3.23,6172460.00795063,11.8193510303,47873.0,0.36,785016.0
2003-09-01,68197896.41244374,35898432.76930633,1.7863260853,51114718.3534892,38177742.0,1.44,7.22,0.62,0.083783,0.786,0.756,0.581,3.17,6172460.00795063,11.8193510303,30566.0,0.35,827220.0
2003-10-01,68197896.41244374,35898432.76930633,1.7863260853,51114718.3534892,38177742.0,0.22,8.05,1.05,0.07573604545,0.786,0.756,0.581,2.7,6172460.00795063,11.8193510303,137995.0,0.36,853721.0
