data,Roraima - PIB - Per Capita,Roraima - PIB - Preços de Mercado,Roraima - PIB - Estadual,Roraima - PIB - Construção Civil,Roraima - População,Roraima - INCC (%),Roraima - IPCA - Variação mensal durante o Plano Real (%),Roraima - IGP-DI,Roraima - Taxa Selic (%),Roraima - IDH - Longevidade,Roraima - IDH - Renda,Roraima - IDH - Educação,Roraima - NFSP - Fluxo Mensal (Milhões de reais),Roraima - Estoque liquido de capital fixo - (R$),Roraima - Desemprego,Roraima - Produção de Cimento (t),Roraima - Valor,Roraima - Consumo de Cimento (t)
2003-11-01,351084.6116441433,184806.1009275592,1.0121474889666666,411797.185612158,346871.0,0.65,8.37,0.44,0.07083917391,0.717,0.652,0.457,2.65,6172460.00795063,5.8989895206,-1.0,-1.0,5236.0
2003-12-01,351084.6116441433,184806.1009275592,1.0121474889666666,411797.185612158,346871.0,1.04,8.74,0.48,0.0667516,0.717,0.652,0.457,2.36,6172460.00795063,5.8989895206,113469.0,-1.0,5516.0
2004-01-01,333924.715618615,200541.63130332492,0.9345727581083332,180024.161525789,357302.0,0.16,9.3,0.6,0.062015,0.717,0.652,0.457,1.57,6172460.00795063,11.9182263085,-1.0,-1.0,5752.5
2004-02-01,333924.715618615,200541.63130332492,0.9345727581083332,180024.161525789,357302.0,0.33,0.76,0.8,0.0599982381,0.717,0.652,0.457,1.43,6261937.06181048,11.9182263085,38185.0,-1.0,5006.0
2004-03-01,333924.715618615,200541.63130332492,0.9345727581083332,180024.161525789,357302.0,1.0,1.37,1.08,0.05993777778,0.717,0.652,0.457,1.27,6261937.06181048,11.9182263085,38285.0,-1.0,5470.0
2004-04-01,333924.715618615,200541.63130332492,0.9345727581083332,180024.161525789,357302.0,1.16,1.85,0.93,0.05956991304,0.717,0.652,0.457,1.24,6261937.06181048,11.9182263085,143300.0,-1.0,1513.313
2004-05-01,333924.715618615,200541.63130332492,0.9345727581083332,180024.161525789,357302.0,0.59,2.23,1.15,0.0587633,0.717,0.652,0.457,1.21,6261937.06181048,11.9182263085,68903.0,-1.0,3705.915
2004-06-01,333924.715618615,200541.63130332492,0.9345727581083332,180024.161525789,357302.0,1.83,2.75,1.46,0.0581277619,0.717,0.652,0.457,1.35,6261937.06181048,11.9182263085,61562.0,-1.0,2891.75
2004-07-01,333924.715618615,200541.63130332492,0.9345727581083332,180024.161525789,357302.0,0.7,3.48,1.29,0.05822585714,0.717,0.652,0.457,1.59,6261937.06181048,11.9182263085,315769.0,-1.0,2796.75
2004-08-01,333924.715618615,200541.63130332492,0.9345727581083332,180024.161525789,357302.0,1.12,4.42,1.14,0.05813868182,0.717,0.652,0.457,1.72,6261937.06181048,11.9182263085,44820.0,-1.0,3319.963
2004-09-01,333924.715618615,200541.63130332492,0.9345727581083332,180024.161525789,357302.0,0.81,5.14,1.31,0.05843936364,0.717,0.652,0.457,1.83,6261937.06181048,11.9182263085,26294.0,-1.0,2351.0
2004-10-01,333924.715618615,200541.63130332492,0.9345727581083332,180024.161525789,357302.0,0.58,5.49,0.48,0.05923480952,0.717,0.652,0.457,1.87,6261937.06181048,11.9182263085,28658.0,-1.0,2124.75
2004-11-01,333924.715618615,200541.63130332492,0.9345727581083332,180024.161525789,357302.0,1.19,5.95,0.53,0.06031435,0.717,0.652,0.457,1.76,6261937.06181048,11.9182263085,-1.0,-1.0,1654.0
2004-12-01,333924.715618615,200541.63130332492,0.9345727581083332,180024.161525789,357302.0,0.71,6.68,0.82,0.0621806,0.717,0.652,0.457,1.71,6261937.06181048,11.9182263085,137717.0,-1.0,3188.0
2005-01-01,337048.41095905163,218109.13096980416,0.8825659628750001,208022.656947671,381896.0,0.51,7.6,0.52,0.06401773913,0.717,0.652,0.457,1.74,6261937.06181048,10.6696605255,-1.0,-1.0,2928.0
2005-02-01,337048.41095905163,218109.13096980416,0.8825659628750001,208022.656947671,381896.0,0.75,0.58,0.33,0.0654687619,0.717,0.652,0.457,1.57,6344077.42160595,10.6696605255,40794.0,-1.0,2118.0
2005-03-01,337048.41095905163,218109.13096980416,0.8825659628750001,208022.656947671,381896.0,0.44,1.17,0.4,0.06729072222,0.717,0.652,0.457,1.49,6344077.42160595,10.6696605255,47275.0,-1.0,2876.0
2005-04-01,337048.41095905163,218109.13096980416,0.8825659628750001,208022.656947671,381896.0,0.67,1.79,0.99,0.068961,0.717,0.652,0.457,1.37,6344077.42160595,10.6696605255,173172.0,-1.0,3091.0
2005-05-01,337048.41095905163,218109.13096980416,0.8825659628750001,208022.656947671,381896.0,0.72,2.68,0.51,0.07010755,0.717,0.652,0.457,1.37,6344077.42160595,10.6696605255,70806.0,-1.0,2684.0
2005-06-01,337048.41095905163,218109.13096980416,0.8825659628750001,208022.656947671,381896.0,2.09,3.18,-0.25,0.07106719048,0.717,0.652,0.457,1.18,6344077.42160595,10.6696605255,59012.0,-1.0,1466.0
2005-07-01,337048.41095905163,218109.13096980416,0.8825659628750001,208022.656947671,381896.0,0.76,3.16,-0.45,0.071533,0.717,0.652,0.457,0.95,6344077.42160595,10.6696605255,313931.0,-1.0,3161.0
2005-08-01,337048.41095905163,218109.13096980416,0.8825659628750001,208022.656947671,381896.0,0.11,3.42,-0.4,0.07145590476,0.717,0.652,0.457,0.76,6344077.42160595,10.6696605255,47976.0,-1.0,2107.0
2005-09-01,337048.41095905163,218109.13096980416,0.8825659628750001,208022.656947671,381896.0,0.02,3.59,-0.79,0.07154213043,0.717,0.652,0.457,0.55,6344077.42160595,10.6696605255,37768.0,-1.0,2674.0
2005-10-01,337048.41095905163,218109.13096980416,0.8825659628750001,208022.656947671,381896.0,0.24,3.95,-0.13,0.07107052381,0.717,0.652,0.457,0.29,6344077.42160595,10.6696605255,32312.0,-1.0,2351.0
2005-11-01,337048.41095905163,218109.13096980416,0.8825659628750001,208022.656947671,381896.0,0.19,4.73,0.63,0.0698922,0.717,0.652,0.457,0.25,6344077.42160595,10.6696605255,-1.0,-1.0,2327.0
2005-12-01,337048.41095905163,218109.13096980416,0.8825659628750001,208022.656947671,381896.0,0.28,5.31,0.33,0.0686031,0.717,0.652,0.457,0.24,6344077.42160595,10.6696605255,179087.0,-1.0,2396.0
2006-01-01,353502.5504277992,245756.28974828168,0.9033661978083334,221349.49040279,391317.0,0.37,5.69,0.07,0.06651395455,0.717,0.652,0.457,0.25,6344077.42160595,16.8945127554,-1.0,-1.0,3458.0
2006-02-01,353502.5504277992,245756.28974828168,0.9033661978083334,221349.49040279,391317.0,0.34,0.59,0.72,0.06452986364,0.717,0.652,0.457,0.27,6428173.06422105,16.8945127554,50675.0,-1.0,3467.0
2006-03-01,353502.5504277992,245756.28974828168,0.9033661978083334,221349.49040279,391317.0,0.19,1.0,-0.06,0.06327316667,0.717,0.652,0.457,0.37,6428173.06422105,16.8945127554,44960.0,-1.0,4437.0
2006-04-01,353502.5504277992,245756.28974828168,0.9033661978083334,221349.49040279,391317.0,0.2,1.44,-0.45,0.06142243478,0.717,0.652,0.457,0.29,6428173.06422105,16.8945127554,186422.0,-1.0,2394.0
2006-05-01,353502.5504277992,245756.28974828168,0.9033661978083334,221349.49040279,391317.0,0.36,1.65,0.02,0.05957944444,0.717,0.652,0.457,0.12,6428173.06422105,16.8945127554,71143.0,-1.0,2040.0
2006-06-01,353502.5504277992,245756.28974828168,0.9033661978083334,221349.49040279,391317.0,1.32,1.75,0.38,0.05789063636,0.717,0.652,0.457,0.13,6428173.06422105,16.8945127554,64142.0,-1.0,2291.0
2006-07-01,353502.5504277992,245756.28974828168,0.9033661978083334,221349.49040279,391317.0,0.9,1.54,0.67,0.05608404762,0.717,0.652,0.457,0.21,6428173.06422105,16.8945127554,322597.0,-1.0,2365.0
2006-08-01,353502.5504277992,245756.28974828168,0.9033661978083334,221349.49040279,391317.0,0.47,1.73,0.17,0.05540461905,0.717,0.652,0.457,0.33,6428173.06422105,16.8945127554,60306.0,-1.0,3013.0
2006-09-01,353502.5504277992,245756.28974828168,0.9033661978083334,221349.49040279,391317.0,0.24,1.78,0.41,0.05429469565,0.717,0.652,0.457,0.44,6428173.06422105,16.8945127554,19381.0,-1.0,1843.0
2006-10-01,353502.5504277992,245756.28974828168,0.9033661978083334,221349.49040279,391317.0,0.11,2.0,0.24,0.0526018,0.717,0.652,0.457,0.6,6428173.06422105,16.8945127554,32883.0,-1.0,3350.0
2006-11-01,353502.5504277992,245756.28974828168,0.9033661978083334,221349.49040279,391317.0,0.21,2.33,0.81,0.05183728571,0.717,0.652,0.457,0.57,6428173.06422105,16.8945127554,-1.0,-1.0,2334.0
2006-12-01,353502.5504277992,245756.28974828168,0.9033661978083334,221349.49040279,391317.0,0.23,2.65,0.57,0.0507845,0.717,0.652,0.457,0.59,6428173.06422105,16.8945127554,172605.0,-1.0,3251.0
2007-01-01,394172.5465791025,292593.7810013233,0.9772614606333332,458313.914943847,403344.0,0.36,3.14,0.26,0.049164,0.717,0.652,0.457,0.69,6428173.06422105,9.9083430661,-1.0,-1.0,2530.0
2007-02-01,394172.5465791025,292593.7810013233,0.9772614606333332,458313.914943847,403344.0,0.45,0.44,0.43,0.04896572727,0.717,0.652,0.457,0.68,6529451.68540568,9.9083430661,41527.0,-1.0,2885.0
2007-03-01,394172.5465791025,292593.7810013233,0.9772614606333332,458313.914943847,403344.0,0.21,0.88,0.23,0.04827277778,0.717,0.652,0.457,0.6,6529451.68540568,9.9083430661,55096.0,-1.0,3519.0
2007-04-01,394172.5465791025,292593.7810013233,0.9772614606333332,458313.914943847,403344.0,0.27,1.26,0.22,0.04758977273,0.717,0.652,0.457,0.57,6529451.68540568,9.9083430661,226183.0,-1.0,2635.0
2007-05-01,394172.5465791025,292593.7810013233,0.9772614606333332,458313.914943847,403344.0,0.46,1.51,0.14,0.04703045,0.717,0.652,0.457,0.54,6529451.68540568,9.9083430661,75099.0,-1.0,2555.0
2007-06-01,394172.5465791025,292593.7810013233,0.9772614606333332,458313.914943847,403344.0,1.15,1.79,0.16,0.046503,0.717,0.652,0.457,0.48,6529451.68540568,9.9083430661,80893.0,-1.0,3210.0
2007-07-01,394172.5465791025,292593.7810013233,0.9772614606333332,458313.914943847,403344.0,0.92,2.08,0.26,0.0450878,0.717,0.652,0.457,0.39,6529451.68540568,9.9083430661,336286.0,-1.0,3001.0
2007-08-01,394172.5465791025,292593.7810013233,0.9772614606333332,458313.914943847,403344.0,0.31,2.32,0.37,0.04400663636,0.717,0.652,0.457,0.3,6529451.68540568,9.9083430661,66019.0,-1.0,3026.0
2007-09-01,394172.5465791025,292593.7810013233,0.9772614606333332,458313.914943847,403344.0,0.26,2.8,1.39,0.04295447826,0.717,0.652,0.457,0.28,6529451.68540568,9.9083430661,39225.0,-1.0,2157.0
2007-10-01,394172.5465791025,292593.7810013233,0.9772614606333332,458313.914943847,403344.0,0.51,2.99,1.17,0.04220568421,0.717,0.652,0.457,0.4,6529451.68540568,9.9083430661,48348.0,-1.0,3655.0
2007-11-01,394172.5465791025,292593.7810013233,0.9772614606333332,458313.914943847,403344.0,0.51,3.3,0.75,0.04206336364,0.717,0.652,0.457,0.5,6529451.68540568,9.9083430661,-1.0,-1.0,2908.0
2007-12-01,394172.5465791025,292593.7810013233,0.9772614606333332,458313.914943847,403344.0,0.36,3.69,1.05,0.042065,0.717,0.652,0.457,0.52,6529451.68540568,9.9083430661,216239.0,-1.0,3850.0
2008-01-01,405924.6666922,320719.30473600584,0.9453123059916666,234392.87236475,395725.0,0.59,4.46,1.47,0.042065,0.717,0.652,0.457,0.47,6529451.68540568,12.0740987819,-1.0,-1.0,5564.0
2008-02-01,405924.6666922,320719.30473600584,0.9453123059916666,234392.87236475,395725.0,0.38,0.54,0.99,0.04205845455,0.717,0.652,0.457,0.63,6647965.94362564,12.0740987819,44520.0,-1.0,4858.0
2008-03-01,405924.6666922,320719.30473600584,0.9453123059916666,234392.87236475,395725.0,0.4,1.03,0.38,0.04206310526,0.717,0.652,0.457,0.65,6647965.94362564,12.0740987819,63337.0,-1.0,4369.0
2008-04-01,405924.6666922,320719.30473600584,0.9453123059916666,234392.87236475,395725.0,0.66,1.52,0.7,0.0420614,0.717,0.652,0.457,0.7,6647965.94362564,12.0740987819,235175.0,-1.0,5565.0
2008-05-01,405924.6666922,320719.30473600584,0.9453123059916666,234392.87236475,395725.0,0.87,2.08,1.12,0.04274185714,0.717,0.652,0.457,0.83,6647965.94362564,12.0740987819,111212.0,-1.0,4825.0
2008-06-01,405924.6666922,320719.30473600584,0.9453123059916666,234392.87236475,395725.0,2.02,2.88,1.88,0.0436576,0.717,0.652,0.457,0.93,6647965.94362564,12.0740987819,73496.0,-1.0,3693.0
2008-07-01,405924.6666922,320719.30473600584,0.9453123059916666,234392.87236475,395725.0,1.92,3.64,1.89,0.04529861905,0.717,0.652,0.457,1.14,6647965.94362564,12.0740987819,406539.0,-1.0,3922.0
2008-08-01,405924.6666922,320719.30473600584,0.9453123059916666,234392.87236475,395725.0,1.46,4.19,1.12,0.04627117391,0.717,0.652,0.457,1.33,6647965.94362564,12.0740987819,88859.0,-1.0,4293.0
2008-09-01,405924.6666922,320719.30473600584,0.9453123059916666,234392.87236475,395725.0,1.18,4.48,-0.38,0.04822657143,0.717,0.652,0.457,1.42,6647965.94362564,12.0740987819,48774.0,-1.0,3131.0
2008-10-01,405924.6666922,320719.30473600584,0.9453123059916666,234392.87236475,395725.0,0.95,4.76,0.36,0.04987840909,0.717,0.652,0.457,1.23,6647965.94362564,12.0740987819,37038.0,-1.0,4837.0
2008-11-01,405924.6666922,320719.30473600584,0.9453123059916666,234392.87236475,395725.0,0.77,5.23,1.09,0.05083973913,0.717,0.652,0.457,1.22,6647965.94362564,12.0740987819,-1.0,-1.0,6646.0
2008-12-01,405924.6666922,320719.30473600584,0.9453123059916666,234392.87236475,395725.0,0.5,5.61,0.07,0.050753,0.717,0.652,0.457,1.24,6647965.94362564,12.0740987819,223356.0,-1.0,8306.0
2009-01-01,429973.7808028892,369542.93950088834,1.0416460484166663,248366.942838379,412783.0,0.17,5.9,-0.44,0.050823,0.717,0.652,0.457,1.13,6647965.94362564,7.3503769585,-1.0,-1.0,3789.0
2009-02-01,429973.7808028892,369542.93950088834,1.0416460484166663,248366.942838379,412783.0,0.33,0.48,0.01,0.04964833333,0.717,0.652,0.457,0.95,6773699.30541316,7.3503769585,49644.0,-1.0,4322.0
2009-03-01,429973.7808028892,369542.93950088834,1.0416460484166663,248366.942838379,412783.0,0.27,1.03,-0.13,0.047314,0.717,0.652,0.457,0.87,6773699.30541316,7.3503769585,79237.0,-1.0,6586.0
2009-04-01,429973.7808028892,369542.93950088834,1.0416460484166663,248366.942838379,412783.0,-0.25,1.23,-0.84,0.04392790909,0.717,0.652,0.457,0.82,6773699.30541316,7.3503769585,163020.0,-1.0,3765.0
2009-05-01,429973.7808028892,369542.93950088834,1.0416460484166663,248366.942838379,412783.0,-0.04,1.72,0.04,0.04181185,0.717,0.652,0.457,0.67,6773699.30541316,7.3503769585,117879.0,-1.0,3991.0
2009-06-01,429973.7808028892,369542.93950088834,1.0416460484166663,248366.942838379,412783.0,1.39,2.2,0.18,0.0384042,0.717,0.652,0.457,0.55,6773699.30541316,7.3503769585,82609.0,-1.0,3566.0
2009-07-01,429973.7808028892,369542.93950088834,1.0416460484166663,248366.942838379,412783.0,0.7,2.57,-0.32,0.03616333333,0.717,0.652,0.457,0.38,6773699.30541316,7.3503769585,392345.0,-1.0,7338.0
2009-08-01,429973.7808028892,369542.93950088834,1.0416460484166663,248366.942838379,412783.0,0.26,2.81,-0.64,0.03422486957,0.717,0.652,0.457,0.19,6773699.30541316,7.3503769585,72388.0,-1.0,6946.0
2009-09-01,429973.7808028892,369542.93950088834,1.0416460484166663,248366.942838379,412783.0,-0.05,2.97,0.09,0.032927,0.717,0.652,0.457,0.02,6773699.30541316,7.3503769585,54249.0,-1.0,4990.0
2009-10-01,429973.7808028892,369542.93950088834,1.0416460484166663,248366.942838379,412783.0,0.15,3.21,0.25,0.032927,0.717,0.652,0.457,0.04,6773699.30541316,7.3503769585,42779.0,-1.0,6286.0
2009-11-01,429973.7808028892,369542.93950088834,1.0416460484166663,248366.942838379,412783.0,0.06,3.5,-0.04,0.032927,0.717,0.652,0.457,0.0,6773699.30541316,7.3503769585,-1.0,-1.0,6073.0
2009-12-01,429973.7808028892,369542.93950088834,1.0416460484166663,248366.942838379,412783.0,0.29,3.93,0.07,0.032927,0.717,0.652,0.457,-0.07,6773699.30541316,7.3503769585,182891.0,-1.0,5412.0
2010-01-01,470168.155350545,433641.0984631283,1.1154668346833334,364455.188278809,421499.0,0.1,4.31,-0.11,0.03292531818,0.717,0.652,0.457,-0.06,6773699.30541316,11.3186737437,22833.0,-1.0,7224.0
2010-02-01,470168.155350545,433641.0984631283,1.1154668346833334,364455.188278809,421499.0,0.64,0.75,1.01,0.03292515,0.717,0.652,0.457,-0.02,6930862.75002851,11.3186737437,66023.0,-1.0,7534.0
2010-03-01,470168.155350545,433641.0984631283,1.1154668346833334,364455.188278809,421499.0,0.36,1.54,1.09,0.032927,0.717,0.652,0.457,0.08,6930862.75002851,11.3186737437,95904.0,-1.0,7626.0
2010-04-01,470168.155350545,433641.0984631283,1.1154668346833334,364455.188278809,421499.0,0.75,2.06,0.63,0.032927,0.717,0.652,0.457,0.18,6930862.75002851,11.3186737437,237423.0,-1.0,6218.0
2010-05-01,470168.155350545,433641.0984631283,1.1154668346833334,364455.188278809,421499.0,0.84,2.65,0.72,0.0331908,0.717,0.652,0.457,0.29,6930862.75002851,11.3186737437,114215.0,-1.0,6211.0
2010-06-01,470168.155350545,433641.0984631283,1.1154668346833334,364455.188278809,421499.0,1.81,3.09,1.57,0.03565185714,0.717,0.652,0.457,0.43,6930862.75002851,11.3186737437,86469.0,-1.0,6338.0
2010-07-01,470168.155350545,433641.0984631283,1.1154668346833334,364455.188278809,421499.0,1.09,3.09,0.34,0.0376,0.717,0.652,0.457,0.6,6930862.75002851,11.3186737437,404884.0,-1.0,7085.0
2010-08-01,470168.155350545,433641.0984631283,1.1154668346833334,364455.188278809,421499.0,0.44,3.1,0.22,0.03897777273,0.717,0.652,0.457,0.67,6930862.75002851,11.3186737437,90577.0,-1.0,7315.0
2010-09-01,470168.155350545,433641.0984631283,1.1154668346833334,364455.188278809,421499.0,0.14,3.14,1.1,0.040203,0.717,0.652,0.457,0.74,6930862.75002851,11.3186737437,61764.0,-1.0,6640.0
2010-10-01,470168.155350545,433641.0984631283,1.1154668346833334,364455.188278809,421499.0,0.21,3.6,1.1,0.040203,0.717,0.652,0.457,0.85,6930862.75002851,11.3186737437,39004.0,-1.0,6459.0
2010-11-01,470168.155350545,433641.0984631283,1.1154668346833334,364455.188278809,421499.0,0.2,4.38,1.03,0.040203,0.717,0.652,0.457,0.93,6930862.75002851,11.3186737437,-1.0,-1.0,8807.0
2010-12-01,470168.155350545,433641.0984631283,1.1154668346833334,364455.188278809,421499.0,0.37,5.25,1.58,0.040203,0.717,0.652,0.457,0.99,6930862.75002851,11.3186737437,226448.0,-1.0,8951.0
2011-01-01,505610.5973012408,505610.5973012408,1.0975334176333331,537835.04221723,450479.0,0.67,5.91,0.38,0.04020769565,0.809,0.695,0.628,1.23,6930862.75002851,11.3186737437,44544.0,-1.0,11753.0
2011-02-01,505610.5973012408,505610.5973012408,1.0975334176333331,537835.04221723,450479.0,0.41,0.83,0.98,0.04089519048,0.809,0.695,0.628,1.22,7102235.53510611,11.3186737437,61657.0,-1.0,10452.0
2011-03-01,505610.5973012408,505610.5973012408,1.0975334176333331,537835.04221723,450479.0,0.28,1.64,0.96,0.0420272,0.809,0.695,0.628,1.18,7102235.53510611,11.3186737437,106902.0,-1.0,10200.0
2011-04-01,505610.5973012408,505610.5973012408,1.0975334176333331,537835.04221723,450479.0,0.43,2.44,0.61,0.04364038095,0.809,0.695,0.628,1.15,7102235.53510611,11.3186737437,266192.0,-1.0,8940.0
2011-05-01,505610.5973012408,505610.5973012408,1.0975334176333331,537835.04221723,450479.0,1.06,3.23,0.5,0.04404368421,0.809,0.695,0.628,1.17,7102235.53510611,11.3186737437,144727.0,-1.0,7316.0
2011-06-01,505610.5973012408,505610.5973012408,1.0975334176333331,537835.04221723,450479.0,2.94,3.71,0.01,0.044698,0.809,0.695,0.628,1.11,7102235.53510611,11.3186737437,108545.0,-1.0,6204.0
2011-07-01,505610.5973012408,505610.5973012408,1.0975334176333331,537835.04221723,450479.0,0.37,3.87,-0.13,0.04533085714,0.809,0.695,0.628,0.91,7102235.53510611,11.3186737437,447253.0,-1.0,8290.0
2011-08-01,505610.5973012408,505610.5973012408,1.0975334176333331,537835.04221723,450479.0,0.45,4.04,-0.05,0.04587866667,0.809,0.695,0.628,0.84,7102235.53510611,11.3186737437,108106.0,-1.0,7870.0
2011-09-01,505610.5973012408,505610.5973012408,1.0975334176333331,537835.04221723,450479.0,0.13,4.42,0.61,0.04646017391,0.809,0.695,0.628,0.78,7102235.53510611,11.3186737437,57050.0,-1.0,6693.0
2011-10-01,505610.5973012408,505610.5973012408,1.0975334176333331,537835.04221723,450479.0,0.14,4.97,0.75,0.04464585714,0.809,0.695,0.628,0.73,7102235.53510611,11.3186737437,69766.0,-1.0,6684.0
2011-11-01,505610.5973012408,505610.5973012408,1.0975334176333331,537835.04221723,450479.0,0.23,5.43,0.4,0.04391405,0.809,0.695,0.628,0.7,7102235.53510611,11.3186737437,-1.0,-1.0,8833.0
2011-12-01,505610.5973012408,505610.5973012408,1.0975334176333331,537835.04221723,450479.0,0.72,5.97,0.43,0.042849,0.809,0.695,0.628,0.64,7102235.53510611,11.3186737437,269551.0,-1.0,9774.0
2012-01-01,517150.7321395167,560170.392702845,1.1238376063833333,482179.246753831,460165.0,0.11,6.5,-0.16,0.04106463636,0.809,0.695,0.628,0.46,7102235.53510611,9.7683214637,52814.0,-1.0,9914.0
2012-02-01,517150.7321395167,560170.392702845,1.1238376063833333,482179.246753831,460165.0,0.89,0.56,0.3,0.0403295,0.809,0.695,0.628,0.38,7283723.05855449,9.7683214637,53781.0,-1.0,9563.0
2012-03-01,517150.7321395167,560170.392702845,1.1238376063833333,482179.246753831,460165.0,0.3,1.01,0.07,0.03927,0.809,0.695,0.628,0.3,7283723.05855449,9.7683214637,111368.0,-1.0,9217.0
2012-04-01,517150.7321395167,560170.392702845,1.1238376063833333,482179.246753831,460165.0,0.51,1.22,0.56,0.037179,0.809,0.695,0.628,0.26,7283723.05855449,9.7683214637,304596.0,-1.0,8291.0
2012-05-01,517150.7321395167,560170.392702845,1.1238376063833333,482179.246753831,460165.0,0.75,1.87,1.02,0.035474,0.809,0.695,0.628,0.25,7283723.05855449,9.7683214637,151186.0,-1.0,9572.0
2012-06-01,517150.7321395167,560170.392702845,1.1238376063833333,482179.246753831,460165.0,1.88,2.24,0.91,0.03373136364,0.809,0.695,0.628,0.35,7283723.05855449,9.7683214637,95711.0,-1.0,7885.0
2012-07-01,517150.7321395167,560170.392702845,1.1238376063833333,482179.246753831,460165.0,0.73,2.32,0.69,0.0319778,0.809,0.695,0.628,0.51,7283723.05855449,9.7683214637,426810.0,-1.0,7461.0
2012-08-01,517150.7321395167,560170.392702845,1.1238376063833333,482179.246753831,460165.0,0.67,2.76,1.52,0.03080763636,0.809,0.695,0.628,0.61,7283723.05855449,9.7683214637,122665.0,-1.0,9928.0
2012-09-01,517150.7321395167,560170.392702845,1.1238376063833333,482179.246753831,460165.0,0.26,3.18,1.29,0.02997965217,0.809,0.695,0.628,0.79,7283723.05855449,9.7683214637,59345.0,-1.0,6799.0
2012-10-01,517150.7321395167,560170.392702845,1.1238376063833333,482179.246753831,460165.0,0.22,3.77,0.88,0.028296,0.809,0.695,0.628,0.88,7283723.05855449,9.7683214637,127092.0,-1.0,6685.0
2012-11-01,517150.7321395167,560170.392702845,1.1238376063833333,482179.246753831,460165.0,0.21,4.38,-0.31,0.02770736364,0.809,0.695,0.628,0.89,7283723.05855449,9.7683214637,-1.0,-1.0,7509.0
2012-12-01,517150.7321395167,560170.392702845,1.1238376063833333,482179.246753831,460165.0,0.33,5.01,0.25,0.027371,0.809,0.695,0.628,0.84,7283723.05855449,9.7683214637,258515.0,-1.0,7242.0
2013-01-01,503597.72376832087,588818.92519468,1.0725707818333332,390768.075796162,469524.0,0.16,5.84,0.66,0.02743595,0.75,0.695,0.75,0.88,7283723.05855449,10.17850671,36088.0,-1.0,8872.0
2013-02-01,503597.72376832087,588818.92519468,1.0725707818333332,390768.075796162,469524.0,0.65,0.86,0.31,0.02726,0.75,0.695,0.75,0.98,7469859.82561107,10.17850671,71954.0,-1.0,9111.0
2013-03-01,503597.72376832087,588818.92519468,1.0725707818333332,390768.075796162,469524.0,0.6,1.47,0.2,0.0273115,0.75,0.695,0.75,1.0,7469859.82561107,8.0,151803.0,-1.0,11886.0
2013-04-01,503597.72376832087,588818.92519468,1.0725707818333332,390768.075796162,469524.0,0.5,1.94,0.31,0.02739875,0.75,0.695,0.75,1.03,7469859.82561107,7.8,333440.0,-1.0,13366.0
