data,Roraima - PIB - Per Capita,Roraima - PIB - Preços de Mercado,Roraima - PIB - Estadual,Roraima - PIB - Construção Civil,Roraima - População,Roraima - INCC (%),Roraima - IPCA - Variação mensal durante o Plano Real (%),Roraima - IGP-DI,Roraima - Taxa Selic (%),Roraima - IDH - Longevidade,Roraima - IDH - Renda,Roraima - IDH - Educação,Roraima - NFSP - Fluxo Mensal (Milhões de reais),Roraima - Estoque liquido de capital fixo - (R$),Roraima - Desemprego,Roraima - Produção de Cimento (t),Roraima - Valor,Roraima - Consumo de Cimento (t)
2003-01-01,351084.6116441433,184806.1009275592,1.0121474889666666,411797.185612158,346871.0,1.7,12.53,2.7,0.08229309524,0.717,0.652,0.457,3.46,6098524.41582601,5.8989895206,-1.0,-1.0,6920.0
2003-02-01,351084.6116441433,184806.1009275592,1.0121474889666666,411797.185612158,346871.0,1.51,2.25,2.17,0.08877068182,0.717,0.652,0.457,3.59,6172460.00795063,5.8989895206,28472.0,-1.0,7476.0
2003-03-01,351084.6116441433,184806.1009275592,1.0121474889666666,411797.185612158,346871.0,1.39,3.86,1.59,0.09073265,0.717,0.652,0.457,3.84,6172460.00795063,5.8989895206,46575.0,-1.0,8659.0
2003-04-01,351084.6116441433,184806.1009275592,1.0121474889666666,411797.185612158,346871.0,1.38,5.13,1.66,0.092749,0.717,0.652,0.457,3.95,6172460.00795063,5.8989895206,110056.0,-1.0,7259.0
2003-05-01,351084.6116441433,184806.1009275592,1.0121474889666666,411797.185612158,346871.0,0.9,6.15,0.41,0.0927578,0.717,0.652,0.457,4.06,6172460.00795063,5.8989895206,54649.0,-1.0,6786.0
2003-06-01,351084.6116441433,184806.1009275592,1.0121474889666666,411797.185612158,346871.0,2.84,6.8,-0.67,0.09272338095,0.717,0.652,0.457,3.94,6172460.00795063,5.8989895206,67499.0,-1.0,5555.0
2003-07-01,351084.6116441433,184806.1009275592,1.0121474889666666,411797.185612158,346871.0,1.05,6.64,-0.7,0.092025,0.717,0.652,0.457,3.6,6172460.00795063,5.8989895206,303601.0,-1.0,5060.0
2003-08-01,351084.6116441433,184806.1009275592,1.0121474889666666,411797.185612158,346871.0,0.99,6.85,-0.2,0.08972826087,0.717,0.652,0.457,3.23,6172460.00795063,5.8989895206,43070.0,-1.0,5241.0
2003-09-01,351084.6116441433,184806.1009275592,1.0121474889666666,411797.185612158,346871.0,1.44,7.22,0.62,0.083783,0.717,0.652,0.457,3.17,6172460.00795063,5.8989895206,26125.0,-1.0,4794.0
2003-10-01,351084.6116441433,184806.1009275592,1.0121474889666666,411797.185612158,346871.0,0.22,8.05,1.05,0.07573604545,0.717,0.652,0.457,2.7,6172460.00795063,5.8989895206,32751.0,-1.0,5781.0
