Previsto (mil ton.),2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
Acre,10.118375,9.658679,9.053057,10.388274,11.469811,11.690504,11.815616,12.058284,12.501531,12.4103,12.410177,12.185445
Alagoas,27.747694,28.114614,28.540554,28.50952,27.262812,27.10701,26.997795,27.817234,33.168266,32.06477,30.930698,30.655931
Amapá,8.436264,7.736019,8.982416,8.773286,9.972883,11.663036,12.578382,12.327829,12.714603,16.30974,18.602444,18.652512
Amazonas,37.303886,36.898685,36.776398,36.671162,36.219051,36.074989,35.871838,35.70042,36.547932,36.36768,36.120224,35.918598
Bahia,269.740631,241.44928,251.021301,247.296539,238.23848,243.811371,254.775406,264.657471,252.257034,266.371521,235.404083,251.342407
Ceara,169.559647,137.138962,136.655655,135.23822,140.300888,141.326721,142.030777,140.66214,148.000092,137.288239,137.222763,137.628845
Distrito Federal,39.62595,40.128235,41.371742,41.615955,41.798187,40.613266,46.591301,50.655861,49.511742,53.15786,50.745369,50.463165
Espirito Santo,91.016502,93.033264,97.793365,102.790787,101.979111,102.134438,108.906982,113.897141,114.135025,113.954582,111.1548,110.918625
Goiás,174.621429,162.510406,182.8927,211.889389,199.426346,191.795746,211.009949,211.75209,204.044006,207.899216,204.586456,211.614349
Maranhão,68.772499,52.099632,56.913223,57.513985,63.019135,78.151672,90.146362,96.036942,94.633995,93.617752,94.909218,97.446266
Mato Grosso,80.376808,93.834023,100.56562,125.843178,132.302826,135.777542,145.139816,134.600266,132.227844,143.029678,123.948593,119.554039
Mato Grosso do Sul,74.257217,69.55117,73.660744,79.722961,81.052826,82.398552,84.106056,90.847366,83.47435,82.973907,81.263145,79.698448
Minas Gerais,413.613403,368.62735,460.55249,479.716553,472.747437,454.628601,456.20285,459.914673,468.935852,473.334412,474.938385,475.924744
Pará,113.391441,99.943848,131.706223,148.282639,122.340981,146.540085,146.969238,152.135956,156.132294,168.65799,189.729492,193.794952
Paraíba,62.015972,61.220798,63.185516,67.259094,71.636101,76.620232,81.658836,84.866737,85.660492,85.727951,85.634903,85.663261
Paraná,327.190735,294.977081,341.310699,354.099426,361.131592,362.85025,371.752808,415.247528,376.830597,365.3573,322.206268,337.634979
Pernambuco,143.64856,131.161331,134.735367,138.927109,131.550507,130.970245,133.60173,134.927002,138.551697,132.562012,133.675751,136.230499
Piauí,56.282806,54.009205,60.434551,67.110916,71.122459,73.396576,76.794785,80.939583,78.313728,77.778549,77.460297,77.257996
Rio Grande do Sul,218.143417,214.366699,246.752838,215.082809,242.764771,236.129425,238.027527,251.260345,220.111572,221.132019,226.029083,229.570496
Rio de Janeiro,216.666885,211.948929,231.949951,240.909851,248.894821,232.057449,212.723358,218.156448,222.636444,221.332184,240.988251,226.837997
Rio Grande do Norte,41.616062,41.381828,45.202629,44.004303,42.73175,41.984581,43.19323,46.67498,42.459991,42.844818,42.541492,42.898556
Rondônia,33.309322,33.662697,33.562832,35.384098,36.968376,37.090023,38.232121,38.12006,42.395473,41.117664,40.535522,39.545597
Roraima,7.079812,7.040736,7.235604,7.516031,7.320034,7.068558,7.811537,8.174174,8.787634,9.484248,9.517114,9.118312
Santa Catarina,233.907364,235.158676,250.171005,246.732773,239.283951,236.783081,251.060043,243.26033,246.443497,240.654205,234.153915,247.552109
São Paulo,853.587524,853.587524,853.587524,853.587524,853.587524,853.587524,853.587524,853.587524,853.587524,853.587524,853.587524,853.587524
Sergipe,28.553705,29.05278,28.677353,29.573292,27.445395,26.191811,29.461323,28.753109,29.023178,30.547091,29.875702,30.612381
Tocantins,35.877647,35.38385,35.527779,34.788864,38.711105,41.640945,45.788765,46.766319,52.064583,54.445404,48.660217,44.891571
