data,Pará - PIB - Per Capita,Pará - PIB - Preços de Mercado,Pará - PIB - Estadual,Pará - PIB - Construção Civil,Pará - População,Pará - INCC (%),Pará - IPCA - Variação mensal durante o Plano Real (%),Pará - IGP-DI,Pará - Taxa Selic (%),Pará - IDH - Longevidade,Pará - IDH - Renda,Pará - IDH - Educação,Pará - NFSP - Fluxo Mensal (Milhões de reais),Pará - Estoque liquido de capital fixo - (R$),Pará - Desemprego,Pará - Produção de Cimento (t),Pará - Valor,Pará - Consumo de Cimento (t)
2003-01-01,3785855.210729258,1992822.0063382168,0.58661933205,2443525.47457397,6453683.0,1.7,12.53,2.7,0.08229309524,0.725,0.601,0.319,3.46,6098524.41582601,10.7704942617,-1.0,-1.0,84701.0
2003-02-01,3785855.210729258,1992822.0063382168,0.58661933205,2443525.47457397,6453683.0,1.51,2.25,2.17,0.08877068182,0.725,0.601,0.319,3.59,6172460.00795063,10.7704942617,32871.0,-1.0,80221.0
2003-03-01,3785855.210729258,1992822.0063382168,0.58661933205,2443525.47457397,6453683.0,1.39,3.86,1.59,0.09073265,0.725,0.601,0.319,3.84,6172460.00795063,10.7704942617,48669.0,-1.0,76122.0
2003-04-01,3785855.210729258,1992822.0063382168,0.58661933205,2443525.47457397,6453683.0,1.38,5.13,1.66,0.092749,0.725,0.601,0.319,3.95,6172460.00795063,10.7704942617,114467.0,-1.0,76544.0
2003-05-01,3785855.210729258,1992822.0063382168,0.58661933205,2443525.47457397,6453683.0,0.9,6.15,0.41,0.0927578,0.725,0.601,0.319,4.06,6172460.00795063,10.7704942617,104306.0,-1.0,83445.0
2003-06-01,3785855.210729258,1992822.0063382168,0.58661933205,2443525.47457397,6453683.0,2.84,6.8,-0.67,0.09272338095,0.725,0.601,0.319,3.94,6172460.00795063,10.7704942617,40029.0,-1.0,82978.0
2003-07-01,3785855.210729258,1992822.0063382168,0.58661933205,2443525.47457397,6453683.0,1.05,6.64,-0.7,0.092025,0.725,0.601,0.319,3.6,6172460.00795063,10.7704942617,711255.0,-1.0,93037.0
2003-08-01,3785855.210729258,1992822.0063382168,0.58661933205,2443525.47457397,6453683.0,0.99,6.85,-0.2,0.08972826087,0.725,0.601,0.319,3.23,6172460.00795063,10.7704942617,114820.0,-1.0,89827.0
2003-09-01,3785855.210729258,1992822.0063382168,0.58661933205,2443525.47457397,6453683.0,1.44,7.22,0.62,0.083783,0.725,0.601,0.319,3.17,6172460.00795063,10.7704942617,34159.0,-1.0,93270.0
2003-10-01,3785855.210729258,1992822.0063382168,0.58661933205,2443525.47457397,6453683.0,0.22,8.05,1.05,0.07573604545,0.725,0.601,0.319,2.7,6172460.00795063,10.7704942617,27337.0,-1.0,100670.0
2003-11-01,3785855.210729258,1992822.0063382168,0.58661933205,2443525.47457397,6453683.0,0.65,8.37,0.44,0.07083917391,0.725,0.601,0.319,2.65,6172460.00795063,10.7704942617,-1.0,-1.0,92924.0
2003-12-01,3785855.210729258,1992822.0063382168,0.58661933205,2443525.47457397,6453683.0,1.04,8.74,0.48,0.0667516,0.725,0.601,0.319,2.36,6172460.00795063,10.7704942617,19604.0,-1.0,98571.0
2004-01-01,3772955.6883559,2265884.0546628665,0.5738341756916666,1949833.17445083,6574993.0,0.16,9.3,0.6,0.062015,0.725,0.601,0.319,1.57,6172460.00795063,10.1775465197,473650.0,-1.0,110204.0
2004-02-01,3772955.6883559,2265884.0546628665,0.5738341756916666,1949833.17445083,6574993.0,0.33,0.76,0.8,0.0599982381,0.725,0.601,0.319,1.43,6261937.06181048,10.1775465197,23924.0,-1.0,76354.0
2004-03-01,3772955.6883559,2265884.0546628665,0.5738341756916666,1949833.17445083,6574993.0,1.0,1.37,1.08,0.05993777778,0.725,0.601,0.319,1.27,6261937.06181048,10.1775465197,52097.0,-1.0,77171.0
2004-04-01,3772955.6883559,2265884.0546628665,0.5738341756916666,1949833.17445083,6574993.0,1.16,1.85,0.93,0.05956991304,0.725,0.601,0.319,1.24,6261937.06181048,10.1775465197,118193.0,-1.0,80720.0
2004-05-01,3772955.6883559,2265884.0546628665,0.5738341756916666,1949833.17445083,6574993.0,0.59,2.23,1.15,0.0587633,0.725,0.601,0.319,1.21,6261937.06181048,10.1775465197,87956.0,-1.0,82088.0
2004-06-01,3772955.6883559,2265884.0546628665,0.5738341756916666,1949833.17445083,6574993.0,1.83,2.75,1.46,0.0581277619,0.725,0.601,0.319,1.35,6261937.06181048,10.1775465197,34199.0,-1.0,98315.0
2004-07-01,3772955.6883559,2265884.0546628665,0.5738341756916666,1949833.17445083,6574993.0,0.7,3.48,1.29,0.05822585714,0.725,0.601,0.319,1.59,6261937.06181048,10.1775465197,631248.0,-1.0,108105.0
2004-08-01,3772955.6883559,2265884.0546628665,0.5738341756916666,1949833.17445083,6574993.0,1.12,4.42,1.14,0.05813868182,0.725,0.601,0.319,1.72,6261937.06181048,10.1775465197,128161.0,-1.0,108975.0
2004-09-01,3772955.6883559,2265884.0546628665,0.5738341756916666,1949833.17445083,6574993.0,0.81,5.14,1.31,0.05843936364,0.725,0.601,0.319,1.83,6261937.06181048,10.1775465197,34848.0,-1.0,110773.0
2004-10-01,3772955.6883559,2265884.0546628665,0.5738341756916666,1949833.17445083,6574993.0,0.58,5.49,0.48,0.05923480952,0.725,0.601,0.319,1.87,6261937.06181048,10.1775465197,20118.0,-1.0,110954.0
2004-11-01,3772955.6883559,2265884.0546628665,0.5738341756916666,1949833.17445083,6574993.0,1.19,5.95,0.53,0.06031435,0.725,0.601,0.319,1.76,6261937.06181048,10.1775465197,-1.0,-1.0,117382.0
2004-12-01,3772955.6883559,2265884.0546628665,0.5738341756916666,1949833.17445083,6574993.0,0.71,6.68,0.82,0.0621806,0.725,0.601,0.319,1.71,6261937.06181048,10.1775465197,21863.0,-1.0,112122.0
2005-01-01,4368675.6757394,2827036.1886981414,0.6377460209833333,2874714.02373285,6850181.0,0.51,7.6,0.52,0.06401773913,0.725,0.601,0.319,1.74,6261937.06181048,8.7001768537,396947.0,-1.0,115365.0
2005-02-01,4368675.6757394,2827036.1886981414,0.6377460209833333,2874714.02373285,6850181.0,0.75,0.58,0.33,0.0654687619,0.725,0.601,0.319,1.57,6344077.42160595,8.7001768537,28461.0,-1.0,90229.0
2005-03-01,4368675.6757394,2827036.1886981414,0.6377460209833333,2874714.02373285,6850181.0,0.44,1.17,0.4,0.06729072222,0.725,0.601,0.319,1.49,6344077.42160595,8.7001768537,53449.0,-1.0,87897.0
2005-04-01,4368675.6757394,2827036.1886981414,0.6377460209833333,2874714.02373285,6850181.0,0.67,1.79,0.99,0.068961,0.725,0.601,0.319,1.37,6344077.42160595,8.7001768537,134233.0,-1.0,96273.0
2005-05-01,4368675.6757394,2827036.1886981414,0.6377460209833333,2874714.02373285,6850181.0,0.72,2.68,0.51,0.07010755,0.725,0.601,0.319,1.37,6344077.42160595,8.7001768537,104875.0,-1.0,97686.0
2005-06-01,4368675.6757394,2827036.1886981414,0.6377460209833333,2874714.02373285,6850181.0,2.09,3.18,-0.25,0.07106719048,0.725,0.601,0.319,1.18,6344077.42160595,8.7001768537,40858.0,-1.0,108413.0
2005-07-01,4368675.6757394,2827036.1886981414,0.6377460209833333,2874714.02373285,6850181.0,0.76,3.16,-0.45,0.071533,0.725,0.601,0.319,0.95,6344077.42160595,8.7001768537,794098.0,-1.0,107399.0
2005-08-01,4368675.6757394,2827036.1886981414,0.6377460209833333,2874714.02373285,6850181.0,0.11,3.42,-0.4,0.07145590476,0.725,0.601,0.319,0.76,6344077.42160595,8.7001768537,152815.0,-1.0,131490.0
2005-09-01,4368675.6757394,2827036.1886981414,0.6377460209833333,2874714.02373285,6850181.0,0.02,3.59,-0.79,0.07154213043,0.725,0.601,0.319,0.55,6344077.42160595,8.7001768537,37178.0,-1.0,112652.0
