data,Santa_Catarina - PIB - Per Capita,Santa_Catarina - PIB - Preços de Mercado,Santa_Catarina - PIB - Estadual,Santa_Catarina - PIB - Construção Civil,Santa_Catarina - População,Santa_Catarina - INCC (%),Santa_Catarina - IPCA - Variação mensal durante o Plano Real (%),Santa_Catarina - IGP-DI,Santa_Catarina - Taxa Selic (%),Santa_Catarina - IDH - Longevidade,Santa_Catarina - IDH - Renda,Santa_Catarina - IDH - Educação,Santa_Catarina - NFSP - Fluxo Mensal (Milhões de reais),Santa_Catarina - Estoque liquido de capital fixo - (R$),Santa_Catarina - Desemprego,Santa_Catarina - Produção de Cimento (t),Santa_Catarina - Valor,Santa_Catarina - Consumo de Cimento (t)
2003-01-01,7495951.772641576,3945765.704043567,1.3560689400916666,5423062.34323014,5527707.0,1.7,12.53,2.7,0.08229309524,0.812,0.717,0.526,3.46,6098524.41582601,4.9902867955,-1.0,0.38,142456.0
2003-02-01,7495951.772641576,3945765.704043567,1.3560689400916666,5423062.34323014,5527707.0,1.51,2.25,2.17,0.08877068182,0.812,0.717,0.526,3.59,6172460.00795063,4.9902867955,27767.0,0.38,135829.0
2003-03-01,7495951.772641576,3945765.704043567,1.3560689400916666,5423062.34323014,5527707.0,1.39,3.86,1.59,0.09073265,0.812,0.717,0.526,3.84,6172460.00795063,4.9902867955,39181.0,0.38,133135.0
2003-04-01,7495951.772641576,3945765.704043567,1.3560689400916666,5423062.34323014,5527707.0,1.38,5.13,1.66,0.092749,0.812,0.717,0.526,3.95,6172460.00795063,4.9902867955,128187.0,0.38,144723.0
2003-05-01,7495951.772641576,3945765.704043567,1.3560689400916666,5423062.34323014,5527707.0,0.9,6.15,0.41,0.0927578,0.812,0.717,0.526,4.06,6172460.00795063,4.9902867955,66252.0,0.38,150523.0
2003-06-01,7495951.772641576,3945765.704043567,1.3560689400916666,5423062.34323014,5527707.0,2.84,6.8,-0.67,0.09272338095,0.812,0.717,0.526,3.94,6172460.00795063,4.9902867955,52518.0,0.38,128735.0
2003-07-01,7495951.772641576,3945765.704043567,1.3560689400916666,5423062.34323014,5527707.0,1.05,6.64,-0.7,0.092025,0.812,0.717,0.526,3.6,6172460.00795063,4.9902867955,342078.0,0.38,154768.0
2003-08-01,7495951.772641576,3945765.704043567,1.3560689400916666,5423062.34323014,5527707.0,0.99,6.85,-0.2,0.08972826087,0.812,0.717,0.526,3.23,6172460.00795063,4.9902867955,42575.0,0.38,142558.0
2003-09-01,7495951.772641576,3945765.704043567,1.3560689400916666,5423062.34323014,5527707.0,1.44,7.22,0.62,0.083783,0.812,0.717,0.526,3.17,6172460.00795063,4.9902867955,28324.0,0.38,144182.0
2003-10-01,7495951.772641576,3945765.704043567,1.3560689400916666,5423062.34323014,5527707.0,0.22,8.05,1.05,0.07573604545,0.812,0.717,0.526,2.7,6172460.00795063,4.9902867955,32997.0,0.38,152080.0
2003-11-01,7495951.772641576,3945765.704043567,1.3560689400916666,5423062.34323014,5527707.0,0.65,8.37,0.44,0.07083917391,0.812,0.717,0.526,2.65,6172460.00795063,4.9902867955,-1.0,0.38,139013.0
2003-12-01,7495951.772641576,3945765.704043567,1.3560689400916666,5423062.34323014,5527707.0,1.04,8.74,0.48,0.0667516,0.812,0.717,0.526,2.36,6172460.00795063,4.9902867955,161288.0,0.38,119170.0
2004-01-01,7702242.82257785,4625654.43073775,1.3736263184666668,4943546.15421658,5607233.0,0.16,9.3,0.6,0.062015,0.812,0.717,0.526,1.57,6172460.00795063,6.0531108018,-1.0,0.38,135344.0
2004-02-01,7702242.82257785,4625654.43073775,1.3736263184666668,4943546.15421658,5607233.0,0.33,0.76,0.8,0.0599982381,0.812,0.717,0.526,1.43,6261937.06181048,6.0531108018,32779.0,0.38,127693.0
2004-03-01,7702242.82257785,4625654.43073775,1.3736263184666668,4943546.15421658,5607233.0,1.0,1.37,1.08,0.05993777778,0.812,0.717,0.526,1.27,6261937.06181048,6.0531108018,37590.0,0.38,151570.0
2004-04-01,7702242.82257785,4625654.43073775,1.3736263184666668,4943546.15421658,5607233.0,1.16,1.85,0.93,0.05956991304,0.812,0.717,0.526,1.24,6261937.06181048,6.0531108018,176634.0,0.38,137044.0
2004-05-01,7702242.82257785,4625654.43073775,1.3736263184666668,4943546.15421658,5607233.0,0.59,2.23,1.15,0.0587633,0.812,0.717,0.526,1.21,6261937.06181048,6.0531108018,61111.0,0.38,134493.0
2004-06-01,7702242.82257785,4625654.43073775,1.3736263184666668,4943546.15421658,5607233.0,1.83,2.75,1.46,0.0581277619,0.812,0.717,0.526,1.35,6261937.06181048,6.0531108018,51409.0,0.38,150250.0
