data,Rio_Grande_do_Norte - PIB - Per Capita,Rio_Grande_do_Norte - PIB - Preços de Mercado,Rio_Grande_do_Norte - PIB - Estadual,Rio_Grande_do_Norte - PIB - Construção Civil,Rio_Grande_do_Norte - População,Rio_Grande_do_Norte - INCC (%),Rio_Grande_do_Norte - IPCA - Variação mensal durante o Plano Real (%),Rio_Grande_do_Norte - IGP-DI,Rio_Grande_do_Norte - Taxa Selic (%),Rio_Grande_do_Norte - IDH - Longevidade,Rio_Grande_do_Norte - IDH - Renda,Rio_Grande_do_Norte - IDH - Educação,Rio_Grande_do_Norte - NFSP - Fluxo Mensal (Milhões de reais),Rio_Grande_do_Norte - Estoque liquido de capital fixo - (R$),Rio_Grande_do_Norte - Desemprego,Rio_Grande_do_Norte - Produção de Cimento (t),Rio_Grande_do_Norte - Valor,Rio_Grande_do_Norte - Consumo de Cimento (t)
2003-01-01,1912845.143616784,1006895.3208018834,0.6705187436583334,1916358.56798925,2852784.0,1.7,12.53,2.7,0.08229309524,0.7,0.608,0.396,3.46,6098524.41582601,7.2557088579,-1.0,-1.0,36825.0
2003-02-01,1912845.143616784,1006895.3208018834,0.6705187436583334,1916358.56798925,2852784.0,1.51,2.25,2.17,0.08877068182,0.7,0.608,0.396,3.59,6172460.00795063,7.2557088579,27774.0,-1.0,34088.0
2003-03-01,1912845.143616784,1006895.3208018834,0.6705187436583334,1916358.56798925,2852784.0,1.39,3.86,1.59,0.09073265,0.7,0.608,0.396,3.84,6172460.00795063,7.2557088579,50384.0,-1.0,30150.0
2003-04-01,1912845.143616784,1006895.3208018834,0.6705187436583334,1916358.56798925,2852784.0,1.38,5.13,1.66,0.092749,0.7,0.608,0.396,3.95,6172460.00795063,7.2557088579,123096.0,-1.0,31224.0
2003-05-01,1912845.143616784,1006895.3208018834,0.6705187436583334,1916358.56798925,2852784.0,0.9,6.15,0.41,0.0927578,0.7,0.608,0.396,4.06,6172460.00795063,7.2557088579,46127.0,-1.0,33606.0
2003-06-01,1912845.143616784,1006895.3208018834,0.6705187436583334,1916358.56798925,2852784.0,2.84,6.8,-0.67,0.09272338095,0.7,0.608,0.396,3.94,6172460.00795063,7.2557088579,58361.0,-1.0,28825.0
2003-07-01,1912845.143616784,1006895.3208018834,0.6705187436583334,1916358.56798925,2852784.0,1.05,6.64,-0.7,0.092025,0.7,0.608,0.396,3.6,6172460.00795063,7.2557088579,670590.0,-1.0,35809.0
2003-08-01,1912845.143616784,1006895.3208018834,0.6705187436583334,1916358.56798925,2852784.0,0.99,6.85,-0.2,0.08972826087,0.7,0.608,0.396,3.23,6172460.00795063,7.2557088579,46078.0,-1.0,34046.0
2003-09-01,1912845.143616784,1006895.3208018834,0.6705187436583334,1916358.56798925,2852784.0,1.44,7.22,0.62,0.083783,0.7,0.608,0.396,3.17,6172460.00795063,7.2557088579,26858.0,-1.0,34492.0
2003-10-01,1912845.143616784,1006895.3208018834,0.6705187436583334,1916358.56798925,2852784.0,0.22,8.05,1.05,0.07573604545,0.7,0.608,0.396,2.7,6172460.00795063,7.2557088579,29686.0,-1.0,35487.0
2003-11-01,1912845.143616784,1006895.3208018834,0.6705187436583334,1916358.56798925,2852784.0,0.65,8.37,0.44,0.07083917391,0.7,0.608,0.396,2.65,6172460.00795063,7.2557088579,-1.0,-1.0,35133.0
2003-12-01,1912845.143616784,1006895.3208018834,0.6705187436583334,1916358.56798925,2852784.0,1.04,8.74,0.48,0.0667516,0.7,0.608,0.396,2.36,6172460.00795063,7.2557088579,139887.0,-1.0,38580.0
2004-01-01,1829020.0166890835,1098435.1881643585,0.633304461575,884537.830636395,2888058.0,0.16,9.3,0.6,0.062015,0.7,0.608,0.396,1.57,6172460.00795063,10.4330831545,-1.0,-1.0,32845.0
2004-02-01,1829020.0166890835,1098435.1881643585,0.633304461575,884537.830636395,2888058.0,0.33,0.76,0.8,0.0599982381,0.7,0.608,0.396,1.43,6261937.06181048,10.4330831545,31828.0,-1.0,26809.0
2004-03-01,1829020.0166890835,1098435.1881643585,0.633304461575,884537.830636395,2888058.0,1.0,1.37,1.08,0.05993777778,0.7,0.608,0.396,1.27,6261937.06181048,10.4330831545,54365.0,-1.0,34465.0
2004-04-01,1829020.0166890835,1098435.1881643585,0.633304461575,884537.830636395,2888058.0,1.16,1.85,0.93,0.05956991304,0.7,0.608,0.396,1.24,6261937.06181048,10.4330831545,117969.0,-1.0,30563.0
2004-05-01,1829020.0166890835,1098435.1881643585,0.633304461575,884537.830636395,2888058.0,0.59,2.23,1.15,0.0587633,0.7,0.608,0.396,1.21,6261937.06181048,10.4330831545,56690.0,-1.0,32574.0
