data,Rio_de_Janeiro - PIB - Per Capita,Rio_de_Janeiro - PIB - Preços de Mercado,Rio_de_Janeiro - PIB - Estadual,Rio_de_Janeiro - PIB - Construção Civil,Rio_de_Janeiro - População,Rio_de_Janeiro - INCC (%),Rio_de_Janeiro - IPCA - Variação mensal durante o Plano Real (%),Rio_de_Janeiro - IGP-DI,Rio_de_Janeiro - Taxa Selic (%),Rio_de_Janeiro - IDH - Longevidade,Rio_de_Janeiro - IDH - Renda,Rio_de_Janeiro - IDH - Educação,Rio_de_Janeiro - NFSP - Fluxo Mensal (Milhões de reais),Rio_de_Janeiro - Estoque liquido de capital fixo - (R$),Rio_de_Janeiro - Desemprego,Rio_de_Janeiro - Produção de Cimento (t),Rio_de_Janeiro - Valor,Rio_de_Janeiro - Consumo de Cimento (t)
2003-01-01,25005018.366252,13162297.0492735,1.69819422195,22002220.8607244,14724475.0,1.7,12.53,2.7,0.08229309524,0.74,0.745,0.53,3.46,6098524.41582601,11.7121955601,-1.0,0.31,254362.0
2003-02-01,25005018.366252,13162297.0492735,1.69819422195,22002220.8607244,14724475.0,1.51,2.25,2.17,0.08877068182,0.74,0.745,0.53,3.59,6172460.00795063,11.7121955601,26639.0,0.33,252842.0
2003-03-01,25005018.366252,13162297.0492735,1.69819422195,22002220.8607244,14724475.0,1.39,3.86,1.59,0.09073265,0.74,0.745,0.53,3.84,6172460.00795063,11.7121955601,54512.0,0.33,229385.0
2003-04-01,25005018.366252,13162297.0492735,1.69819422195,22002220.8607244,14724475.0,1.38,5.13,1.66,0.092749,0.74,0.745,0.53,3.95,6172460.00795063,11.7121955601,126390.0,0.33,243407.0
2003-05-01,25005018.366252,13162297.0492735,1.69819422195,22002220.8607244,14724475.0,0.9,6.15,0.41,0.0927578,0.74,0.745,0.53,4.06,6172460.00795063,11.7121955601,47291.0,0.33,256535.0
2003-06-01,25005018.366252,13162297.0492735,1.69819422195,22002220.8607244,14724475.0,2.84,6.8,-0.67,0.09272338095,0.74,0.745,0.53,3.94,6172460.00795063,11.7121955601,60170.0,0.33,243236.0
2003-07-01,25005018.366252,13162297.0492735,1.69819422195,22002220.8607244,14724475.0,1.05,6.64,-0.7,0.092025,0.74,0.745,0.53,3.6,6172460.00795063,11.7121955601,728134.0,0.33,269774.0
2003-08-01,25005018.366252,13162297.0492735,1.69819422195,22002220.8607244,14724475.0,0.99,6.85,-0.2,0.08972826087,0.74,0.745,0.53,3.23,6172460.00795063,11.7121955601,48623.0,0.33,243189.0
2003-09-01,25005018.366252,13162297.0492735,1.69819422195,22002220.8607244,14724475.0,1.44,7.22,0.62,0.083783,0.74,0.745,0.53,3.17,6172460.00795063,11.7121955601,27865.0,0.33,264695.0
2003-10-01,25005018.366252,13162297.0492735,1.69819422195,22002220.8607244,14724475.0,0.22,8.05,1.05,0.07573604545,0.74,0.745,0.53,2.7,6172460.00795063,11.7121955601,27584.0,0.33,268955.0
2003-11-01,25005018.366252,13162297.0492735,1.69819422195,22002220.8607244,14724475.0,0.65,8.37,0.44,0.07083917391,0.74,0.745,0.53,2.65,6172460.00795063,11.7121955601,-1.0,0.33,247368.0
2003-12-01,25005018.366252,13162297.0492735,1.69819422195,22002220.8607244,14724475.0,1.04,8.74,0.48,0.0667516,0.74,0.745,0.53,2.36,6172460.00795063,11.7121955601,137945.0,0.33,247521.0
2004-01-01,24342646.55118917,14619205.531318834,1.6360275220083331,15520499.6046937,14879118.0,0.16,9.3,0.6,0.062015,0.74,0.745,0.53,1.57,6172460.00795063,13.0415763404,-1.0,0.33,256494.044
2004-02-01,24342646.55118917,14619205.531318834,1.6360275220083331,15520499.6046937,14879118.0,0.33,0.76,0.8,0.0599982381,0.74,0.745,0.53,1.43,6261937.06181048,13.0415763404,27899.0,0.33,214974.0
2004-03-01,24342646.55118917,14619205.531318834,1.6360275220083331,15520499.6046937,14879118.0,1.0,1.37,1.08,0.05993777778,0.74,0.745,0.53,1.27,6261937.06181048,13.0415763404,52747.0,0.33,273646.0
2004-04-01,24342646.55118917,14619205.531318834,1.6360275220083331,15520499.6046937,14879118.0,1.16,1.85,0.93,0.05956991304,0.74,0.745,0.53,1.24,6261937.06181048,13.0415763404,144552.0,0.34,238045.0
2004-05-01,24342646.55118917,14619205.531318834,1.6360275220083331,15520499.6046937,14879118.0,0.59,2.23,1.15,0.0587633,0.74,0.745,0.53,1.21,6261937.06181048,13.0415763404,59072.0,0.34,254860.0
2004-06-01,24342646.55118917,14619205.531318834,1.6360275220083331,15520499.6046937,14879118.0,1.83,2.75,1.46,0.0581277619,0.74,0.745,0.53,1.35,6261937.06181048,13.0415763404,59781.0,0.34,279415.0
2004-07-01,24342646.55118917,14619205.531318834,1.6360275220083331,15520499.6046937,14879118.0,0.7,3.48,1.29,0.05822585714,0.74,0.745,0.53,1.59,6261937.06181048,13.0415763404,656672.0,0.34,249081.0
2004-08-01,24342646.55118917,14619205.531318834,1.6360275220083331,15520499.6046937,14879118.0,1.12,4.42,1.14,0.05813868182,0.74,0.745,0.53,1.72,6261937.06181048,13.0415763404,46506.0,0.34,281405.0
2004-09-01,24342646.55118917,14619205.531318834,1.6360275220083331,15520499.6046937,14879118.0,0.81,5.14,1.31,0.05843936364,0.74,0.745,0.53,1.83,6261937.06181048,13.0415763404,19685.0,0.34,280430.0
