data,Rondônia - PIB - Per Capita,Rondônia - PIB - Preços de Mercado,Rondônia - PIB - Estadual,Rondônia - PIB - Construção Civil,Rondônia - População,Rondônia - INCC (%),Rondônia - IPCA - Variação mensal durante o Plano Real (%),Rondônia - IGP-DI,Rondônia - Taxa Selic (%),Rondônia - IDH - Longevidade,Rondônia - IDH - Renda,Rondônia - IDH - Educação,Rondônia - NFSP - Fluxo Mensal (Milhões de reais),Rondônia - Estoque liquido de capital fixo - (R$),Rondônia - Desemprego,Rondônia - Produção de Cimento (t),Rondônia - Valor,Rondônia - Consumo de Cimento (t)
2003-01-01,1049276.8859675415,552324.8916578008,0.7328493794583334,1138406.0954206,1431777.0,1.7,12.53,2.7,0.08229309524,0.688,0.654,0.345,3.46,6098524.41582601,6.8787887412,-1.0,0.47,13867.0
2003-02-01,1049276.8859675415,552324.8916578008,0.7328493794583334,1138406.0954206,1431777.0,1.51,2.25,2.17,0.08877068182,0.688,0.654,0.345,3.59,6172460.00795063,6.8787887412,27544.0,0.51,10777.0
2003-03-01,1049276.8859675415,552324.8916578008,0.7328493794583334,1138406.0954206,1431777.0,1.39,3.86,1.59,0.09073265,0.688,0.654,0.345,3.84,6172460.00795063,6.8787887412,55610.0,0.51,13888.0
2003-04-01,1049276.8859675415,552324.8916578008,0.7328493794583334,1138406.0954206,1431777.0,1.38,5.13,1.66,0.092749,0.688,0.654,0.345,3.95,6172460.00795063,6.8787887412,131225.0,0.49,11859.0
2003-05-01,1049276.8859675415,552324.8916578008,0.7328493794583334,1138406.0954206,1431777.0,0.9,6.15,0.41,0.0927578,0.688,0.654,0.345,4.06,6172460.00795063,6.8787887412,52764.0,0.49,14431.0
2003-06-01,1049276.8859675415,552324.8916578008,0.7328493794583334,1138406.0954206,1431777.0,2.84,6.8,-0.67,0.09272338095,0.688,0.654,0.345,3.94,6172460.00795063,6.8787887412,66722.0,0.48,12653.0
2003-07-01,1049276.8859675415,552324.8916578008,0.7328493794583334,1138406.0954206,1431777.0,1.05,6.64,-0.7,0.092025,0.688,0.654,0.345,3.6,6172460.00795063,6.8787887412,540400.0,0.49,15269.0
2003-08-01,1049276.8859675415,552324.8916578008,0.7328493794583334,1138406.0954206,1431777.0,0.99,6.85,-0.2,0.08972826087,0.688,0.654,0.345,3.23,6172460.00795063,6.8787887412,49168.0,0.48,18397.0
2003-09-01,1049276.8859675415,552324.8916578008,0.7328493794583334,1138406.0954206,1431777.0,1.44,7.22,0.62,0.083783,0.688,0.654,0.345,3.17,6172460.00795063,6.8787887412,26690.0,0.48,22262.0
2003-10-01,1049276.8859675415,552324.8916578008,0.7328493794583334,1138406.0954206,1431777.0,0.22,8.05,1.05,0.07573604545,0.688,0.654,0.345,2.7,6172460.00795063,6.8787887412,23138.0,0.47,18333.0
