data,Mato_Grosso_do_Sul - PIB - Per Capita,Mato_Grosso_do_Sul - PIB - Preços de Mercado,Mato_Grosso_do_Sul - PIB - Estadual,Mato_Grosso_do_Sul - PIB - Construção Civil,Mato_Grosso_do_Sul - População,Mato_Grosso_do_Sul - INCC (%),Mato_Grosso_do_Sul - IPCA - Variação mensal durante o Plano Real (%),Mato_Grosso_do_Sul - IGP-DI,Mato_Grosso_do_Sul - Taxa Selic (%),Mato_Grosso_do_Sul - IDH - Longevidade,Mato_Grosso_do_Sul - IDH - Renda,Mato_Grosso_do_Sul - IDH - Educação,Mato_Grosso_do_Sul - NFSP - Fluxo Mensal (Milhões de reais),Mato_Grosso_do_Sul - Estoque liquido de capital fixo - (R$),Mato_Grosso_do_Sul - Desemprego,Mato_Grosso_do_Sul - Produção de Cimento (t),Mato_Grosso_do_Sul - Valor,Mato_Grosso_do_Sul - Consumo de Cimento (t)
2003-01-01,2313678.2194192666,1217888.3276299334,1.080842884791667,1410315.70500235,2140624.0,1.7,12.53,2.7,0.08229309524,0.752,0.687,0.445,3.46,6098524.41582601,8.4950922097,-1.0,0.37,33744.0
2003-02-01,2313678.2194192666,1217888.3276299334,1.080842884791667,1410315.70500235,2140624.0,1.51,2.25,2.17,0.08877068182,0.752,0.687,0.445,3.59,6172460.00795063,8.4950922097,-1.0,0.37,32230.0
2003-03-01,2313678.2194192666,1217888.3276299334,1.080842884791667,1410315.70500235,2140624.0,1.39,3.86,1.59,0.09073265,0.752,0.687,0.445,3.84,6172460.00795063,8.4950922097,51061.0,0.37,33559.0
2003-04-01,2313678.2194192666,1217888.3276299334,1.080842884791667,1410315.70500235,2140624.0,1.38,5.13,1.66,0.092749,0.752,0.687,0.445,3.95,6172460.00795063,8.4950922097,94627.0,0.37,34283.0
2003-05-01,2313678.2194192666,1217888.3276299334,1.080842884791667,1410315.70500235,2140624.0,0.9,6.15,0.41,0.0927578,0.752,0.687,0.445,4.06,6172460.00795063,8.4950922097,96066.0,0.38,36066.0
2003-06-01,2313678.2194192666,1217888.3276299334,1.080842884791667,1410315.70500235,2140624.0,2.84,6.8,-0.67,0.09272338095,0.752,0.687,0.445,3.94,6172460.00795063,8.4950922097,27948.0,0.39,35697.0
2003-07-01,2313678.2194192666,1217888.3276299334,1.080842884791667,1410315.70500235,2140624.0,1.05,6.64,-0.7,0.092025,0.752,0.687,0.445,3.6,6172460.00795063,8.4950922097,679435.0,0.39,40248.0
2003-08-01,2313678.2194192666,1217888.3276299334,1.080842884791667,1410315.70500235,2140624.0,0.99,6.85,-0.2,0.08972826087,0.752,0.687,0.445,3.23,6172460.00795063,8.4950922097,90794.0,0.37,36262.0
2003-09-01,2313678.2194192666,1217888.3276299334,1.080842884791667,1410315.70500235,2140624.0,1.44,7.22,0.62,0.083783,0.752,0.687,0.445,3.17,6172460.00795063,8.4950922097,31820.0,0.39,34630.0
2003-10-01,2313678.2194192666,1217888.3276299334,1.080842884791667,1410315.70500235,2140624.0,0.22,8.05,1.05,0.07573604545,0.752,0.687,0.445,2.7,6172460.00795063,8.4950922097,202298.0,0.39,36875.0
