data,Maranhão - PIB - Per Capita,Maranhão - PIB - Preços de Mercado,Maranhão - PIB - Estadual,Maranhão - PIB - Construção Civil,Maranhão - População,Maranhão - INCC (%),Maranhão - IPCA - Variação mensal durante o Plano Real (%),Maranhão - IGP-DI,Maranhão - Taxa Selic (%),Maranhão - IDH - Longevidade,Maranhão - IDH - Renda,Maranhão - IDH - Educação,Maranhão - NFSP - Fluxo Mensal (Milhões de reais),Maranhão - Estoque liquido de capital fixo - (R$),Maranhão - Desemprego,Maranhão - Produção de Cimento (t),Maranhão - Valor,Maranhão - Consumo de Cimento (t)
2003-01-01,2306006.941579441,1213850.272700467,0.3973665227416667,2598597.61249412,5803224.0,1.7,12.53,2.7,0.08229309524,0.649,0.531,0.312,3.46,6098524.41582601,5.9295673225,-1.0,0.38,43342.0
2003-02-01,2306006.941579441,1213850.272700467,0.3973665227416667,2598597.61249412,5803224.0,1.51,2.25,2.17,0.08877068182,0.649,0.531,0.312,3.59,6172460.00795063,5.9295673225,-1.0,0.39,28663.0
2003-03-01,2306006.941579441,1213850.272700467,0.3973665227416667,2598597.61249412,5803224.0,1.39,3.86,1.59,0.09073265,0.649,0.531,0.312,3.84,6172460.00795063,5.9295673225,43382.0,0.39,27900.0
2003-04-01,2306006.941579441,1213850.272700467,0.3973665227416667,2598597.61249412,5803224.0,1.38,5.13,1.66,0.092749,0.649,0.531,0.312,3.95,6172460.00795063,5.9295673225,60687.0,0.4,25739.0
2003-05-01,2306006.941579441,1213850.272700467,0.3973665227416667,2598597.61249412,5803224.0,0.9,6.15,0.41,0.0927578,0.649,0.531,0.312,4.06,6172460.00795063,5.9295673225,106506.0,0.4,30203.0
2003-06-01,2306006.941579441,1213850.272700467,0.3973665227416667,2598597.61249412,5803224.0,2.84,6.8,-0.67,0.09272338095,0.649,0.531,0.312,3.94,6172460.00795063,5.9295673225,26037.0,0.4,37590.0
2003-07-01,2306006.941579441,1213850.272700467,0.3973665227416667,2598597.61249412,5803224.0,1.05,6.64,-0.7,0.092025,0.649,0.531,0.312,3.6,6172460.00795063,5.9295673225,511998.0,0.4,42741.0
2003-08-01,2306006.941579441,1213850.272700467,0.3973665227416667,2598597.61249412,5803224.0,0.99,6.85,-0.2,0.08972826087,0.649,0.531,0.312,3.23,6172460.00795063,5.9295673225,58352.0,0.41,42427.0
2003-09-01,2306006.941579441,1213850.272700467,0.3973665227416667,2598597.61249412,5803224.0,1.44,7.22,0.62,0.083783,0.649,0.531,0.312,3.17,6172460.00795063,5.9295673225,33663.0,0.42,42993.0
2003-10-01,2306006.941579441,1213850.272700467,0.3973665227416667,2598597.61249412,5803224.0,0.22,8.05,1.05,0.07573604545,0.649,0.531,0.312,2.7,6172460.00795063,5.9295673225,207741.0,0.42,51235.0
2003-11-01,2306006.941579441,1213850.272700467,0.3973665227416667,2598597.61249412,5803224.0,0.65,8.37,0.44,0.07083917391,0.649,0.531,0.312,2.65,6172460.00795063,5.9295673225,-1.0,0.38,47963.0
2003-12-01,2306006.941579441,1213850.272700467,0.3973665227416667,2598597.61249412,5803224.0,1.04,8.74,0.48,0.0667516,0.649,0.531,0.312,2.36,6172460.00795063,5.9295673225,22897.0,0.38,49930.0
2004-01-01,2501184.8415056583,1502110.1010072418,0.4258310781833334,2248362.83615115,5873655.0,0.16,9.3,0.6,0.062015,0.649,0.531,0.312,1.57,6172460.00795063,6.7587143468,455463.0,0.37,42076.0
2004-02-01,2501184.8415056583,1502110.1010072418,0.4258310781833334,2248362.83615115,5873655.0,0.33,0.76,0.8,0.0599982381,0.649,0.531,0.312,1.43,6261937.06181048,6.7587143468,-1.0,0.33,30183.0
2004-03-01,2501184.8415056583,1502110.1010072418,0.4258310781833334,2248362.83615115,5873655.0,1.0,1.37,1.08,0.05993777778,0.649,0.531,0.312,1.27,6261937.06181048,6.7587143468,50372.0,0.33,40701.0
2004-04-01,2501184.8415056583,1502110.1010072418,0.4258310781833334,2248362.83615115,5873655.0,1.16,1.85,0.93,0.05956991304,0.649,0.531,0.312,1.24,6261937.06181048,6.7587143468,81441.0,0.33,39783.0
2004-05-01,2501184.8415056583,1502110.1010072418,0.4258310781833334,2248362.83615115,5873655.0,0.59,2.23,1.15,0.0587633,0.649,0.531,0.312,1.21,6261937.06181048,6.7587143468,104091.0,0.33,38903.0
2004-06-01,2501184.8415056583,1502110.1010072418,0.4258310781833334,2248362.83615115,5873655.0,1.83,2.75,1.46,0.0581277619,0.649,0.531,0.312,1.35,6261937.06181048,6.7587143468,33527.0,0.33,46111.0
2004-07-01,2501184.8415056583,1502110.1010072418,0.4258310781833334,2248362.83615115,5873655.0,0.7,3.48,1.29,0.05822585714,0.649,0.531,0.312,1.59,6261937.06181048,6.7587143468,606627.0,0.33,49146.0
2004-08-01,2501184.8415056583,1502110.1010072418,0.4258310781833334,2248362.83615115,5873655.0,1.12,4.42,1.14,0.05813868182,0.649,0.531,0.312,1.72,6261937.06181048,6.7587143468,91353.0,0.33,39027.0
2004-09-01,2501184.8415056583,1502110.1010072418,0.4258310781833334,2248362.83615115,5873655.0,0.81,5.14,1.31,0.05843936364,0.649,0.531,0.312,1.83,6261937.06181048,6.7587143468,32253.0,0.37,48068.0
2004-10-01,2501184.8415056583,1502110.1010072418,0.4258310781833334,2248362.83615115,5873655.0,0.58,5.49,0.48,0.05923480952,0.649,0.531,0.312,1.87,6261937.06181048,6.7587143468,195033.0,0.37,46069.0
2004-11-01,2501184.8415056583,1502110.1010072418,0.4258310781833334,2248362.83615115,5873655.0,1.19,5.95,0.53,0.06031435,0.649,0.531,0.312,1.76,6261937.06181048,6.7587143468,-1.0,0.37,50343.0
2004-12-01,2501184.8415056583,1502110.1010072418,0.4258310781833334,2248362.83615115,5873655.0,0.71,6.68,0.82,0.0621806,0.649,0.531,0.312,1.71,6261937.06181048,6.7587143468,19634.0,0.37,60595.0
