data,Ceara - PIB - Per Capita,Ceara - PIB - Preços de Mercado,Ceara - PIB - Estadual,Ceara - PIB - Construção Civil,Ceara - População,Ceara - INCC (%),Ceara - IPCA - Variação mensal durante o Plano Real (%),Ceara - IGP-DI,Ceara - Taxa Selic (%),Ceara - IDH - Longevidade,Ceara - IDH - Renda,Ceara - IDH - Educação,Ceara - NFSP - Fluxo Mensal (Milhões de reais),Ceara - Estoque liquido de capital fixo - (R$),Ceara - Desemprego,Ceara - Produção de Cimento (t),Ceara - Valor,Ceara - Consumo de Cimento (t)
2003-01-01,3964335.4696966414,2086771.5548468751,0.5179067663416667,3420858.68200958,7654535.0,1.7,12.53,2.7,0.08229309524,0.713,0.588,0.377,3.46,6098524.41582601,8.8572190713,-1.0,0.35,81265.0
2003-02-01,3964335.4696966414,2086771.5548468751,0.5179067663416667,3420858.68200958,7654535.0,1.51,2.25,2.17,0.08877068182,0.713,0.588,0.377,3.59,6172460.00795063,8.8572190713,-1.0,0.36,65200.0
2003-03-01,3964335.4696966414,2086771.5548468751,0.5179067663416667,3420858.68200958,7654535.0,1.39,3.86,1.59,0.09073265,0.713,0.588,0.377,3.84,6172460.00795063,8.8572190713,-1.0,0.36,55165.0
2003-04-01,3964335.4696966414,2086771.5548468751,0.5179067663416667,3420858.68200958,7654535.0,1.38,5.13,1.66,0.092749,0.713,0.588,0.377,3.95,6172460.00795063,8.8572190713,43594.0,0.36,53928.0
2003-05-01,3964335.4696966414,2086771.5548468751,0.5179067663416667,3420858.68200958,7654535.0,0.9,6.15,0.41,0.0927578,0.713,0.588,0.377,4.06,6172460.00795063,8.8572190713,101219.0,0.36,65334.0
2003-06-01,3964335.4696966414,2086771.5548468751,0.5179067663416667,3420858.68200958,7654535.0,2.84,6.8,-0.67,0.09272338095,0.713,0.588,0.377,3.94,6172460.00795063,8.8572190713,19559.0,0.36,64323.0
2003-07-01,3964335.4696966414,2086771.5548468751,0.5179067663416667,3420858.68200958,7654535.0,1.05,6.64,-0.7,0.092025,0.713,0.588,0.377,3.6,6172460.00795063,8.8572190713,46458.0,0.36,80404.0
2003-08-01,3964335.4696966414,2086771.5548468751,0.5179067663416667,3420858.68200958,7654535.0,0.99,6.85,-0.2,0.08972826087,0.713,0.588,0.377,3.23,6172460.00795063,8.8572190713,306477.0,0.36,78620.0
2003-09-01,3964335.4696966414,2086771.5548468751,0.5179067663416667,3420858.68200958,7654535.0,1.44,7.22,0.62,0.083783,0.713,0.588,0.377,3.17,6172460.00795063,8.8572190713,34186.0,0.36,79494.0
2003-10-01,3964335.4696966414,2086771.5548468751,0.5179067663416667,3420858.68200958,7654535.0,0.22,8.05,1.05,0.07573604545,0.713,0.588,0.377,2.7,6172460.00795063,8.8572190713,182157.0,0.36,85605.0
2003-11-01,3964335.4696966414,2086771.5548468751,0.5179067663416667,3420858.68200958,7654535.0,0.65,8.37,0.44,0.07083917391,0.713,0.588,0.377,2.65,6172460.00795063,8.8572190713,139947.0,0.36,84457.0
2003-12-01,3964335.4696966414,2086771.5548468751,0.5179067663416667,3420858.68200958,7654535.0,1.04,8.74,0.48,0.0667516,0.713,0.588,0.377,2.36,6172460.00795063,8.8572190713,-1.0,0.36,94777.0
2004-01-01,3969044.3584425584,2383646.9513278417,0.51157756545,2412056.6019938,7758441.0,0.16,9.3,0.6,0.062015,0.713,0.588,0.377,1.57,6172460.00795063,8.866986969,473540.0,0.36,75575.0
2004-02-01,3969044.3584425584,2383646.9513278417,0.51157756545,2412056.6019938,7758441.0,0.33,0.76,0.8,0.0599982381,0.713,0.588,0.377,1.43,6261937.06181048,8.866986969,-1.0,0.36,53065.0
2004-03-01,3969044.3584425584,2383646.9513278417,0.51157756545,2412056.6019938,7758441.0,1.0,1.37,1.08,0.05993777778,0.713,0.588,0.377,1.27,6261937.06181048,8.866986969,-1.0,0.36,67755.0
2004-04-01,3969044.3584425584,2383646.9513278417,0.51157756545,2412056.6019938,7758441.0,1.16,1.85,0.93,0.05956991304,0.713,0.588,0.377,1.24,6261937.06181048,8.866986969,40539.0,0.31,64858.0
2004-05-01,3969044.3584425584,2383646.9513278417,0.51157756545,2412056.6019938,7758441.0,0.59,2.23,1.15,0.0587633,0.713,0.588,0.377,1.21,6261937.06181048,8.866986969,113739.0,0.31,72377.0
2004-06-01,3969044.3584425584,2383646.9513278417,0.51157756545,2412056.6019938,7758441.0,1.83,2.75,1.46,0.0581277619,0.713,0.588,0.377,1.35,6261937.06181048,8.866986969,22068.0,0.31,70882.0
2004-07-01,3969044.3584425584,2383646.9513278417,0.51157756545,2412056.6019938,7758441.0,0.7,3.48,1.29,0.05822585714,0.713,0.588,0.377,1.59,6261937.06181048,8.866986969,52138.0,0.31,85304.0
2004-08-01,3969044.3584425584,2383646.9513278417,0.51157756545,2412056.6019938,7758441.0,1.12,4.42,1.14,0.05813868182,0.713,0.588,0.377,1.72,6261937.06181048,8.866986969,328332.0,0.31,82452.0
2004-09-01,3969044.3584425584,2383646.9513278417,0.51157756545,2412056.6019938,7758441.0,0.81,5.14,1.31,0.05843936364,0.713,0.588,0.377,1.83,6261937.06181048,8.866986969,34936.0,0.31,80106.0
2004-10-01,3969044.3584425584,2383646.9513278417,0.51157756545,2412056.6019938,7758441.0,0.58,5.49,0.48,0.05923480952,0.713,0.588,0.377,1.87,6261937.06181048,8.866986969,214329.0,0.31,79744.0
2004-11-01,3969044.3584425584,2383646.9513278417,0.51157756545,2412056.6019938,7758441.0,1.19,5.95,0.53,0.06031435,0.713,0.588,0.377,1.76,6261937.06181048,8.866986969,121815.0,0.29,83228.0
2004-12-01,3969044.3584425584,2383646.9513278417,0.51157756545,2412056.6019938,7758441.0,0.71,6.68,0.82,0.0621806,0.713,0.588,0.377,1.71,6261937.06181048,8.866986969,-1.0,0.28,101817.0
2005-01-01,4146557.2713594497,2683300.0054778666,0.5198426028083333,2732332.67899123,7976563.0,0.51,7.6,0.52,0.06401773913,0.713,0.588,0.377,1.74,6261937.06181048,8.5796670726,505140.0,0.28,91341.0
2005-02-01,4146557.2713594497,2683300.0054778666,0.5198426028083333,2732332.67899123,7976563.0,0.75,0.58,0.33,0.0654687619,0.713,0.588,0.377,1.57,6344077.42160595,8.5796670726,-1.0,0.28,69730.0
